Year Wheat Rye Barley Oats Peas Beans Potato Hops Net Tax Straw Mustard Seed Saffron
1830 8.22 4.48 3.95 2.96 4.52 4.75 3.79 236.16 47.50
1831 7.71 5.00 4.61 3.07 4.86 4.92 3.59 117.30 34.00
1832 7.00 4.32 4.01 2.48 4.54 4.57 2.39 146.70 37.75
1833 6.53 4.11 3.33 2.23 4.30 4.12 3.30 30.50
1834 5.35 4.09 3.52 2.54 4.47 4.26 4.59 105.05 31.25
1835 4.77 3.79 3.63 2.67 4.34 4.51 3.72 117.30 39.50
1836 5.88 4.17 3.98 2.80 4.36 4.56 3.51 32.00
1837 6.77 4.34 3.68 2.80 4.60 5.11 4.80 91.58 39.00
1838 7.83 4.39 3.81 2.72 4.50 4.50 3.11 78.10 42.00
1839 8.57 5.25 4.79 3.14 4.72 4.89 5.98 78.10 39.50
1840 8.04 4.62 4.42 3.11 5.28 5.39 4.64 62.18 38.00
1841 7.80 4.59 3.98 2.72 4.81 5.08 4.06 168.75 41.25
1842 6.94 4.12 3.33 2.33 4.19 4.53 4.20 102.60 37.75
1843 6.07 3.82 3.58 2.22 3.75 3.58 2.70 49.50
1844 6.21 4.24 4.08 2.50 3.75 4.13 4.00 165.69 31.25
1845 6.16 4.06 3.84 2.73 4.31 4.69 3.47 147.92 37.25
1846 6.63 4.38 3.96 2.87 4.58 4.80 5.11 86.68 32.50
1847 8.46 6.12 5.36 3.48 5.45 6.01 10.18 68.92 32.25
1848 6.12 3.80 3.82 2.49 5.09 4.76 4.06 91.58 27.00
1849 5.37 3.21 3.36 2.12 4.14 4.04 7.30 220.20 31.50
