"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Australia","AUS","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Austria","AUT","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Azerbaijan","AZE","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Bangladesh","BGD","2018","23.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Belarus","BLR","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Belgium","BEL","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Belize","BLZ","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Benin","BEN","2018","15.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Bhutan","BTN","2018","9.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Bolivia","BOL","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Bosnia and Herzegovina","BIH","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Botswana","BWA","2018","17.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Brazil","BRA","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Bulgaria","BGR","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Burkina Faso","BFA","2018","11.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Burundi","BDI","2018","22.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Cabo Verde","CPV","2018","11.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Cambodia","KHM","2018","9.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Cameroon","CMR","2018","22.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Canada","CAN","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Central African Republic","CAF","2018","21.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Chad","TCD","2018","16.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Chile","CHL","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","China","CHN","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Colombia","COL","2018","12.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Comoros","COM","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Congo, Dem. Rep.","COD","2018","36.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Costa Rica","CRI","2018","7.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Cote d'Ivoire","CIV","2018","16.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Croatia","HRV","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Cuba","CUB","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Cyprus","CYP","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Czechia","CZE","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Denmark","DNK","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Dominican Republic","DOM","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Ecuador","ECU","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Egypt, Arab Rep.","EGY","2018","15.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","El Salvador","SLV","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Equatorial Guinea","GNQ","2018","29.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Estonia","EST","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Eswatini","SWZ","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Ethiopia","ETH","2018","27.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Fiji","FJI","2018","23.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Finland","FIN","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","France","FRA","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Gabon","GAB","2018","22.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Gambia, The","GMB","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Georgia","GEO","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Germany","DEU","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Ghana","GHA","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Greece","GRC","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Grenada","GRD","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Guatemala","GTM","2018","7.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Guinea","GIN","2018","21.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Guyana","GUY","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Haiti","HTI","2018","12.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Honduras","HND","2018","7.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Hong Kong SAR, China","HKG","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Hungary","HUN","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Iceland","ISL","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","India","IND","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Indonesia","IDN","2018","9.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Iran, Islamic Rep.","IRN","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Ireland","IRL","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Israel","ISR","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Italy","ITA","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Jamaica","JAM","2018","7.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Japan","JPN","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Jordan","JOR","2018","13.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Kazakhstan","KAZ","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Kenya","KEN","2018","23.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Kiribati","KIR","2018","25.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Korea, Rep.","KOR","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Kosovo","XKX","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Kyrgyz Republic","KGZ","2018","13.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Lao PDR","LAO","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Latvia","LVA","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Lesotho","LSO","2018","16.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Liberia","LBR","2018","27.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Lithuania","LTU","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Luxembourg","LUX","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Malawi","MWI","2018","17.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Maldives","MDV","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Mali","MLI","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Malta","MLT","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Marshall Islands","MHL","2018","19.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Mexico","MEX","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Micronesia, Fed. Sts.","FSM","2018","21.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Moldova","MDA","2018","9.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Mongolia","MNG","2018","12.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Montenegro","MNE","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Morocco","MAR","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Mozambique","MOZ","2018","16.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Myanmar","MMR","2018","11.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Namibia","NAM","2018","16.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Nauru","NRU","2018","20.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Nepal","NPL","2018","11.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Netherlands","NLD","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","New Zealand","NZL","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Nicaragua","NIC","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Niger","NER","2018","13.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Nigeria","NGA","2018","13.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","North Macedonia","MKD","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Norway","NOR","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Pakistan","PAK","2018","16.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Palau","PLW","2018","14.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Panama","PAN","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Papua New Guinea","PNG","2018","31.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Paraguay","PRY","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Peru","PER","2018","11.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Philippines","PHL","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Poland","POL","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Portugal","PRT","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Romania","ROU","2018","7.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Rwanda","RWA","2018","23.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Samoa","WSM","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Sao Tome and Principe","STP","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Senegal","SEN","2018","12.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Serbia","SRB","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Sierra Leone","SLE","2018","20.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Singapore","SGP","2018","2.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Slovak Republic","SVK","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Slovenia","SVN","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Solomon Islands","SLB","2018","28.000","female, Modeled, 15-49"
