Year,Tax,Value
1957,Payroll Taxes,0.022000000000000002
1958,Payroll Taxes,0.024
1959,Payroll Taxes,0.023
1960,Payroll Taxes,0.027000000000000003
1961,Payroll Taxes,0.03
1962,Payroll Taxes,0.028999999999999998
1963,Payroll Taxes,0.032
1964,Payroll Taxes,0.033
1965,Payroll Taxes,0.031
1966,Payroll Taxes,0.033
1967,Payroll Taxes,0.039
1968,Payroll Taxes,0.038
1969,Payroll Taxes,0.04
1970,Payroll Taxes,0.042
1971,Payroll Taxes,0.042
1972,Payroll Taxes,0.043
1973,Payroll Taxes,0.047
1974,Payroll Taxes,0.051
1975,Payroll Taxes,0.053
1976,Payroll Taxes,0.051
1977,Payroll Taxes,0.053
1978,Payroll Taxes,0.053
1979,Payroll Taxes,0.053
1980,Payroll Taxes,0.054000000000000006
1981,Payroll Taxes,0.057
1982,Payroll Taxes,0.057999999999999996
1983,Payroll Taxes,0.061
1984,Payroll Taxes,0.059000000000000004
1985,Payroll Taxes,0.061
1986,Payroll Taxes,0.062
1987,Payroll Taxes,0.063
1988,Payroll Taxes,0.064
1989,Payroll Taxes,0.065
1990,Payroll Taxes,0.065
1991,Payroll Taxes,0.064
1992,Payroll Taxes,0.065
1993,Payroll Taxes,0.064
1994,Payroll Taxes,0.063
1995,Payroll Taxes,0.064
1996,Payroll Taxes,0.064
1997,Payroll Taxes,0.064
1998,Payroll Taxes,0.064
1999,Payroll Taxes,0.064
2000,Payroll Taxes,0.065
2001,Payroll Taxes,0.065
2002,Payroll Taxes,0.066
2003,Payroll Taxes,0.065
2004,Payroll Taxes,0.063
2005,Payroll Taxes,0.061
2006,Payroll Taxes,0.062
2007,Payroll Taxes,0.061
2008,Payroll Taxes,0.061
2009,Payroll Taxes,0.061
2010,Payroll Taxes,0.062
2011,Payroll Taxes,0.057999999999999996
2012,Payroll Taxes,0.053
2013,Payroll Taxes,0.052000000000000005
2014,Payroll Taxes,0.057
2015,Payroll Taxes,0.059000000000000004
2016,Payroll Taxes,0.059000000000000004
2017,Payroll Taxes,0.06
2018,Payroll Taxes,0.06
2019,Payroll Taxes,0.057999999999999996
2020,Payroll Taxes,0.059000000000000004
2021,Payroll Taxes,0.062
2022,Payroll Taxes,0.057999999999999996
2023,Payroll Taxes,0.059000000000000004
1792,Income Taxes,0.0
1793,Income Taxes,0.0
1794,Income Taxes,0.0
1795,Income Taxes,0.0
1796,Income Taxes,0.0
1797,Income Taxes,0.0
1798,Income Taxes,0.0
1799,Income Taxes,0.0
1800,Income Taxes,0.0
1801,Income Taxes,0.0
1802,Income Taxes,0.0
1803,Income Taxes,0.0
1804,Income Taxes,0.0
1805,Income Taxes,0.0
1806,Income Taxes,0.0
1807,Income Taxes,0.0
1808,Income Taxes,0.0
1809,Income Taxes,0.0
1810,Income Taxes,0.0
1811,Income Taxes,0.0
1812,Income Taxes,0.0
1813,Income Taxes,0.0
1814,Income Taxes,0.0
1815,Income Taxes,0.0
1816,Income Taxes,0.0
1817,Income Taxes,0.0
1818,Income Taxes,0.0
1819,Income Taxes,0.0
1820,Income Taxes,0.0
1821,Income Taxes,0.0
1822,Income Taxes,0.0
1823,Income Taxes,0.0
1824,Income Taxes,0.0
1825,Income Taxes,0.0
1826,Income Taxes,0.0
1827,Income Taxes,0.0
1828,Income Taxes,0.0
1829,Income Taxes,0.0
1830,Income Taxes,0.0
1831,Income Taxes,0.0
1832,Income Taxes,0.0
1833,Income Taxes,0.0
1834,Income Taxes,0.0
1835,Income Taxes,0.0
1836,Income Taxes,0.0
1837,Income Taxes,0.0
1838,Income Taxes,0.0
1839,Income Taxes,0.0
1840,Income Taxes,0.0
1841,Income Taxes,0.0
1842,Income Taxes,0.0
1843,Income Taxes,0.0
1844,Income Taxes,0.0
1845,Income Taxes,0.0
1846,Income Taxes,0.0
1847,Income Taxes,0.0
1848,Income Taxes,0.0
1849,Income Taxes,0.0
1850,Income Taxes,0.0
1851,Income Taxes,0.0
1852,Income Taxes,0.0
1853,Income Taxes,0.0
1854,Income Taxes,0.0
1855,Income Taxes,0.0
1856,Income Taxes,0.0
1857,Income Taxes,0.0
1858,Income Taxes,0.0
1859,Income Taxes,0.0
1860,Income Taxes,0.0
1861,Income Taxes,0.0
1862,Income Taxes,0.0
1863,Income Taxes,0.0
1864,Income Taxes,0.0
1865,Income Taxes,0.0
1866,Income Taxes,0.0
1867,Income Taxes,0.0
1868,Income Taxes,0.0
1869,Income Taxes,0.0
1870,Income Taxes,0.0
1871,Income Taxes,0.0
1872,Income Taxes,0.0
1873,Income Taxes,0.0
1874,Income Taxes,0.0
1875,Income Taxes,0.0
1876,Income Taxes,0.0
1877,Income Taxes,0.0
1878,Income Taxes,0.0
1879,Income Taxes,0.0
1880,Income Taxes,0.0
1881,Income Taxes,0.0
1882,Income Taxes,0.0
1883,Income Taxes,0.0
1884,Income Taxes,0.0
1885,Income Taxes,0.0
1886,Income Taxes,0.0
1887,Income Taxes,0.0
1888,Income Taxes,0.0
1889,Income Taxes,0.0
1890,Income Taxes,0.0
1891,Income Taxes,0.0
1892,Income Taxes,0.0
1893,Income Taxes,0.0
1894,Income Taxes,0.0
1895,Income Taxes,0.0
1896,Income Taxes,0.0
1897,Income Taxes,0.0
1898,Income Taxes,0.0
1899,Income Taxes,0.0
1900,Income Taxes,0.0
1901,Income Taxes,0.0
1902,Income Taxes,0.0
1903,Income Taxes,0.0
1904,Income Taxes,0.0
1905,Income Taxes,0.0
1906,Income Taxes,0.0
1907,Income Taxes,0.0
1908,Income Taxes,0.0
1909,Income Taxes,0.0
1910,Income Taxes,0.0
1911,Income Taxes,0.0
1912,Income Taxes,0.0
1913,Income Taxes,0.0009
1914,Income Taxes,0.0011
1915,Income Taxes,0.0012
1916,Income Taxes,0.0024
1917,Income Taxes,0.0062
1918,Income Taxes,0.0355
1919,Income Taxes,0.0339
1920,Income Taxes,0.0452
1921,Income Taxes,0.0458
1922,Income Taxes,0.0301
1923,Income Taxes,0.0195
1924,Income Taxes,0.0203
1925,Income Taxes,0.018600000000000002
1926,Income Taxes,0.0194
1927,Income Taxes,0.0222
1928,Income Taxes,0.0212
1929,Income Taxes,0.021400000000000002
1930,Income Taxes,0.025
1931,Income Taxes,0.0229
1932,Income Taxes,0.0169
1933,Income Taxes,0.015700000000000002
1934,Income Taxes,0.012999999999999998
1935,Income Taxes,0.015
1936,Income Taxes,0.017
1937,Income Taxes,0.024
1938,Income Taxes,0.027999999999999997
1939,Income Taxes,0.023
1940,Income Taxes,0.021
1941,Income Taxes,0.029000000000000005
1942,Income Taxes,0.054000000000000006
1943,Income Taxes,0.087
1944,Income Taxes,0.161
1945,Income Taxes,0.152
1946,Income Taxes,0.12300000000000001
1947,Income Taxes,0.111
1948,Income Taxes,0.11100000000000002
1949,Income Taxes,0.096
1950,Income Taxes,0.094
1951,Income Taxes,0.10899999999999999
1952,Income Taxes,0.13699999999999998
1953,Income Taxes,0.13399999999999998
1954,Income Taxes,0.131
1955,Income Taxes,0.115
1956,Income Taxes,0.121
1957,Income Taxes,0.12300000000000001
1958,Income Taxes,0.115
1959,Income Taxes,0.107
1960,Income Taxes,0.11599999999999999
1961,Income Taxes,0.11399999999999999
1962,Income Taxes,0.113
1963,Income Taxes,0.11199999999999999
1964,Income Taxes,0.11
1965,Income Taxes,0.105
1966,Income Taxes,0.11
1967,Income Taxes,0.115
1968,Income Taxes,0.109
1969,Income Taxes,0.126
1970,Income Taxes,0.11699999999999999
1971,Income Taxes,0.10099999999999999
1972,Income Taxes,0.10400000000000001
1973,Income Taxes,0.10300000000000001
1974,Income Taxes,0.106
1975,Income Taxes,0.10099999999999999
1976,Income Taxes,0.09699999999999999
1977,Income Taxes,0.1
1978,Income Taxes,0.105
1979,Income Taxes,0.106
1980,Income Taxes,0.111
1981,Income Taxes,0.11
1982,Income Taxes,0.111
1983,Income Taxes,0.105
1984,Income Taxes,0.092
1985,Income Taxes,0.09
1986,Income Taxes,0.092
1987,Income Taxes,0.091
1988,Income Taxes,0.1
1989,Income Taxes,0.096
1990,Income Taxes,0.099
1991,Income Taxes,0.095
1992,Income Taxes,0.09300000000000001
1993,Income Taxes,0.09
1994,Income Taxes,0.092
1995,Income Taxes,0.096
1996,Income Taxes,0.099
1997,Income Taxes,0.105
1998,Income Taxes,0.10899999999999999
1999,Income Taxes,0.114
2000,Income Taxes,0.11200000000000002
2001,Income Taxes,0.11900000000000001
2002,Income Taxes,0.10800000000000001
2003,Income Taxes,0.09300000000000001
2004,Income Taxes,0.08199999999999999
2005,Income Taxes,0.083
2006,Income Taxes,0.094
2007,Income Taxes,0.10300000000000001
2008,Income Taxes,0.107
2009,Income Taxes,0.098
2010,Income Taxes,0.073
2011,Income Taxes,0.073
2012,Income Taxes,0.08299999999999999
2013,Income Taxes,0.085
2014,Income Taxes,0.095
2015,Income Taxes,0.098
2016,Income Taxes,0.10400000000000001
2017,Income Taxes,0.099
2018,Income Taxes,0.09699999999999999
2019,Income Taxes,0.09300000000000001
2020,Income Taxes,0.092
2021,Income Taxes,0.086
2022,Income Taxes,0.106
2023,Income Taxes,0.122
1792,Excise and Sales,0.0163
1793,Excise and Sales,0.018500000000000003
1794,Excise and Sales,0.0172
1795,Excise and Sales,0.0168
1796,Excise and Sales,0.020099999999999996
1797,Excise and Sales,0.0212
1798,Excise and Sales,0.0191
1799,Excise and Sales,0.0171
1800,Excise and Sales,0.0226
1801,Excise and Sales,0.0252
1802,Excise and Sales,0.0333
1803,Excise and Sales,0.0231
1804,Excise and Sales,0.0222
1805,Excise and Sales,0.0242
1806,Excise and Sales,0.0252
1807,Excise and Sales,0.0278
1808,Excise and Sales,0.0264
1809,Excise and Sales,0.0113
1810,Excise and Sales,0.013300000000000001
1811,Excise and Sales,0.018799999999999997
1812,Excise and Sales,0.0125
1813,Excise and Sales,0.0179
1814,Excise and Sales,0.0104
1815,Excise and Sales,0.017
1816,Excise and Sales,0.0582
1817,Excise and Sales,0.0431
1818,Excise and Sales,0.029300000000000003
1819,Excise and Sales,0.0339
1820,Excise and Sales,0.025099999999999997
1821,Excise and Sales,0.019799999999999998
1822,Excise and Sales,0.025099999999999997
1823,Excise and Sales,0.0271
1824,Excise and Sales,0.025699999999999997
1825,Excise and Sales,0.026600000000000002
1826,Excise and Sales,0.0292
1827,Excise and Sales,0.025099999999999997
1828,Excise and Sales,0.0276
1829,Excise and Sales,0.026699999999999998
1830,Excise and Sales,0.024300000000000002
1831,Excise and Sales,0.0271
1832,Excise and Sales,0.0282
1833,Excise and Sales,0.029300000000000003
1834,Excise and Sales,0.0179
1835,Excise and Sales,0.0264
1836,Excise and Sales,0.0344
1837,Excise and Sales,0.0161
1838,Excise and Sales,0.0165
1839,Excise and Sales,0.019
1840,Excise and Sales,0.0124
1841,Excise and Sales,0.0102
1842,Excise and Sales,0.0123
1843,Excise and Sales,0.0053
1844,Excise and Sales,0.0172
1845,Excise and Sales,0.0161
1846,Excise and Sales,0.0144
1847,Excise and Sales,0.011000000000000001
1848,Excise and Sales,0.0147
1849,Excise and Sales,0.0129
1850,Excise and Sales,0.0169
1851,Excise and Sales,0.019299999999999998
1852,Excise and Sales,0.0163
1853,Excise and Sales,0.018600000000000002
1854,Excise and Sales,0.0199
1855,Excise and Sales,0.016399999999999998
1856,Excise and Sales,0.0183
1857,Excise and Sales,0.0165
1858,Excise and Sales,0.011399999999999999
1859,Excise and Sales,0.0121
1860,Excise and Sales,0.0128
1861,Excise and Sales,0.0089
1862,Excise and Sales,0.0089
1863,Excise and Sales,0.0151
1864,Excise and Sales,0.0285
1865,Excise and Sales,0.0336
1866,Excise and Sales,0.061500000000000006
1867,Excise and Sales,0.0581
1868,Excise and Sales,0.0492
1869,Excise and Sales,0.046900000000000004
1870,Excise and Sales,0.0526
1871,Excise and Sales,0.05
1872,Excise and Sales,0.0451
1873,Excise and Sales,0.0377
1874,Excise and Sales,0.0356
1875,Excise and Sales,0.035
1876,Excise and Sales,0.0351
1877,Excise and Sales,0.0327
1878,Excise and Sales,0.0305
1879,Excise and Sales,0.028999999999999998
1880,Excise and Sales,0.0319
1881,Excise and Sales,0.030699999999999998
1882,Excise and Sales,0.0327
1883,Excise and Sales,0.032
1884,Excise and Sales,0.029300000000000003
1885,Excise and Sales,0.0276
1886,Excise and Sales,0.0274
1887,Excise and Sales,0.027999999999999997
1888,Excise and Sales,0.0271
1889,Excise and Sales,0.0277
1890,Excise and Sales,0.0265
1891,Excise and Sales,0.0253
1892,Excise and Sales,0.0215
1893,Excise and Sales,0.0248
1894,Excise and Sales,0.0215
1895,Excise and Sales,0.0206
1896,Excise and Sales,0.0216
1897,Excise and Sales,0.0213
1898,Excise and Sales,0.0222
1899,Excise and Sales,0.0262
1900,Excise and Sales,0.0273
1901,Excise and Sales,0.026099999999999998
1902,Excise and Sales,0.026000000000000002
1903,Excise and Sales,0.0256
1904,Excise and Sales,0.0256
1905,Excise and Sales,0.023399999999999997
1906,Excise and Sales,0.0235
1907,Excise and Sales,0.023
1908,Excise and Sales,0.025
1909,Excise and Sales,0.0245
1910,Excise and Sales,0.0252
1911,Excise and Sales,0.024700000000000003
1912,Excise and Sales,0.0233
1913,Excise and Sales,0.0231
1914,Excise and Sales,0.0252
1915,Excise and Sales,0.022799999999999997
1916,Excise and Sales,0.020499999999999997
1917,Excise and Sales,0.0219
1918,Excise and Sales,0.0194
1919,Excise and Sales,0.0173
1920,Excise and Sales,0.0175
1921,Excise and Sales,0.024
1922,Excise and Sales,0.028900000000000002
1923,Excise and Sales,0.0258
1924,Excise and Sales,0.0246
1925,Excise and Sales,0.0233
1926,Excise and Sales,0.022099999999999998
1927,Excise and Sales,0.0229
1928,Excise and Sales,0.0209
1929,Excise and Sales,0.0196
1930,Excise and Sales,0.020499999999999997
1931,Excise and Sales,0.0209
1932,Excise and Sales,0.0253
1933,Excise and Sales,0.038
1934,Excise and Sales,0.022000000000000002
1935,Excise and Sales,0.02
1936,Excise and Sales,0.02
1937,Excise and Sales,0.021
1938,Excise and Sales,0.021
1939,Excise and Sales,0.021
1940,Excise and Sales,0.02
1941,Excise and Sales,0.022000000000000002
1942,Excise and Sales,0.023
1943,Excise and Sales,0.022000000000000002
1944,Excise and Sales,0.022000000000000002
1945,Excise and Sales,0.027999999999999997
1946,Excise and Sales,0.031
1947,Excise and Sales,0.03
1948,Excise and Sales,0.027999999999999997
1949,Excise and Sales,0.027000000000000003
1950,Excise and Sales,0.027000000000000003
1951,Excise and Sales,0.026000000000000002
1952,Excise and Sales,0.025
1953,Excise and Sales,0.026000000000000002
1954,Excise and Sales,0.026000000000000002
1955,Excise and Sales,0.022000000000000002
1956,Excise and Sales,0.023
1957,Excise and Sales,0.023
1958,Excise and Sales,0.022000000000000002
1959,Excise and Sales,0.021
1960,Excise and Sales,0.022000000000000002
1961,Excise and Sales,0.022000000000000002
1962,Excise and Sales,0.021
1963,Excise and Sales,0.021
1964,Excise and Sales,0.021
1965,Excise and Sales,0.021
1966,Excise and Sales,0.017
1967,Excise and Sales,0.016
1968,Excise and Sales,0.016
1969,Excise and Sales,0.016
1970,Excise and Sales,0.015
1971,Excise and Sales,0.015
1972,Excise and Sales,0.013000000000000001
1973,Excise and Sales,0.012
1974,Excise and Sales,0.011000000000000001
1975,Excise and Sales,0.01
1976,Excise and Sales,0.009000000000000001
1977,Excise and Sales,0.009000000000000001
1978,Excise and Sales,0.009000000000000001
1979,Excise and Sales,0.008
1980,Excise and Sales,0.006999999999999999
1981,Excise and Sales,0.009000000000000001
1982,Excise and Sales,0.013000000000000001
1983,Excise and Sales,0.011000000000000001
1984,Excise and Sales,0.01
1985,Excise and Sales,0.009000000000000001
1986,Excise and Sales,0.008
1987,Excise and Sales,0.006999999999999999
1988,Excise and Sales,0.006999999999999999
1989,Excise and Sales,0.006999999999999999
1990,Excise and Sales,0.006
1991,Excise and Sales,0.006
1992,Excise and Sales,0.006999999999999999
1993,Excise and Sales,0.006999999999999999
1994,Excise and Sales,0.006999999999999999
1995,Excise and Sales,0.008
1996,Excise and Sales,0.008
1997,Excise and Sales,0.006999999999999999
1998,Excise and Sales,0.006999999999999999
1999,Excise and Sales,0.006
2000,Excise and Sales,0.006999999999999999
2001,Excise and Sales,0.006999999999999999
2002,Excise and Sales,0.006
2003,Excise and Sales,0.006
2004,Excise and Sales,0.006
2005,Excise and Sales,0.006
2006,Excise and Sales,0.006
2007,Excise and Sales,0.005
2008,Excise and Sales,0.005
2009,Excise and Sales,0.005
2010,Excise and Sales,0.004
2011,Excise and Sales,0.004
2012,Excise and Sales,0.005
2013,Excise and Sales,0.005
2014,Excise and Sales,0.005
2015,Excise and Sales,0.005
2016,Excise and Sales,0.005
2017,Excise and Sales,0.005
2018,Excise and Sales,0.004
2019,Excise and Sales,0.005
2020,Excise and Sales,0.005
2021,Excise and Sales,0.004
2022,Excise and Sales,0.003
2023,Excise and Sales,0.004
