Country,Country Code,Year,Value
Italy,ITA,1988,
Japan,JPN,1988,
United States,USA,1988,
Canada,CAN,1989,
Spain,ESP,1989,
France,FRA,1989,
United Kingdom,GBR,1989,
Italy,ITA,1989,
Japan,JPN,1989,
United States,USA,1989,
Canada,CAN,1990,
Spain,ESP,1990,
France,FRA,1990,
United Kingdom,GBR,1990,
Italy,ITA,1990,
Japan,JPN,1990,
United States,USA,1990,
Canada,CAN,1991,
Spain,ESP,1991,
France,FRA,1991,
United Kingdom,GBR,1991,
Italy,ITA,1991,
Japan,JPN,1991,
United States,USA,1991,
Canada,CAN,1992,
Spain,ESP,1992,
France,FRA,1992,
United Kingdom,GBR,1992,
Italy,ITA,1992,
Japan,JPN,1992,
United States,USA,1992,
Canada,CAN,1993,
Spain,ESP,1993,
France,FRA,1993,
United Kingdom,GBR,1993,
Italy,ITA,1993,
Japan,JPN,1993,
United States,USA,1993,
Canada,CAN,1994,
Spain,ESP,1994,
France,FRA,1994,
United Kingdom,GBR,1994,
Italy,ITA,1994,
Japan,JPN,1994,
United States,USA,1994,
Canada,CAN,1995,
Spain,ESP,1995,
France,FRA,1995,
United Kingdom,GBR,1995,
Italy,ITA,1995,
Japan,JPN,1995,
United States,USA,1995,
Canada,CAN,1996,1.60681998729706
Spain,ESP,1996,0.78753000497818
France,FRA,1996,2.2228000164032
United Kingdom,GBR,1996,1.57321000099182
Italy,ITA,1996,0.945900022983551
Japan,JPN,1996,2.6430299282074
United States,USA,1996,2.45012998580933
Canada,CAN,1997,1.61386001110077
Spain,ESP,1997,0.777809977531433
France,FRA,1997,2.14699006080627
United Kingdom,GBR,1997,1.53640997409821
Italy,ITA,1997,0.987689971923828
Japan,JPN,1997,2.72177004814148
United States,USA,1997,2.47713994979858
Canada,CAN,1998,1.71051001548767
Spain,ESP,1998,0.848039984703064
France,FRA,1998,2.09475994110107
United Kingdom,GBR,1998,1.54648995399475
Italy,ITA,1998,1.00487005710602
Japan,JPN,1998,2.82745003700256
United States,USA,1998,2.4962100982666
Canada,CAN,1999,1.74985003471375
Spain,ESP,1999,0.838540017604828
France,FRA,1999,2.10767006874084
United Kingdom,GBR,1999,1.62127995491028
Italy,ITA,1999,0.980650007724762
Japan,JPN,1999,2.84671998023987
United States,USA,1999,2.54362010955811
Canada,CAN,2000,1.85847997665405
Spain,ESP,2000,0.882759988307953
France,FRA,2000,2.09346008300781
United Kingdom,GBR,2000,1.60906004905701
Italy,ITA,2000,1.00364005565643
Japan,JPN,2000,2.8584098815918
United States,USA,2000,2.6198399066925
Canada,CAN,2001,2.02116990089417
Spain,ESP,2001,0.888329982757568
France,FRA,2001,2.13804006576538
United Kingdom,GBR,2001,1.59658002853394
Italy,ITA,2001,1.04069995880127
Japan,JPN,2001,2.92348003387451
United States,USA,2001,2.63715004920959
Canada,CAN,2002,1.97170996665955
Spain,ESP,2002,0.959710001945496
France,FRA,2002,2.17448997497559
United Kingdom,GBR,2002,1.61372995376587
Italy,ITA,2002,1.08124005794525
Japan,JPN,2002,2.96514010429382
United States,USA,2002,2.54745006561279
Canada,CAN,2003,1.96781003475189
Spain,ESP,2003,1.02373003959656
France,FRA,2003,2.11994004249573
United Kingdom,GBR,2003,1.57962000370026
Italy,ITA,2003,1.05894005298615
Japan,JPN,2003,2.99320006370544
United States,USA,2003,2.55014991760254
Canada,CAN,2004,1.99733996391296
Spain,ESP,2004,1.04088997840881
France,FRA,2004,2.09460997581482
United Kingdom,GBR,2004,1.52997994422913
Italy,ITA,2004,1.05025005340576
Japan,JPN,2004,2.98125004768372
United States,USA,2004,2.48686003684998
Canada,CAN,2005,1.97126996517181
Spain,ESP,2005,1.09956002235413
France,FRA,2005,2.05151009559631
United Kingdom,GBR,2005,1.54904997348785
Italy,ITA,2005,1.04435002803802
Japan,JPN,2005,3.13091993331909
United States,USA,2005,2.50192999839783
Canada,CAN,2006,1.94304001331329
Spain,ESP,2006,1.17701995372772
France,FRA,2006,2.05094003677368
United Kingdom,GBR,2006,1.57539999485016
Italy,ITA,2006,1.08401000499725
Japan,JPN,2006,3.2276599407196
United States,USA,2006,2.54544997215271
Canada,CAN,2007,1.90357995033264
Spain,ESP,2007,1.24053001403809
France,FRA,2007,2.0245099067688
United Kingdom,GBR,2007,1.61708998680115
Italy,ITA,2007,1.12899005413055
Japan,JPN,2007,3.29257011413574
United States,USA,2007,2.61515998840332
Canada,CAN,2008,1.85578000545502
Spain,ESP,2008,1.32500004768372
France,FRA,2008,2.06117010116577
United Kingdom,GBR,2008,1.6078599691391
Italy,ITA,2008,1.15971994400024
Japan,JPN,2008,3.29223990440369
United States,USA,2008,2.74481010437012
Canada,CAN,2009,1.9174200296402
Spain,ESP,2009,1.36363995075226
France,FRA,2009,2.21206998825073
United Kingdom,GBR,2009,1.66659998893738
Italy,ITA,2009,1.21786999702454
Japan,JPN,2009,3.19589996337891
United States,USA,2009,2.79182004928589
Canada,CAN,2010,1.82527995109558
Spain,ESP,2010,1.35995995998383
France,FRA,2010,2.17857003211975
United Kingdom,GBR,2010,1.63496994972229
Italy,ITA,2010,1.21797001361847
Japan,JPN,2010,3.10494995117188
United States,USA,2010,2.71444988250732
Canada,CAN,2011,1.78714001178741
Spain,ESP,2011,1.33341002464294
France,FRA,2011,2.19161009788513
United Kingdom,GBR,2011,1.6452100276947
Italy,ITA,2011,1.20155000686646
Japan,JPN,2011,3.20536994934082
United States,USA,2011,2.73802995681763
Canada,CAN,2012,1.77232003211975
Spain,ESP,2012,1.29876005649567
France,FRA,2012,2.22707009315491
United Kingdom,GBR,2012,1.57631003856659
Italy,ITA,2012,1.26218998432159
Japan,JPN,2012,3.17371010780334
United States,USA,2012,2.6728401184082
Canada,CAN,2013,1.70539999008179
Spain,ESP,2013,1.27481997013092
France,FRA,2013,2.23703002929688
United Kingdom,GBR,2013,1.62011003494263
Italy,ITA,2013,1.30106997489929
Japan,JPN,2013,3.27895998954773
United States,USA,2013,2.70215010643005
Canada,CAN,2014,1.71416997909546
Spain,ESP,2014,1.24159002304077
France,FRA,2014,2.27591991424561
United Kingdom,GBR,2014,2.26449990272522
Italy,ITA,2014,1.33840000629425
Japan,JPN,2014,3.36788010597229
United States,USA,2014,2.71785998344421
Canada,CAN,2015,1.69324004650116
Spain,ESP,2015,1.22178995609283
France,FRA,2015,2.2270200252533
United Kingdom,GBR,2015,2.27027010917664
Italy,ITA,2015,1.33850002288818
Japan,JPN,2015,3.24071002006531
United States,USA,2015,2.78699994087219
Canada,CAN,2016,1.72903001308441
Spain,ESP,2016,1.18985998630524
France,FRA,2016,2.22237992286682
United Kingdom,GBR,2016,2.31145000457764
Italy,ITA,2016,1.36642003059387
Japan,JPN,2016,3.10665988922119
United States,USA,2016,2.85349988937378
Canada,CAN,2017,1.68701994419098
Spain,ESP,2017,1.20976996421814
France,FRA,2017,2.1988799571991
United Kingdom,GBR,2017,2.3231999874115
Italy,ITA,2017,1.37012994289398
Japan,JPN,2017,3.16635990142822
United States,USA,2017,2.90432000160217
Canada,CAN,2018,1.73720002174377
Spain,ESP,2018,1.24151003360748
France,FRA,2018,2.19666004180908
United Kingdom,GBR,2018,2.70481991767883
Italy,ITA,2018,1.42443001270294
Japan,JPN,2018,3.21919989585876
United States,USA,2018,3.0100998878479
Canada,CAN,2019,1.75573003292084
Spain,ESP,2019,1.25024998188019
France,FRA,2019,2.19179010391235
United Kingdom,GBR,2019,2.66551995277405
Italy,ITA,2019,1.461590051651
Japan,JPN,2019,3.2182400226593
United States,USA,2019,3.170490026474
Canada,CAN,2020,1.89484000205994
Spain,ESP,2020,1.41039001941681
France,FRA,2020,2.28188991546631
United Kingdom,GBR,2020,2.93144011497498
Italy,ITA,2020,1.50680005550385
Japan,JPN,2020,3.26897001266479
United States,USA,2020,3.46777009963989
Canada,CAN,2021,1.69727003574371
Spain,ESP,2021,1.42929005622864
France,FRA,2021,2.2191801071167
United Kingdom,GBR,2021,2.91476011276245
Italy,ITA,2021,1.45392000675201
Japan,JPN,2021,3.29580998420715
United States,USA,2021,3.45705008506775
Canada,CAN,2022,1.55182003974915
Spain,ESP,2022,
France,FRA,2022,
United Kingdom,GBR,2022,
Italy,ITA,2022,
Japan,JPN,2022,
United States,USA,2022,
Canada,CAN,2023,
Spain,ESP,2023,
France,FRA,2023,
United Kingdom,GBR,2023,
Italy,ITA,2023,
Japan,JPN,2023,
United States,USA,2023,
