Country,Year,GDP per Capita
US,2067,167303.719971661
US,2068,170649.7943710942
US,2069,174062.7902585161
US,2070,177544.0460636864
US,2071,181094.92698496016
US,2072,184716.82552465936
US,2073,188411.16203515255
US,2074,192179.3852758556
US,2075,196022.9729813727
US,2076,199943.43244100016
US,2077,203942.3010898202
US,2078,208021.1471116166
US,2079,212181.57005384893
US,2080,216425.2014549259
US,2081,220753.70548402442
US,2082,225168.7795937049
US,2083,229672.15518557903
US,2084,234265.5982892906
US,2085,238950.91025507642
US,2086,243729.92846017794
US,2087,248604.5270293815
US,2088,253576.61756996915
US,2089,258648.14992136855
US,2090,263821.1129197959
China,2023,20000.0
China,2024,21000.0
China,2025,22050.0
China,2026,23152.500000000004
China,2027,24310.125000000004
China,2028,25525.631250000006
China,2029,26801.91281250001
China,2030,28142.00845312501
China,2031,29549.10887578126
China,2032,31026.564319570323
China,2033,32577.89253554884
China,2034,34206.78716232628
China,2035,35917.1265204426
China,2036,37712.982846464736
China,2037,39598.63198878797
China,2038,41578.56358822738
China,2039,43657.49176763874
China,2040,45840.366356020684
China,2041,48132.38467382171
China,2042,50539.00390751281
China,2043,53065.95410288844
China,2044,55719.251808032874
China,2045,58505.21439843452
China,2046,61430.47511835625
China,2047,64501.99887427406
China,2048,67727.09881798777
China,2049,71113.45375888716
China,2050,74669.12644683152
China,2051,78402.5827691731
China,2052,82322.71190763176
China,2053,86438.84750301336
China,2054,90760.78987816403
China,2055,95298.82937207223
China,2056,100063.77084067583
China,2057,105066.95938270964
China,2058,110320.30735184513
China,2059,115836.32271943739
China,2060,121628.13885540926
China,2061,127709.54579817972
China,2062,134095.02308808872
China,2063,140799.77424249315
China,2064,147839.76295461782
China,2065,155231.75110234873
China,2066,162993.33865746617
China,2067,171143.0055903395
China,2068,179700.15586985645
China,2069,188685.1636633493
China,2070,198119.42184651678
China,2071,208025.39293884262
China,2072,218426.66258578477
China,2073,229347.995715074
China,2074,240815.39550082773
China,2075,252856.1652758691
China,2076,265498.9735396626
China,2077,278773.92221664573
China,2078,292712.618327478
China,2079,307348.2492438519
China,2080,322715.6617060445
China,2081,338851.4447913468
China,2082,355794.01703091414
China,2083,373583.71788245987
China,2084,392262.90377658285
China,2085,411876.048965412
China,2086,432469.8514136826
China,2087,454093.34398436674
China,2088,476798.0111835852
China,2089,500637.91174276447
China,2090,525669.8073299027
"Congo, DR",2023,1200.0
"Congo, DR",2024,1320.0
"Congo, DR",2025,1452.0000000000002
"Congo, DR",2026,1597.2000000000005
"Congo, DR",2027,1756.9200000000005
"Congo, DR",2028,1932.6120000000008
"Congo, DR",2029,2125.873200000001
"Congo, DR",2030,2338.4605200000015
"Congo, DR",2031,2572.306572000002
"Congo, DR",2032,2829.5372292000025
"Congo, DR",2033,3112.490952120003
"Congo, DR",2034,3423.740047332003
"Congo, DR",2035,3766.114052065204
"Congo, DR",2036,4142.725457271725
"Congo, DR",2037,4556.998002998897
"Congo, DR",2038,5012.697803298787
"Congo, DR",2039,5513.967583628666
"Congo, DR",2040,6065.364341991534
"Congo, DR",2041,6671.900776190688
"Congo, DR",2042,7339.090853809757
"Congo, DR",2043,8072.999939190733
"Congo, DR",2044,8880.299933109807
"Congo, DR",2045,9768.329926420789
"Congo, DR",2046,10745.162919062868
"Congo, DR",2047,11819.679210969156
"Congo, DR",2048,13001.647132066073
"Congo, DR",2049,14301.811845272681
"Congo, DR",2050,15731.99302979995
"Congo, DR",2051,17305.19233277995
"Congo, DR",2052,19035.711566057944
"Congo, DR",2053,20939.28272266374
"Congo, DR",2054,23033.210994930116
"Congo, DR",2055,25336.532094423128
"Congo, DR",2056,27870.18530386544
"Congo, DR",2057,30657.20383425199
"Congo, DR",2058,33722.924217677195
"Congo, DR",2059,37095.216639444916
"Congo, DR",2060,40804.73830338941
"Congo, DR",2061,44885.21213372835
"Congo, DR",2062,49373.733347101195
"Congo, DR",2063,54311.106681811325
"Congo, DR",2064,59742.217349992454
"Congo, DR",2065,65716.4390849917
"Congo, DR",2066,72288.08299349088
"Congo, DR",2067,79516.89129283998
"Congo, DR",2068,87468.58042212398
"Congo, DR",2069,96215.43846433639
"Congo, DR",2070,105836.98231077002
"Congo, DR",2071,116420.68054184705
"Congo, DR",2072,128062.74859603176
"Congo, DR",2073,140869.02345563495
"Congo, DR",2074,154955.92580119846
"Congo, DR",2075,170451.5183813183
"Congo, DR",2076,187496.67021945014
"Congo, DR",2077,206246.3372413952
"Congo, DR",2078,226870.9709655347
"Congo, DR",2079,249558.06806208822
"Congo, DR",2080,274513.8748682971
"Congo, DR",2081,301965.2623551268
"Congo, DR",2082,332161.78859063954
"Congo, DR",2083,365377.9674497035
"Congo, DR",2084,401915.76419467386
"Congo, DR",2085,442107.3406141413
"Congo, DR",2086,486318.07467555546
"Congo, DR",2087,534949.8821431111
"Congo, DR",2088,588444.8703574222
"Congo, DR",2089,647289.3573931645
"Congo, DR",2090,712018.293132481
