country,component,date,value
United Kingdom,Secondary income,1966,-0.2
United Kingdom,Secondary income,1967,-0.3
United Kingdom,Secondary income,1968,-0.3
United Kingdom,Secondary income,1969,-0.2
United Kingdom,Secondary income,1970,-0.2
United Kingdom,Secondary income,1971,-0.1
United Kingdom,Secondary income,1972,-0.2
United Kingdom,Secondary income,1973,-0.4
United Kingdom,Secondary income,1974,-0.3
United Kingdom,Secondary income,1975,-0.3
United Kingdom,Secondary income,1976,-0.4
United Kingdom,Secondary income,1977,-0.6
United Kingdom,Secondary income,1978,-0.8
United Kingdom,Secondary income,1979,-0.8
United Kingdom,Secondary income,1980,-0.6
United Kingdom,Secondary income,1981,-0.4
United Kingdom,Secondary income,1982,-0.5
United Kingdom,Secondary income,1983,-0.4
United Kingdom,Secondary income,1984,-0.4
United Kingdom,Secondary income,1985,-0.7
United Kingdom,Secondary income,1986,-0.5
United Kingdom,Secondary income,1987,-0.7
United Kingdom,Secondary income,1988,-0.6
United Kingdom,Secondary income,1989,-0.7
United Kingdom,Secondary income,1990,-0.7
United Kingdom,Secondary income,1991,-0.1
United Kingdom,Secondary income,1992,-0.7
United Kingdom,Secondary income,1993,-0.7
United Kingdom,Secondary income,1994,-0.6
United Kingdom,Secondary income,1995,-0.9
United Kingdom,Secondary income,1996,-0.5
United Kingdom,Secondary income,1997,-0.6
United Kingdom,Secondary income,1998,-0.9
United Kingdom,Secondary income,1999,-0.8
United Kingdom,Secondary income,2000,-0.9
United Kingdom,Secondary income,2001,-0.6
United Kingdom,Secondary income,2002,-0.8
United Kingdom,Secondary income,2003,-0.8
United Kingdom,Secondary income,2004,-0.8
United Kingdom,Secondary income,2005,-0.9
United Kingdom,Secondary income,2006,-0.8
United Kingdom,Secondary income,2007,-0.9
United Kingdom,Secondary income,2008,-0.9
United Kingdom,Secondary income,2009,-1.0
United Kingdom,Secondary income,2010,-1.2
United Kingdom,Secondary income,2011,-1.3
United Kingdom,Secondary income,2012,-1.2
United Kingdom,Secondary income,2013,-1.5
United Kingdom,Secondary income,2014,-1.3
United Kingdom,Secondary income,2015,-1.3
United Kingdom,Secondary income,2016,-1.2
United Kingdom,Secondary income,2017,-1.1
United Kingdom,Secondary income,2018,-1.2
United Kingdom,Secondary income,2019,-1.2
United Kingdom,Secondary income,2020,-1.4
United Kingdom,Secondary income,2021,-0.8
United Kingdom,Secondary income,2022,-0.9
United Kingdom,Secondary income,2023,-0.7
United Kingdom,Secondary income,2024,-0.6
