code,name,gva_pj,jobs,short_name,type,parent_name,parent,parent_max,parent_median,label_high,label_low
E06000044,Portsmouth,59204.6,117962.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000045,Southampton,74942.2,123659.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000046,Isle of Wight,49494.3,57226.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000049,Cheshire East,69620.5,204739.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E06000050,Cheshire West and Chester,67234.6,179870.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E06000051,Shropshire,47384.3,153480.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E06000052,Cornwall,47258.1,267926.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000053,Isles of Scilly,60301.5,1287.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000054,Wiltshire,53892.5,247132.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000055,Bedford,51122.1,89521.0,,Local Authority,East of England,,,,,
E06000056,Central Bedfordshire,54836.2,109931.0,,Local Authority,East of England,,,,,
E06000058,"Bournemouth, Christchurch and Poole",55895.4,209269.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000059,Dorset,51502.9,174739.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000060,Buckinghamshire,62335.1,277159.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000061,North Northamptonshire,46726.5,160801.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E06000062,West Northamptonshire,57128.5,237730.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E06000063,Cumberland,44931.0,135839.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E06000064,Westmorland and Furness,54864.8,115475.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E06000065,North Yorkshire,52918.7,320638.0,,Local Authority,Yorkshire and The Humber,E12000003,71553.7,55111.5,,
E06000066,Somerset,49883.8,270481.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000032,Amber Valley,57406.7,52200.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000033,Bolsover,67593.9,35243.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000034,Chesterfield,54242.3,51345.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000035,Derbyshire Dales,44884.7,36779.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000036,Erewash,46164.6,41362.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000037,High Peak,44957.3,37006.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000038,North East Derbyshire,51954.6,32005.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000039,South Derbyshire,82714.8,39896.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000040,East Devon,55247.9,61514.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000041,Exeter,59218.9,105470.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000042,Mid Devon,47036.5,34262.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000043,North Devon,47281.9,54624.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000044,South Hams,49683.3,44849.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000045,Teignbridge,46886.3,54188.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000046,Torridge,39238.9,27788.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000047,West Devon,34690.7,26084.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000061,Eastbourne,44088.6,53118.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000062,Hastings,45355.4,35950.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000064,Rother,41569.7,36813.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000065,Wealden,47534.1,61219.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000066,Basildon,72817.3,93072.0,,Local Authority,East of England,,,,,
E07000067,Braintree,61234.6,60644.0,,Local Authority,East of England,,,,,
E07000068,Brentwood,85041.2,34903.0,,Local Authority,East of England,,,,,
E07000069,Castle Point,40294.1,30832.0,,Local Authority,East of England,,,,,
E07000070,Chelmsford,61341.5,96171.0,,Local Authority,East of England,,,,,
E07000071,Colchester,54307.9,89440.0,,Local Authority,East of England,,,,,
E07000072,Epping Forest,67421.5,57871.0,,Local Authority,East of England,,,,,
E07000073,Harlow,51742.2,42799.0,,Local Authority,East of England,,,,,
E07000074,Maldon,48792.0,25474.0,,Local Authority,East of England,,,,,
E07000075,Rochford,56593.8,25239.0,,Local Authority,East of England,,,,,
E07000076,Tendring,40324.6,55479.0,,Local Authority,East of England,,,,,
E07000077,Uttlesford,47610.4,50305.0,,Local Authority,East of England,,,,,
E07000078,Cheltenham,53432.7,70067.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000079,Cotswold,74403.9,52377.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000080,Forest of Dean,76476.0,29092.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000081,Gloucester,48363.7,69075.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000082,Stroud,54700.6,53327.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000083,Tewkesbury,66437.7,55469.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E07000084,Basingstoke and Deane,82840.8,86366.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000085,East Hampshire,59014.6,47057.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000086,Eastleigh,67240.3,67563.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000087,Fareham,60712.0,52886.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000088,Gosport,50376.9,22459.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000089,Hart,82888.7,39871.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000090,Havant,57985.3,43397.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000091,New Forest,65046.4,81970.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000092,Rushmoor,114759.0,62284.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000093,Test Valley,56189.0,63229.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000094,Winchester,60293.5,95385.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000095,Broxbourne,58225.0,41122.0,,Local Authority,East of England,,,,,
E07000096,Dacorum,44009.2,121341.0,,Local Authority,East of England,,,,,
E07000098,Hertsmere,77953.1,61311.0,,Local Authority,East of England,,,,,
E07000099,North Hertfordshire,67485.6,60948.0,,Local Authority,East of England,,,,,
E07000102,Three Rivers,98540.8,46234.0,,Local Authority,East of England,,,,,
E07000103,Watford,67395.0,68125.0,,Local Authority,East of England,,,,,
E07000105,Ashford,49214.3,67764.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000106,Canterbury,47094.3,81210.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000107,Dartford,55394.3,66811.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000108,Dover,63847.7,41701.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000109,Gravesham,56291.1,34831.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000110,Maidstone,58827.8,83100.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000111,Sevenoaks,72139.1,61302.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000112,Folkestone and Hythe,50193.7,49016.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000113,Swale,58158.1,60594.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000114,Thanet,43361.7,52673.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000115,Tonbridge and Malling,70660.8,71859.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000116,Tunbridge Wells,58339.3,60901.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000117,Burnley,52826.9,40328.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000118,Chorley,52267.8,45939.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000119,Fylde,62674.7,44485.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000120,Hyndburn,50273.3,28671.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000121,Lancaster,50607.7,62624.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000122,Pendle,50230.0,35345.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000123,Preston,48047.9,99794.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000124,Ribble Valley,66504.4,31258.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000125,Rossendale,52767.6,20323.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000126,South Ribble,85199.9,49236.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000127,West Lancashire,57291.6,50330.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000128,Wyre,51252.7,34788.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E07000129,Blaby,59361.9,63442.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000130,Charnwood,52312.9,80263.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000131,Harborough,51000.6,45199.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000132,Hinckley and Bosworth,55985.6,45607.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000133,Melton,55698.5,25161.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000134,North West Leicestershire,57178.2,72095.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000135,Oadby and Wigston,40085.4,20896.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000136,Boston,46246.5,32297.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000137,East Lindsey,48907.8,53160.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000138,Lincoln,47869.7,63429.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000139,North Kesteven,59644.4,48905.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000140,South Holland,56213.8,41872.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000141,South Kesteven,47142.5,63299.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000142,West Lindsey,56140.0,32849.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000143,Breckland,50087.3,54972.0,,Local Authority,East of England,,,,,
E07000144,Broadland,83077.8,50873.0,,Local Authority,East of England,,,,,
E07000145,Great Yarmouth,46489.4,40494.0,,Local Authority,East of England,,,,,
E07000146,King's Lynn and West Norfolk,48065.2,68646.0,,Local Authority,East of England,,,,,
E07000147,North Norfolk,41354.9,39173.0,,Local Authority,East of England,,,,,
E07000148,Norwich,45450.2,95936.0,,Local Authority,East of England,,,,,
E07000149,South Norfolk,51286.4,61303.0,,Local Authority,East of England,,,,,
E07000170,Ashfield,51845.8,57895.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000171,Bassetlaw,46460.6,52244.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000172,Broxtowe,56533.8,40294.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000173,Gedling,48019.9,36115.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000174,Mansfield,40915.2,47932.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000175,Newark and Sherwood,47448.9,59360.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000176,Rushcliffe,67004.4,47989.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E07000177,Cherwell,60910.1,87396.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000178,Oxford,63351.8,122278.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000179,South Oxfordshire,71175.9,68926.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000180,Vale of White Horse,72039.4,75468.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000181,West Oxfordshire,54485.9,59835.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000192,Cannock Chase,53291.5,42106.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000193,East Staffordshire,61497.0,64771.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000194,Lichfield,50604.2,57102.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000195,Newcastle-under-Lyme,52855.5,47922.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000196,South Staffordshire,55203.1,41947.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000197,Stafford,51662.1,71102.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000198,Staffordshire Moorlands,44584.4,39359.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000199,Tamworth,64787.6,30326.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000200,Babergh,51804.6,37056.0,,Local Authority,East of England,,,,,
E07000202,Ipswich,58684.0,71789.0,,Local Authority,East of England,,,,,
E07000203,Mid Suffolk,52148.9,43835.0,,Local Authority,East of England,,,,,
E07000207,Elmbridge,104750.2,65355.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000208,Epsom and Ewell,53838.1,32770.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000209,Guildford,65308.3,94065.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000210,Mole Valley,87791.9,50406.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000211,Reigate and Banstead,83382.6,76069.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000212,Runnymede,115403.8,61068.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000213,Spelthorne,90561.1,40774.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000214,Surrey Heath,72909.2,50955.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000215,Tandridge,54353.6,37115.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000216,Waverley,61218.3,57955.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000217,Woking,67074.9,44321.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000218,North Warwickshire,63600.3,50228.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000219,Nuneaton and Bedworth,45310.0,46331.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000220,Rugby,56845.8,57975.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000221,Stratford-on-Avon,61972.0,79843.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000222,Warwick,63624.6,103363.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000225,Chichester,53527.7,64232.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000227,Horsham,57010.0,67790.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E07000234,Bromsgrove,64028.7,49340.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000235,Malvern Hills,50446.5,35720.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000236,Redditch,51421.7,41519.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000237,Worcester,55251.3,57795.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000238,Wychavon,55863.2,57939.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000239,Wyre Forest,38916.2,37131.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E07000240,St Albans,62978.8,69497.0,,Local Authority,East of England,,,,,
E07000241,Welwyn Hatfield,69676.9,80810.0,,Local Authority,East of England,,,,,
E07000242,East Hertfordshire,58600.2,70244.0,,Local Authority,East of England,,,,,
E07000243,Stevenage,53744.0,49967.0,,Local Authority,East of England,,,,,
E07000244,East Suffolk,53130.1,105831.0,,Local Authority,East of England,,,,,
E07000245,West Suffolk,54371.0,101467.0,,Local Authority,East of England,,,,,
N09000004,Causeway Coast and Glens,50429.6,47611.0,,Local Authority,Northern Ireland,N92000002,60243.0,53903.2,,
S12000006,Dumfries and Galloway,54991.4,66146.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000008,East Ayrshire,47241.1,41453.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000013,Na h-Eileanan Siar,42218.2,14027.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000017,Highland,52682.0,126820.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000020,Moray,57332.2,42757.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000021,North Ayrshire,58167.7,43315.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000023,Orkney Islands,45552.3,12007.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000027,Shetland Islands,52334.9,14005.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000028,South Ayrshire,48460.6,48889.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
S12000035,Argyll and Bute,51131.4,43955.0,,Local Authority,Scotland,S92000003,70270.9,54991.4,,
W06000001,Isle of Anglesey,46213.4,27028.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
W06000002,Gwynedd,40527.5,61700.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
W06000003,Conwy,38453.5,49303.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
W06000004,Denbighshire,44893.0,46015.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
W06000005,Flintshire,59065.1,75063.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
W06000006,Wrexham,56226.9,63474.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
W06000008,Ceredigion,42034.1,34204.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
W06000023,Powys,37725.3,64329.0,,Local Authority,Wales,W92000004,59065.1,45553.2,,
