"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Dataset Coverage (%)"
"company";"C";"GSD";"2.6354";"26.92";"0.13";"0";"0";"19.05";"6.8";"9.79";"90.72";"180";"6.9965";"1.961";"0"
"facility";"C";"VGS GSD Gas Storage (Lille Torup, Stenlille)";"2.6354";"26.92";"0.13";"0";"0";"19.05";"6.8";"9.79";"90.72";"180";"6.9965";"1.961";"0"
"country";"C";"France";"27.2139";"21.65";"-0.05";"368";"7.4";"329.91";"386.8";"125.7231";"1102.09";"2500.74";"125.7231";"0";"100"
"company";"C";"Storengy";"19.1272";"20.83";"-0.11";"0";"0";"190.55";"289.2";"91.8113";"801.96";"1920.73";"91.8113";"0";"0"
"facility";"C";"VGS SALINE (Tersanne, Etrez, Manosque)";"4.4256";"36.98";"-0.07";"0";"0";"22.03";"30.7";"11.9689";"95.75";"664.94";"11.9689";"0";"0"
"facility";"C";"VGS SEDIANE (Saint-Illiers, Beynes Supérieur, Beynes Profond)";"2.3628";"16.86";"0.24";"0";"0";"74.52";"40.9";"14.0136";"156.36";"270.26";"14.0136";"0";"0"
"facility";"C";"VGS SEDIANE B (Gournay-sur-Aronde)";"1.0393";"17.37";"-0.55";"0";"0";"0";"33";"5.9844";"51.15";"166.23";"5.9844";"0";"0"
"facility";"N";"VGS SEDIANE LITTORAL  // Historical data prior to 1 April 2019 (Chémery, Céré-la-Ronde, Soings-en-Sologne)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS SERENE ATLANTIQUE ((Chéméry, Céré-la-Ronde, Soings-en-Sologne)";"8.6566";"19.29";"-0.15";"0";"0";"74.57";"141.2";"44.8833";"374.03";"643.29";"44.8833";"0";"0"
"facility";"C";"VGS SERENE NORD (Trois Fontaines l’Abbaye, Cerville, Germiny-sous-Coulombs, Saint-Clair-sur-Epte)";"2.6429";"17.67";"-0.16";"0";"0";"19.42";"43.5";"14.9611";"124.68";"176.01";"14.9611";"0";"0"
"facility";"N";"VGS SERENE SUD // Historical data prior to 1 April 2019 (Chémery, Céré-la-Ronde, Soings-en-Sologne)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Teréga";"8.0867";"23.85";"0.12";"0";"0";"139.36";"97.5";"33.9118";"300.13";"580.01";"33.9118";"0";"0"
"facility";"C";"VGS Lussagnet (TERÉGA)";"8.0867";"23.85";"0.12";"0";"0";"139.36";"97.5";"33.9118";"300.13";"580.01";"33.9118";"0";"0"
"country";"C";"Germany";"52.3189";"20.83";"-0.03";"903.9";"5.79";"306.96";"430";"251.1442";"4258";"7086.73";"208.0507";"44.0267";"100"
"company";"C";"bayernugs";"0.1488";"3.64";"0";"0";"0";"0";"0";"4.088";"37.63";"64.51";"4.2231";"0";"0"
"facility";"C";"UGS Wolfersberg";"0.1488";"3.64";"0";"0";"0";"0";"0";"4.088";"37.63";"64.51";"4.2231";"0";"0"
"company";"N";"BES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Berlin (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"EDF Gas Deutschland";"0.3927";"20.08";"0.83";"0";"0";"16.32";"0";"1.9557";"54";"94.5";"1.9557";"0";"0"
"facility";"C";"UGS Etzel EDF (VGS)";"0.3927";"20.08";"0.83";"0";"0";"16.32";"0";"1.9557";"54";"94.5";"1.9557";"0";"0"
"company";"C";"EnBW Etzel Speicher";"0.7074";"34.05";"0.94";"0";"0";"19.5";"0";"2.0779";"54";"94.5";"2.0779";"0";"0"
"facility";"C";"UGS Etzel EnBW (VGS)";"0.7074";"34.05";"0.94";"0";"0";"19.5";"0";"2.0779";"54";"94.5";"2.0779";"0";"0"
"company";"C";"Eneco Gasspeicher";"0.7225";"50.34";"0.35";"0";"0";"8.4";"3.4";"1.4352";"93.6";"93.6";"1.4352";"0";"0"
"facility";"C";"UGS Enschede - Epe (Eneco)";"0.7225";"50.34";"0.35";"0";"0";"8.4";"3.4";"1.4352";"93.6";"93.6";"1.4352";"0";"0"
"company";"C";"enercity";"1.011";"43.39";"0.1";"0";"0";"13.86";"11.5";"2.33";"19.7";"73.92";"2.33";"0";"0"
"facility";"C";"UGS Ronnenberg-Empelde";"1.011";"43.39";"0.1";"0";"0";"13.86";"11.5";"2.33";"19.7";"73.92";"2.33";"0";"0"
"company";"C";"Enovos Storage";"0.0457";"4.72";"4.72";"0";"0";"0";"2.7";"0.9677";"6.45";"16.13";"0.4838";"0.4838";"0"
"facility";"C";"UGS Frankenthal";"0.0457";"4.72";"4.72";"0";"0";"0";"2.7";"0.9677";"6.45";"16.13";"0.4838";"0.4838";"0"
"company";"C";"Equinor Storage Deutschland";"0.5119";"23.73";"0";"0";"0";"0";"0";"2.1568";"210.67";"361.15";"2.1568";"0";"0"
"facility";"C";"UGS Etzel EGL (Equinor Storage Deutschland)";"0.5119";"23.73";"0";"0";"0";"0";"0";"2.1568";"210.67";"361.15";"2.1568";"0";"0"
"company";"C";"Erdgasspeicher Peissen";"0.8828";"13.57";"-0.11";"0";"0";"0";"6.9";"6.5041";"137.88";"275.76";"6.5041";"0";"0"
"facility";"C";"UGS Katharina";"0.8828";"13.57";"-0.11";"0";"0";"0";"6.9";"6.5041";"137.88";"275.76";"6.5041";"0";"0"
"company";"C";"EKB";"4.3602";"40.98";"-0.07";"0";"0";"25.37";"33.2";"10.6388";"122.04";"216.96";"10.6388";"0";"0"
"facility";"C";"UGS Etzel EKB";"4.3602";"40.98";"-0.07";"0";"0";"25.37";"33.2";"10.6388";"122.04";"216.96";"10.6388";"0";"0"
"company";"C";"EWE Gasspeicher";"3.4925";"20.37";"-0.21";"0";"0";"7.68";"44";"17.1462";"250.39";"540.24";"16.5797";"0.5664";"0"
"facility";"C";"EWE H-Gas Zone";"0.541";"13.04";"0";"0";"0";"0";"0";"4.1496";"53.83";"124.2";"3.5911";"0.5585";"0"
"facility";"C";"UGS EWE-Zone L";"1.0473";"34.5";"-0.55";"0";"0";"0";"16.8";"3.0362";"39.98";"141.12";"3.0362";"0";"0"
"facility";"C";"UGS Jemgum H (EWE)";"0.6672";"19.67";"0.12";"0";"0";"7.68";"3.6";"3.3917";"55.2";"69";"3.3875";"0.0041";"0"
"facility";"N";"UGS Nüttermoor H aggregated data prior to 7 April 2016";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Nüttermoor H-2";"0.4492";"25.13";"-1.06";"0";"0";"0";"18.9";"1.7875";"24.84";"49.68";"1.7875";"0";"0"
"facility";"C";"UGS Nüttermoor H-3";"0.3424";"13.59";"0";"0";"0";"0";"0";"2.5184";"41.04";"82.08";"2.5184";"0";"0"
"facility";"C";"UGS Nüttermoor H-5";"0.3005";"23.77";"-0.19";"0";"0";"0";"2.5";"1.2638";"24.84";"41.4";"1.26";"0.0038";"0"
"facility";"N";"UGS Nüttermoor L GUD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Rüdersdorf H";"0.1449";"14.51";"-0.22";"0";"0";"0";"2.2";"0.999";"10.66";"32.76";"0.999";"0";"0"
"company";"C";"HanseWerk";"0.7107";"30.65";"-0.25";"0";"0";"0";"5.8";"2.3184";"48.38";"80.64";"2.3184";"0";"0"
"facility";"C";"UGS Kraak";"0.7107";"30.65";"-0.25";"0";"0";"0";"5.8";"2.3184";"48.38";"80.64";"2.3184";"0";"0"
"company";"C";"MET Epe Speicher";"0.2832";"14.02";"-0.53";"0";"0";"0";"10.7";"2.0203";"41.04";"109.44";"2.0203";"0";"0"
"facility";"C";"UGS Epe (MET Epe Speicher)";"0.2832";"14.02";"-0.53";"0";"0";"0";"10.7";"2.0203";"41.04";"109.44";"2.0203";"0";"0"
"company";"C";"MET Speicher";"0.9277";"29.92";"0.03";"0";"0";"0.92";"0";"3.101";"80.59";"97.37";"3.101";"0";"0"
"facility";"C";"UGS Etzel ESE (MET)";"0.3629";"24.34";"0.06";"0";"0";"0.92";"0";"1.491";"55.3";"46.78";"1.491";"0";"0"
"facility";"C";"UGS Reckrod";"0.5648";"35.08";"0";"0";"0";"0";"0";"1.61";"25.3";"50.59";"1.61";"0";"0"
"company";"C";"MND Energy Storage Germany";"0.3757";"15.99";"-0.31";"0";"0";"0";"16.6";"2.35";"32.74";"49.03";"2.35";"0";"0"
"facility";"N";"UGS Haehnlein (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stockstadt (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS Zone MND ESG (UGS Stockstadt + UGS Haehnlein)";"0.3757";"15.99";"-0.31";"0";"0";"0";"16.6";"2.35";"32.74";"49.03";"2.35";"0";"0"
"company";"N";"N-ERGIE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Eschenfelden (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"NAFTA Speicher Inzenham";"0.8205";"17.09";"0";"0";"0";"0";"0";"4.8025";"43.35";"61.2";"1";"3.8025";"0"
"facility";"C";"UGS Inzenham-West";"0.8205";"17.09";"0";"0";"0";"0";"0";"4.8025";"43.35";"61.2";"1";"3.8025";"0"
"company";"C";"NUON Epe Gasspeicher";"0.6921";"25.52";"0";"0";"0";"0";"0";"2.7123";"84.97";"141.61";"2.7123";"0";"0"
"facility";"C";"UGS Enschede - Epe (Nuon)";"0.6921";"25.52";"0";"0";"0";"0";"0";"2.7123";"84.97";"141.61";"2.7123";"0";"0"
"company";"C";"OMV Gas Storage Germany";"1.6502";"31.65";"-0.79";"0";"0";"0";"8.8";"5.214";"71.76";"118.32";"5.159";"0.055";"0"
"facility";"C";"UGS Etzel ESE (OMV)";"1.6502";"31.65";"-0.79";"0";"0";"0";"8.8";"5.214";"71.76";"118.32";"5.159";"0.055";"0"
"company";"C";"RWE Gas Storage West";"4.4929";"26.61";"0.06";"0";"0";"31.88";"20.1";"16.887";"286.52";"723.92";"17.0183";"0.6675";"0"
"facility";"C";"INNEXPOOL-RWEGSW";"2.331";"37.71";"0.39";"0";"0";"24.17";"0";"6.1822";"104.93";"328.61";"6.257";"0";"0"
"facility";"N";"UGS Epe-H-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Epe-L-RWEGSW";"0.4412";"20.57";"-0.9";"0";"0";"0";"18.2";"2.1452";"48.39";"96.78";"2.3892";"0.3155";"0"
"facility";"C";"UGS Epe-NL-RWEGSWEST";"0.3203";"18.56";"-0.08";"0";"0";"0";"1.2";"1.7259";"47.72";"119.3";"1.6518";"0.095";"0"
"facility";"N";"UGS Hoogstede-Kalle (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS STASSFURT-RWEGSWEST";"1.4002";"20.49";"0.1";"0";"0";"7.71";"0.6";"6.8337";"85.48";"179.23";"6.7203";"0.257";"0"
"facility";"N";"UGS Xanten-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"SEFE Storage (Germany)";"5.0334";"9.15";"0.21";"0";"0";"136.3";"43.4";"54.9944";"535.43";"813.83";"24.2793";"30.715";"0"
"facility";"C";"UGS Jemgum H (SEFE Storage)";"2.5046";"26.18";"1.27";"0";"0";"121.9";"0";"9.568";"164.8";"253.33";"9.568";"0";"0"
"facility";"C";"UGS Rehden";"2.3343";"5.22";"-0.05";"0";"0";"0";"43.4";"44.6763";"352.62";"542.5";"13.9613";"30.715";"0"
"facility";"C";"VSP NORD (Rehden, Jemgum)";"0.1945";"25.94";"1.92";"0";"0";"14.4";"0";"0.75";"18";"18";"0.75";"0";"0"
"company";"C";"Storengy Deutschland";"3.0734";"16.58";"0.03";"0";"0";"11.89";"6.5";"18.539";"247.32";"528.24";"18.539";"0";"0"
"facility";"N";"UGS Fronhofen (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Harsefeld";"0.2341";"18.88";"0.53";"0";"0";"6.57";"0";"1.24";"27.6";"82.56";"1.24";"0";"0"
"facility";"C";"UGS Lesum";"0.178";"10.47";"0.24";"0";"0";"3.95";"0";"1.7";"31.68";"58.08";"1.7";"0";"0"
"facility";"C";"UGS Peckensen";"1.0724";"27.22";"0";"0";"0";"1.36";"1.4";"3.94";"86.04";"244.32";"3.94";"0";"0"
"facility";"C";"UGS Schmidhausen";"0.0129";"0.72";"0";"0";"0";"0";"0";"1.785";"11.04";"34.32";"1.785";"0";"0"
"facility";"C";"UGS Uelsen";"1.576";"15.96";"-0.05";"0";"0";"0";"5.1";"9.874";"90.96";"108.96";"9.874";"0";"0"
"company";"C";"SWKiel Speicher";"0.1042";"18.8";"0";"0";"0";"0";"0";"0.554";"11.52";"27.12";"0.554";"0";"0"
"facility";"N";"UGS Kiel Rönne (historical data Hansewerk prior to 01/04/2020)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Kiel-Rönne";"0.1042";"18.8";"0";"0";"0";"0";"0";"0.554";"11.52";"27.12";"0.554";"0";"0"
"company";"C";"TEP";"0.1518";"16.68";"-0.42";"0";"0";"0";"3.8";"0.9102";"10.8";"13.32";"0.9102";"0";"0"
"facility";"C";"TEP Storage Hub (Allmenhausen, Kirchheiligen)";"0.1518";"16.68";"-0.42";"0";"0";"0";"3.8";"0.9102";"10.8";"13.32";"0.9102";"0";"0"
"facility";"N";"UGS Allmenhausen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Trianel Gasspeicher Epe";"0.787";"37.4";"0.9";"0";"0";"20.89";"2";"2.1041";"83.23";"166.46";"2.4191";"-0.315";"0"
"facility";"C";"UGS Epe Trianel";"0.787";"37.4";"0.9";"0";"0";"20.89";"2";"2.1041";"83.23";"166.46";"2.4191";"-0.315";"0"
"company";"C";"Uniper Energy Storage";"16.3188";"26.68";"-0.24";"0";"0";"13.96";"163.5";"61.1548";"1317.96";"1770.72";"53.1027";"8.0515";"0"
"facility";"C";"UGS Bierwang";"3.0055";"31.74";"-0.61";"0";"0";"0";"57.8";"9.468";"274.8";"357.24";"9.468";"0";"0"
"facility";"C";"UGS Breitbrunn";"1.1605";"10.08";"-0.12";"0";"0";"0";"13.6";"11.5176";"69.3";"144.14";"6.8";"4.7176";"0"
"facility";"C";"UGS Epe Uniper H-Gas";"5.0751";"30.84";"0.06";"0";"0";"10";"0";"16.4565";"331.2";"469.2";"15.2966";"1.1599";"0"
"facility";"C";"UGS Epe Uniper L-Gas";"0.6341";"39.13";"-0.03";"0";"0";"2.54";"3.1";"1.6203";"48";"120";"1.6065";"0.0138";"0"
"facility";"N";"UGS Eschenfelden (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Etzel Erdgas Lager EGL";"3.8065";"35.96";"-0.02";"0";"0";"1.42";"3.2";"10.5859";"158.41";"276.45";"9.724";"0.8619";"0"
"facility";"C";"UGS Etzel ESE (Uniper Energy Storage)";"2.6371";"22.92";"-0.75";"0";"0";"0";"85.8";"11.5064";"436.25";"403.68";"10.2076";"1.2983";"0"
"facility";"N";"UGS Krummhorn (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"VNG Gasspeicher GmbH (6)";"4.6217";"19.11";"-0.19";"0";"0";"0";"47";"24.182";"376.02";"554.23";"24.182";"0";"0"
"facility";"C";"UGS Etzel ESE (VGS)";"0.1577";"11.94";"-0.29";"0";"0";"0";"3.8";"1.321";"29.23";"46.98";"1.321";"0";"0"
"facility";"N";"UGS Jemgum H (VGS) (historical data prior to 1 April 2025)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Kirchheiligen (historical data prior to 31 March 2018)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS Storage Hub (Bernburg, Bad Lauchstädt)";"4.4639";"19.53";"-0.19";"0";"0";"0";"43.2";"22.861";"346.79";"507.25";"22.861";"0";"0"
"facility";"N";"VGS VTP Storage GPL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"C";"Hungary";"23.4676";"34.52";"-0.15";"94.3";"24.89";"4.43";"106.2";"67.9909";"509.32";"798.9";"67.4683";"0.5225";"100"
"company";"C";"HEXUM";"13.2928";"65.17";"-0.03";"0";"0";"4.43";"11.5";"20.3979";"134.61";"263.9";"20.1129";"0.285";"0"
"facility";"C";"UGS Szöreg-1";"13.2928";"65.17";"-0.03";"0";"0";"4.43";"11.5";"20.3979";"134.61";"263.9";"20.1129";"0.285";"0"
"company";"C";"HGS (9)";"10.1748";"21.38";"-0.2";"0";"0";"0";"94.7";"47.5929";"374.71";"535";"47.3554";"0.2375";"0"
"facility";"C";"VGS MFGT (Pusztaederics, Zsana-Nord, Kardoskút-Pusztaszolos, Hajdúszoboszló)";"10.1748";"21.38";"-0.2";"0";"0";"0";"94.7";"47.5929";"374.71";"535";"47.3554";"0.2375";"0"
"country";"N";"Ireland";"0";"0";"0";"57.5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Kinsale Energy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Kinsale Southwest (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"E";"Italy";"95.9266";"47.17";"-0.2";"677.35";"14.16";"91.53";"493.6";"203.3485";"1705.07";"2922.32";"168.86";"35.539";"100"
"company";"N";"Edison Stoccaggio  (7)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"VGS Edison Stoccaggio (Collalto, Cellino, San Potito & Cotignola) - Historical data prior to 1 Mar 2025";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"IGS (7)";"0.3586";"9.73";"-0.32";"0";"0";"0";"0";"3.685";"24.44";"44";"4.7355";"0";"0"
"facility";"C";"UGS Cornegliano";"0.3586";"9.73";"-0.32";"0";"0";"0";"0";"3.685";"24.44";"44";"4.7355";"0";"0"
"company";"E";"Stogit (7)";"95.568";"47.86";"-0.2";"0";"0";"91.53";"493.6";"199.6635";"1680.63";"2878.32";"164.1245";"35.539";"0"
"facility";"E";"VGS HUB1 (Fiume Treste, Bordolano, Sabbioncello, Minerbio, Sergnano, Ripalta, Cortemaggiore, Brugherio, Settala)";"92.706";"49.25";"-0.18";"0";"0";"91.53";"436.9";"188.2185";"1601.63";"2783.07";"152.6795";"35.539";"0"
"facility";"C";"VGS HUB2 (Collalto, Cellino, San Potito & Cotignola) (7)";"2.862";"25.01";"-0.5";"0";"0";"0";"56.7";"11.445";"79";"95.25";"11.445";"0";"0"
"country";"C";"Latvia";"4.9164";"19.77";"0.05";"9.2";"53.44";"13.02";"0";"24.8653";"51";"130";"17.6291";"7.2362";"100"
"company";"C";"AS Conexus Baltic Grid";"4.9164";"19.77";"0.05";"0";"0";"13.02";"0";"24.8653";"51";"130";"17.6291";"7.2362";"0"
"facility";"C";"UGS Incukalns";"4.9164";"19.77";"0.05";"0";"0";"13.02";"0";"24.8653";"51";"130";"17.6291";"7.2362";"0"
"country";"C";"Netherlands";"14.8743";"10.31";"-0.14";"300.15";"4.96";"53.36";"258.5";"144.2965";"1522.23";"2610.12";"142.9267";"1.3697";"100"
"company";"C";"EnergyStock";"1.0826";"30.36";"0.36";"0";"0";"53.36";"40.6";"3.5664";"312.41";"435.46";"2.927";"0.6394";"0"
"facility";"C";"UGS EnergyStock";"1.0826";"30.36";"0.36";"0";"0";"53.36";"40.6";"3.5664";"312.41";"435.46";"2.927";"0.6394";"0"
"company";"C";"EWE Gasspeicher (NL) (5) (8)";"0.3257";"11.51";"0";"0";"0";"0";"0";"2.8303";"57.96";"82.8";"2.1";"0.7303";"0"
"facility";"N";"UGS Nüttermoor H-1 (historical data prior to 1 April 2025)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Nüttermoor H-4";"0.3257";"11.51";"0";"0";"0";"0";"0";"2.8303";"57.96";"82.8";"2.1";"0.7303";"0"
"company";"C";"NAM";"4.8229";"5.8";"-0.14";"0";"0";"0";"113.4";"83.1885";"602.81";"1353";"83.1885";"0";"0"
"facility";"C";"UGS Grijpskerk L-gas";"0.9292";"3.9";"0";"0";"0";"0";"0";"23.85";"154.06";"620.2";"23.85";"0";"0"
"facility";"C";"UGS Norg (Langelo) L-gas";"3.8937";"6.56";"-0.19";"0";"0";"0";"113.4";"59.3385";"448.75";"732.8";"59.3385";"0";"0"
"company";"C";"TAQA Gas Storage";"8.6303";"17.32";"-0.21";"0";"0";"0";"104.5";"49.8265";"509.05";"378.86";"49.8265";"0";"0"
"facility";"C";"UGS Bergermeer";"8.6303";"17.32";"-0.21";"0";"0";"0";"104.5";"49.8265";"509.05";"378.86";"49.8265";"0";"0"
"company";"C";"TAQA Piek Gas";"0.0128";"0.26";"0";"0";"0";"0";"0";"4.8847";"40";"360";"4.8847";"0";"0"
"facility";"C";"UGS Alkmaar";"0.0128";"0.26";"0";"0";"0";"0";"0";"4.8847";"40";"360";"4.8847";"0";"0"
"country";"C";"Poland";"18.2222";"50.19";"-0.28";"241.5";"7.55";"56.37";"158.9";"36.3098";"359.01";"595.31";"36.257";"0.0528";"100"
"company";"C";"GSP";"18.2222";"50.19";"-0.28";"0";"0";"56.37";"158.9";"36.3098";"359.01";"595.31";"36.257";"0.0528";"0"
