"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Dataset Coverage (%)"
"company";"C";"TAQA Gas Storage";"8.3308";"16.72";"-0.14";"0";"0";"0";"66.7";"49.8265";"508.33";"380.13";"49.8265";"0";"0"
"facility";"C";"UGS Bergermeer";"8.3308";"16.72";"-0.14";"0";"0";"0";"66.7";"49.8265";"508.33";"380.13";"49.8265";"0";"0"
"company";"C";"TAQA Piek Gas";"0.0128";"0.26";"0";"0";"0";"0";"0";"4.8847";"40";"360";"4.8847";"0";"0"
"facility";"C";"UGS Alkmaar";"0.0128";"0.26";"0";"0";"0";"0";"0";"4.8847";"40";"360";"4.8847";"0";"0"
"country";"C";"Poland";"17.7255";"48.82";"-0.19";"241.5";"7.34";"0";"67.8";"36.3098";"359.01";"595.31";"36.257";"0.0528";"100"
"company";"C";"GSP";"17.7255";"48.82";"-0.19";"0";"0";"0";"67.8";"36.3098";"359.01";"595.31";"36.257";"0.0528";"0"
"facility";"N";"GSP historical data prior to 4 Feb 2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Wierzchowice";"5.1994";"36.45";"-0.37";"0";"0";"0";"52.4";"14.2636";"107.52";"158.4";"14.2536";"0.01";"0"
"facility";"C";"VGS GIM Kawerna (Kosakowo, Mogilno)";"8.6583";"90.26";"-0.01";"0";"0";"0";"0.9";"9.593";"133.7";"307.56";"9.5502";"0.0428";"0"
"facility";"C";"VGS GIM Sanok (Brzeznica, Husow, Strachocina, Swarzow)";"3.8678";"31.06";"-0.12";"0";"0";"0";"14.4";"12.4532";"117.79";"129.35";"12.4532";"0";"0"
"country";"C";"Portugal";"2.739";"76.72";"0";"42.55";"6.44";"0";"0";"3.57";"0";"85.68";"0.1741";"3.3959";"100"
"company";"C";"REN Armazenagem";"2.739";"76.72";"0";"0";"0";"0";"0";"3.57";"0";"85.68";"0.1741";"3.3959";"0"
"facility";"C";"UGS Carriço";"2.739";"76.72";"0";"0";"0";"0";"0";"3.57";"0";"85.68";"0.1741";"3.3959";"0"
"country";"E";"Romania";"10.4649";"30.9";"-0.34";"109.25";"9.58";"5";"120.6";"33.8636";"240.75";"338.44";"33.8636";"0";"100"
"company";"E";"Depomures";"1.1013";"34.91";"-0.47";"0";"0";"0";"14.8";"3.1546";"0";"26";"3.1546";"0";"0"
"facility";"E";"UGS Târgu Mureş";"1.1013";"34.91";"-0.47";"0";"0";"0";"14.8";"3.1546";"0";"26";"3.1546";"0";"0"
"company";"C";"Depogaz Ploiești";"9.3637";"30.49";"-0.33";"0";"0";"5";"105.8";"30.709";"240.75";"312.44";"30.709";"0";"0"
"facility";"C";"UGS Bălăceanca ";"0.2315";"43.26";"-0.3";"0";"0";"0";"1.7";"0.535";"10.7";"12.84";"0.5388";"0";"0"
"facility";"C";"UGS Bilciuresti";"3.6954";"26.36";"-0.35";"0";"0";"0";"48.9";"14.017";"107";"149.8";"14.017";"0";"0"
"facility";"N";"UGS Cetatea de Baltă ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Ghercesti";"1.2181";"45.54";"-0.36";"0";"0";"0";"9.7";"2.675";"21.4";"21.4";"2.6712";"0";"0"
"facility";"C";"UGS Sărmășel ";"3.4508";"35.83";"-0.26";"0";"0";"5";"30";"9.63";"69.55";"80.25";"9.63";"0";"0"
"facility";"C";"UGS Urziceni";"0.7679";"19.94";"-0.4";"0";"0";"0";"15.5";"3.852";"32.1";"48.15";"3.852";"0";"0"
"country";"C";"Slovakia";"9.9014";"26.61";"-0.18";"49.45";"20.02";"26.91";"93.7";"37.2158";"541.52";"687.4";"31.9893";"5.2265";"100"
"company";"C";"Nafta";"9.2434";"30.54";"-0.24";"0";"0";"21.94";"93.1";"30.2688";"468.86";"614.74";"28.8153";"1.4535";"0"
"facility";"C";"UGS Complex Láb";"9.2434";"30.54";"-0.24";"0";"0";"21.94";"93.1";"30.2688";"468.86";"614.74";"28.8153";"1.4535";"0"
"company";"C";"Pozagas";"0.658";"9.47";"0.06";"0";"0";"4.96";"0.5";"6.947";"72.66";"72.66";"3.174";"3.773";"0"
"facility";"C";"UGS Lab IV - Pozagas";"0.658";"9.47";"0.06";"0";"0";"4.96";"0.5";"6.947";"72.66";"72.66";"3.174";"3.773";"0"
"country";"E";"Spain";"19.982";"55.77";"-0.01";"326.6";"6.12";"0";"2.1";"35.8318";"143.34";"208.96";"31.1891";"4.6428";"100"
"company";"E";"Enagás GTS";"19.982";"55.77";"-0.01";"0";"0";"0";"2.1";"35.8318";"143.34";"208.96";"31.1891";"4.6428";"0"
"facility";"E";"VGS Enagás Basic Underground Storage (Serrablo, Yela, Gaviota, Marismas)";"19.982";"55.77";"-0.01";"0";"0";"0";"2.1";"35.8318";"143.34";"208.96";"31.1891";"4.6428";"0"
"country";"C";"Sweden";"0.0121";"14.58";"0";"11.5";"0.11";"0";"0";"0.083";"6.63";"8.77";"0.0743";"0.0045";"100"
"company";"C";"Swedegas";"0.0121";"14.58";"0";"0";"0";"0";"0";"0.083";"6.63";"8.77";"0.0743";"0.0045";"0"
"facility";"C";"UGS Skallen";"0.0121";"14.58";"0";"0";"0";"0";"0";"0.083";"6.63";"8.77";"0.0743";"0.0045";"0"
"country";"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Centrica Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"EDF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Humbly Grove Energy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Humbly Grove";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Scottish Power";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Storengy UK";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stublach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Uniper Energy Storage Ltd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holford";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Non-EU";"E";"Non-EU";"54.0042";"16.36";"0.04";"228.85";"0";"66.29";"73.7";"330.0189";"3030.29";"1796.85";"0";"0";"93.07"
"country";"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Srbijagas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Banatski Dvor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"C";"Ukraine";"50.7273";"15.84";"0.02";"228.85";"22.17";"0";"73.7";"320.1554";"2352.35";"1256.07";"0";"0";"100"
"company";"C";"Ukrtransgaz";"50.7273";"15.84";"0.02";"0";"0";"0";"73.7";"320.1554";"2352.35";"1256.07";"0";"0";"0"
"facility";"C";"VGS Ukraine (all storage facilities)";"50.7273";"15.84";"0.02";"0";"0";"0";"73.7";"320.1554";"2352.35";"1256.07";"0";"269.4281";"0"
"country";"E";"United Kingdom (Post-Brexit)";"3.2769";"33.22";"0.67";"0";"0";"66.29";"0";"9.8636";"677.93";"540.78";"0";"0";"28.64"
"company";"N";"Centrica Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"16.5";"0";"0";"0";"0";"0"
"company";"N";"EDF (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.649";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Humbly Grove Energy (Post-Brexit)";"0.2714";"9.64";"0";"0";"0";"0";"0";"2.815";"89";"20";"0";"0";"0"
"facility";"C";"UGS Humbly Grove (Post-Brexit)";"0.2714";"9.64";"0";"0";"0";"0";"0";"2.815";"89";"20";"2.815";"0";"0"
"company";"N";"Scottish Power (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.77";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.245";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.41";"0";"0";"0";"0";"0"
"company";"E";"Storengy UK (Post-Brexit)";"1.0669";"24.25";"0";"0";"0";"0";"0";"4.4";"300";"280";"0";"0";"0"
"facility";"E";"UGS Stublach (Post-Brexit)";"1.0669";"24.25";"0";"0";"0";"0";"0";"4.4";"300";"280";"0";"0";"0"
"company";"C";"Uniper Energy Storage Ltd (Post-Brexit)";"1.9386";"73.19";"2.5";"0";"0";"66.29";"0";"2.6486";"288.93";"240.78";"0";"0";"0"
"facility";"C";"UGS Holford (Post-Brexit)";"1.9386";"73.19";"2.5";"0";"0";"66.29";"0";"2.6486";"288.93";"240.78";"2.6486";"0";"0"
