DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BWA: Botswana,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,22.59229850769043,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRA: Brazil,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,31.243974685668945,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGR: Bulgaria,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,24.70779800415039,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BFA: Burkina Faso,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,42.12199401855469,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BDI: Burundi,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,65.76881408691406,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CPV: Cabo Verde,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,38.45766830444336,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KHM: Cambodia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,20.90945816040039,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,45.882713317871094,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,45.909053802490234,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,16.2085018157959,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHN: China,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,1.830155611038208,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COL: Colombia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,33.25801086425781,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COM: Comoros,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,48.072731018066406,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COG: Congo,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,43.87609100341797,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,29.748498916625977,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HRV: Croatia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,20.791370391845703,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,50.1514778137207,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,64.28990173339844,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DJI: Djibouti,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,22.295270919799805,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,20.5836181640625,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,30.900938034057617,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,33.88735580444336,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLV: El Salvador,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,34.94133758544922,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,74.32402038574219,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,25.7224178314209,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FJI: Fiji,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,34.83222198486328,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GAB: Gabon,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,34.876747131347656,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,54.65536880493164,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GEO: Georgia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,14.059771537780762,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GHA: Ghana,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,26.847610473632812,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GTM: Guatemala,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,66.07859802246094,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GIN: Guinea,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,57.36674118041992,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GNB: Guinea-Bissau,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,72.29073333740234,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HTI: Haiti,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,63.68244171142578,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HND: Honduras,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,53.40120315551758,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IND: India,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,27.430360794067383,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IDN: Indonesia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,10.550309181213379,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRQ: Iraq,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,23.22723388671875,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JAM: Jamaica,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,20.36478614807129,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JOR: Jordan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,16.061487197875977,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KAZ: Kazakhstan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,2.867136001586914,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KEN: Kenya,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,41.43208694458008,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,XKX: Kosovo (UNSCR 1244),PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,20.894224166870117,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KGZ: Kyrgyzstan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,29.264179229736328,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LAO: Lao People's Democratic Republic,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,31.95730972290039,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBN: Lebanon,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,32.38874053955078,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LSO: Lesotho,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,57.21500015258789,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBR: Liberia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,52.79915237426758,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDG: Madagascar,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,73.9231948852539,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MWI: Malawi,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,53.53713607788086,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MYS: Malaysia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,0.4306248426437378,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDV: Maldives,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,8.688265800476074,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLI: Mali,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,41.88525390625,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MRT: Mauritania,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,37.464229583740234,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MUS: Mauritius,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,11.495019912719727,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MEX: Mexico,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,50.174766540527344,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FSM: Micronesia (Federated States of),PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,46.75001907348633,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNG: Mongolia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,28.646686553955078,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNE: Montenegro,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,21.648578643798828,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MAR: Morocco,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,5.08243989944458,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MOZ: Mozambique,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,47.82320785522461,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MMR: Myanmar,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,31.287940979003906,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NAM: Namibia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,21.516294479370117,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NPL: Nepal,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,29.7550048828125,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NIC: Nicaragua,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,29.25958251953125,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NER: Niger,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,45.66938018798828,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NGA: Nigeria,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,48.78692626953125,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MKD: North Macedonia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,22.2236385345459,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAK: Pakistan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,27.686067581176758,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAN: Panama,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,34.509525299072266,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PNG: Papua New Guinea,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,41.37411117553711,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRY: Paraguay,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,30.337833404541016,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PER: Peru,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,25.150108337402344,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PHL: Philippines,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,27.389780044555664,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDA: Republic of Moldova,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,4.577531814575195,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ROU: Romania,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,25.362703323364258,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,RUS: Russian Federation,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,14.529766082763672,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,RWA: Rwanda,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,39.43763732910156,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LCA: Saint Lucia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,25.657676696777344,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WSM: Samoa,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,21.159971237182617,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,STP: Sao Tome and Principe,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,63.72539520263672,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SEN: Senegal,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,51.716949462890625,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SRB: Serbia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,15.771257400512695,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SYC: Seychelles,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,42.0206413269043,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLE: Sierra Leone,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,53.342063903808594,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLB: Solomon Islands,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,15.983909606933594,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZAF: South Africa,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,61.17396926879883,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SSD: South Sudan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,84.60417175292969,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LKA: Sri Lanka,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,5.217876434326172,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PSE: State of Palestine,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,33.450740814208984,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDN: Sudan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,48.98845672607422,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TJK: Tajikistan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,29.23322105407715,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,THA: Thailand,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,10.657964706420898,,PCNT: %,,,,,,,,,,,,,,_T: Total
