Country Name,Country Code,Year,Value
United States,USA,1978-01-01,23.4284841930958
Canada,CAN,1979-01-01,22.051404291622
Spain,ESP,1979-01-01,22.5724095540934
France,FRA,1979-01-01,25.0398762176243
United Kingdom,GBR,1979-01-01,21.2428252316399
Italy,ITA,1979-01-01,26.1411488315962
Japan,JPN,1979-01-01,
United States,USA,1979-01-01,23.5221420352883
Canada,CAN,1980-01-01,22.1704764957586
Spain,ESP,1980-01-01,20.480456656127
France,FRA,1980-01-01,24.3533213996433
United Kingdom,GBR,1980-01-01,19.6411480042688
Italy,ITA,1980-01-01,24.7572488986022
Japan,JPN,1980-01-01,
United States,USA,1980-01-01,22.2028644454376
Canada,CAN,1981-01-01,22.4920879562004
Spain,ESP,1981-01-01,18.4851644659119
France,FRA,1981-01-01,21.9950190165934
United Kingdom,GBR,1981-01-01,18.3985837735992
Italy,ITA,1981-01-01,22.5074854342629
Japan,JPN,1981-01-01,
United States,USA,1981-01-01,23.3667732966308
Canada,CAN,1982-01-01,19.9000197256633
Spain,ESP,1982-01-01,18.5596295643588
France,FRA,1982-01-01,20.7957828992039
United Kingdom,GBR,1982-01-01,18.2365420308145
Italy,ITA,1982-01-01,22.1942707219843
Japan,JPN,1982-01-01,
United States,USA,1982-01-01,21.7901308964172
Canada,CAN,1983-01-01,20.0524333635051
Spain,ESP,1983-01-01,18.392810160917
France,FRA,1983-01-01,20.3883716955639
United Kingdom,GBR,1983-01-01,18.8801229900319
Italy,ITA,1983-01-01,22.7760992338686
Japan,JPN,1983-01-01,
United States,USA,1983-01-01,19.795417659364
Canada,CAN,1984-01-01,20.9120670286039
Spain,ESP,1984-01-01,20.0759385065203
France,FRA,1984-01-01,20.1755051185919
United Kingdom,GBR,1984-01-01,19.1777177805489
Italy,ITA,1984-01-01,22.8651272243722
Japan,JPN,1984-01-01,
United States,USA,1984-01-01,21.9110400129978
Canada,CAN,1985-01-01,20.5341919478833
Spain,ESP,1985-01-01,20.8743935274388
France,FRA,1985-01-01,20.1936592561837
United Kingdom,GBR,1985-01-01,18.6937584575324
Italy,ITA,1985-01-01,22.4714524597835
Japan,JPN,1985-01-01,
United States,USA,1985-01-01,20.3656666695091
Canada,CAN,1986-01-01,18.9670205444794
Spain,ESP,1986-01-01,21.7912177480976
France,FRA,1986-01-01,21.4700632218059
United Kingdom,GBR,1986-01-01,17.4951106266819
Italy,ITA,1986-01-01,22.0861227153835
Japan,JPN,1986-01-01,
United States,USA,1986-01-01,18.9610254625318
Canada,CAN,1987-01-01,20.1667923475428
Spain,ESP,1987-01-01,21.6897899707308
France,FRA,1987-01-01,21.3797408142477
United Kingdom,GBR,1987-01-01,17.7343995511548
Italy,ITA,1987-01-01,21.9219025705185
Japan,JPN,1987-01-01,
United States,USA,1987-01-01,19.6213555939335
Canada,CAN,1988-01-01,20.9609933798497
Spain,ESP,1988-01-01,22.835305464968
France,FRA,1988-01-01,22.6868909897163
United Kingdom,GBR,1988-01-01,17.9115777037207
Italy,ITA,1988-01-01,21.9832181355282
Japan,JPN,1988-01-01,
United States,USA,1988-01-01,20.6348666784559
Canada,CAN,1989-01-01,20.1384756223107
Spain,ESP,1989-01-01,22.2977806383021
France,FRA,1989-01-01,23.2157722397452
United Kingdom,GBR,1989-01-01,17.6264019932966
Italy,ITA,1989-01-01,21.2747258072004
Japan,JPN,1989-01-01,
United States,USA,1989-01-01,19.749360994615
Canada,CAN,1990-01-01,17.7598907649728
Spain,ESP,1990-01-01,21.8050765738779
France,FRA,1990-01-01,23.3273942538973
United Kingdom,GBR,1990-01-01,16.3496153270307
Italy,ITA,1990-01-01,21.1074730216005
Japan,JPN,1990-01-01,
United States,USA,1990-01-01,18.7592652466551
Canada,CAN,1991-01-01,15.1422078826112
Spain,ESP,1991-01-01,21.1978304250915
France,FRA,1991-01-01,22.9607705892912
United Kingdom,GBR,1991-01-01,15.6632129401407
Italy,ITA,1991-01-01,20.2597654218303
Japan,JPN,1991-01-01,
United States,USA,1991-01-01,18.814188530315
Canada,CAN,1992-01-01,14.0569176510518
Spain,ESP,1992-01-01,19.3437280279049
France,FRA,1992-01-01,22.3786751149872
United Kingdom,GBR,1992-01-01,14.6499578408125
Italy,ITA,1992-01-01,19.2590495245254
Japan,JPN,1992-01-01,
United States,USA,1992-01-01,17.6880246956939
Canada,CAN,1993-01-01,14.8838279479694
Spain,ESP,1993-01-01,19.1889092562504
France,FRA,1993-01-01,21.2372059859379
United Kingdom,GBR,1993-01-01,14.4969397067822
Italy,ITA,1993-01-01,19.9829539516023
Japan,JPN,1993-01-01,
United States,USA,1993-01-01,17.051004445686
Canada,CAN,1994-01-01,16.9829901791132
Spain,ESP,1994-01-01,18.705030732349
France,FRA,1994-01-01,21.3533117895095
United Kingdom,GBR,1994-01-01,16.6506791531442
Italy,ITA,1994-01-01,20.0768073056891
Japan,JPN,1994-01-01,
United States,USA,1994-01-01,17.8617050415274
Canada,CAN,1995-01-01,18.9495948122556
Spain,ESP,1995-01-01,21.3142474727056
France,FRA,1995-01-01,21.8752199817545
United Kingdom,GBR,1995-01-01,15.5228534323987
Italy,ITA,1995-01-01,22.1010260302703
Japan,JPN,1995-01-01,
United States,USA,1995-01-01,18.7589369755472
Canada,CAN,1996-01-01,19.4615675805776
Spain,ESP,1996-01-01,20.9996285455055
France,FRA,1996-01-01,21.7625763480066
United Kingdom,GBR,1996-01-01,15.7269338890894
Italy,ITA,1996-01-01,22.3680404712793
Japan,JPN,1996-01-01,33.4273406625506
United States,USA,1996-01-01,19.6511225768668
Canada,CAN,1997-01-01,20.1967340150017
Spain,ESP,1997-01-01,22.0686885635769
France,FRA,1997-01-01,22.7988060048228
United Kingdom,GBR,1997-01-01,16.2292917369583
Italy,ITA,1997-01-01,22.4219693080886
Japan,JPN,1997-01-01,33.2100802349171
United States,USA,1997-01-01,20.8476579331725
Canada,CAN,1998-01-01,19.7742142760708
Spain,ESP,1998-01-01,22.7010502257492
France,FRA,1998-01-01,23.8563316570802
United Kingdom,GBR,1998-01-01,17.4805289099435
Italy,ITA,1998-01-01,21.6296381292859
Japan,JPN,1998-01-01,32.3544709683694
United States,USA,1998-01-01,21.3905003267748
Canada,CAN,1999-01-01,21.0958867819622
Spain,ESP,1999-01-01,22.2884250560485
France,FRA,1999-01-01,24.4938780481338
United Kingdom,GBR,1999-01-01,15.9551397819471
Italy,ITA,1999-01-01,21.0309055450719
Japan,JPN,1999-01-01,30.6518306494592
United States,USA,1999-01-01,20.9261032821343
Canada,CAN,2000-01-01,23.7746280731218
Spain,ESP,2000-01-01,22.3291522626879
France,FRA,2000-01-01,23.8386009528445
United Kingdom,GBR,2000-01-01,16.5886991014274
Italy,ITA,2000-01-01,20.5897816242221
Japan,JPN,2000-01-01,31.0308542274003
United States,USA,2000-01-01,20.8133351907218
Canada,CAN,2001-01-01,22.635489053482
Spain,ESP,2001-01-01,22.0816587683373
France,FRA,2001-01-01,23.9404762643034
United Kingdom,GBR,2001-01-01,16.5240216584058
Italy,ITA,2001-01-01,20.9968315090116
Japan,JPN,2001-01-01,29.7229420266358
United States,USA,2001-01-01,19.6572760977701
Canada,CAN,2002-01-01,21.7247371980219
Spain,ESP,2002-01-01,22.9641686637306
France,FRA,2002-01-01,22.7523875694286
United Kingdom,GBR,2002-01-01,16.3811417054504
Italy,ITA,2002-01-01,21.0666925572371
Japan,JPN,2002-01-01,28.5044109298517
United States,USA,2002-01-01,18.3808596273365
Canada,CAN,2003-01-01,21.943777150402
Spain,ESP,2003-01-01,23.6290828101703
France,FRA,2003-01-01,22.2383462168424
United Kingdom,GBR,2003-01-01,16.1186112942871
Italy,ITA,2003-01-01,20.3992810354939
Japan,JPN,2003-01-01,28.7158768062831
United States,USA,2003-01-01,17.4287148287646
Canada,CAN,2004-01-01,23.6605040718316
Spain,ESP,2004-01-01,22.8078776654459
France,FRA,2004-01-01,22.5524343676712
United Kingdom,GBR,2004-01-01,15.4723844236668
Italy,ITA,2004-01-01,20.7760312926004
Japan,JPN,2004-01-01,29.3158843764027
United States,USA,2004-01-01,17.7331607023412
Canada,CAN,2005-01-01,24.4517541390569
Spain,ESP,2005-01-01,22.123066771185
France,FRA,2005-01-01,22.4640693861935
United Kingdom,GBR,2005-01-01,15.9936384511215
Italy,ITA,2005-01-01,20.2794835106252
Japan,JPN,2005-01-01,29.5148769788967
United States,USA,2005-01-01,18.1224580010564
Canada,CAN,2006-01-01,24.6172770797873
Spain,ESP,2006-01-01,21.7157532606347
France,FRA,2006-01-01,23.3077574035684
United Kingdom,GBR,2006-01-01,15.2658064278965
Italy,ITA,2006-01-01,20.4880672252745
Japan,JPN,2006-01-01,29.8159321777965
United States,USA,2006-01-01,19.199754364329
Canada,CAN,2007-01-01,24.4043195574877
Spain,ESP,2007-01-01,21.0138456182275
France,FRA,2007-01-01,23.7487174153115
United Kingdom,GBR,2007-01-01,14.9160651384004
Italy,ITA,2007-01-01,20.8752734647561
Japan,JPN,2007-01-01,30.3433799383529
United States,USA,2007-01-01,17.427948488859
Canada,CAN,2008-01-01,24.2474093054808
Spain,ESP,2008-01-01,19.5605358727822
France,FRA,2008-01-01,23.4409629272694
United Kingdom,GBR,2008-01-01,13.7089979329487
Italy,ITA,2008-01-01,18.9922372892843
Japan,JPN,2008-01-01,28.6421074070242
United States,USA,2008-01-01,15.0588069137003
Canada,CAN,2009-01-01,18.5200134745716
Spain,ESP,2009-01-01,19.2242151132443
France,FRA,2009-01-01,20.9719335759451
United Kingdom,GBR,2009-01-01,11.9025830347078
Italy,ITA,2009-01-01,17.6282488983716
Japan,JPN,2009-01-01,25.3311155031213
United States,USA,2009-01-01,13.8930493967185
Canada,CAN,2010-01-01,19.312530097616
Spain,ESP,2010-01-01,18.6433165682801
France,FRA,2010-01-01,21.0861195111512
United Kingdom,GBR,2010-01-01,13.410002436171
Italy,ITA,2010-01-01,17.2725532703561
Japan,JPN,2010-01-01,26.3773227234459
United States,USA,2010-01-01,15.3832511206248
Canada,CAN,2011-01-01,20.8571094113825
Spain,ESP,2011-01-01,17.8554893433824
France,FRA,2011-01-01,22.1153433560682
United Kingdom,GBR,2011-01-01,14.3024781713069
Italy,ITA,2011-01-01,17.6442563864904
Japan,JPN,2011-01-01,25.5805714085266
United States,USA,2011-01-01,16.3373255386695
Canada,CAN,2012-01-01,20.9179512281937
Spain,ESP,2012-01-01,18.5169783163752
France,FRA,2012-01-01,21.455713942165
United Kingdom,GBR,2012-01-01,12.9149029058058
Italy,ITA,2012-01-01,17.5508777110092
Japan,JPN,2012-01-01,24.895748835138
United States,USA,2012-01-01,18.3792944123805
Canada,CAN,2013-01-01,21.5972984025064
Spain,ESP,2013-01-01,19.2536075492271
France,FRA,2013-01-01,21.3898218290107
United Kingdom,GBR,2013-01-01,11.9135958463683
Italy,ITA,2013-01-01,18.0318218226767
Japan,JPN,2013-01-01,25.2525231315864
United States,USA,2013-01-01,18.5633187946246
Canada,CAN,2014-01-01,22.1484938947536
Spain,ESP,2014-01-01,19.577920916415
France,FRA,2014-01-01,21.4889405362569
United Kingdom,GBR,2014-01-01,12.7009560485373
Italy,ITA,2014-01-01,18.8605485231185
Japan,JPN,2014-01-01,25.7720886257814
United States,USA,2014-01-01,19.656661027986
Canada,CAN,2015-01-01,19.5693636315682
Spain,ESP,2015-01-01,21.0081906548042
France,FRA,2015-01-01,22.2548692625756
United Kingdom,GBR,2015-01-01,12.9240720172424
Italy,ITA,2015-01-01,18.5317289680967
Japan,JPN,2015-01-01,28.1789158205035
United States,USA,2015-01-01,19.6984272057875
Canada,CAN,2016-01-01,19.1464545719812
Spain,ESP,2016-01-01,21.9199980138122
France,FRA,2016-01-01,22.0060756495683
United Kingdom,GBR,2016-01-01,12.4845682487876
Italy,ITA,2016-01-01,20.1983328502534
Japan,JPN,2016-01-01,28.7272232413719
United States,USA,2016-01-01,18.5586926139993
Canada,CAN,2017-01-01,19.845280989292
Spain,ESP,2017-01-01,22.1760328389854
France,FRA,2017-01-01,22.752944566294
United Kingdom,GBR,2017-01-01,14.9906366956537
Italy,ITA,2017-01-01,20.6846951376358
Japan,JPN,2017-01-01,29.2896671713554
United States,USA,2017-01-01,18.9790569108808
Canada,CAN,2018-01-01,19.5829312304021
Spain,ESP,2018-01-01,22.3463794407745
France,FRA,2018-01-01,23.1569198436634
United Kingdom,GBR,2018-01-01,14.2538751305031
Italy,ITA,2018-01-01,21.1288375440646
Japan,JPN,2018-01-01,29.1254674586362
United States,USA,2018-01-01,19.232096061117
Canada,CAN,2019-01-01,20.2616339861192
Spain,ESP,2019-01-01,22.9344685004264
France,FRA,2019-01-01,23.7696009751507
United Kingdom,GBR,2019-01-01,15.688148312009
Italy,ITA,2019-01-01,21.4922870780985
Japan,JPN,2019-01-01,29.1717018986434
United States,USA,2019-01-01,19.5087911355189
Canada,CAN,2020-01-01,19.4618890023723
Spain,ESP,2020-01-01,21.089406844683
France,FRA,2020-01-01,20.8478848524533
United Kingdom,GBR,2020-01-01,14.7038527775218
Italy,ITA,2020-01-01,21.5886797937902
Japan,JPN,2020-01-01,28.1676671519298
United States,USA,2020-01-01,18.6176959567039
Canada,CAN,2021-01-01,23.2907782447506
Spain,ESP,2021-01-01,22.3462068153421
France,FRA,2021-01-01,23.5692716739141
United Kingdom,GBR,2021-01-01,17.459136378272
Italy,ITA,2021-01-01,24.1277785112638
Japan,JPN,2021-01-01,29.5504503863973
United States,USA,2021-01-01,17.9221770116348
Canada,CAN,2022-01-01,24.074784587365
Spain,ESP,2022-01-01,22.0942741093714
France,FRA,2022-01-01,22.6382638077577
United Kingdom,GBR,2022-01-01,16.722696834247
Italy,ITA,2022-01-01,21.4573202005685
Japan,JPN,2022-01-01,28.4470169340027
United States,USA,2022-01-01,18.1603495448357
Canada,CAN,2023-01-01,21.8492943086357
Spain,ESP,2023-01-01,22.8538462011925
France,FRA,2023-01-01,23.0112641939363
United Kingdom,GBR,2023-01-01,15.3923425705054
Italy,ITA,2023-01-01,21.2210741467324
Japan,JPN,2023-01-01,
United States,USA,2023-01-01,
