country,date,measure,value
Northern Ireland,2005-06,T01:40 (Aged 16-64 - Inactive : All People ),337000
Northern Ireland,2005-06,T01:43 (Aged 16-19 - All : All People ),106000
Northern Ireland,2005-06,T01:61 (Aged 16-19 - Inactive : All People ),63900
Northern Ireland,2005-06,T01:64 (Aged 20-24 - All : All People ),116100
Northern Ireland,2005-06,T01:82 (Aged 20-24 - Inactive : All People ),32900
Northern Ireland,2005-06,T01:85 (Aged 25-34 - All : All People ),230900
Northern Ireland,2005-06,T01:103 (Aged 25-34 - Inactive : All People ),39700
Northern Ireland,2005-06,T01:106 (Aged 35-49 - All : All People ),370000
Northern Ireland,2005-06,T01:124 (Aged 35-49 - Inactive : All People ),79500
Northern Ireland,2005-06,T01:127 (Aged 50+ - All : All People ),496600
Northern Ireland,2005-06,T01:145 (Aged 50+ - Inactive : All People ),331400
Northern Ireland,2005-06,T01:148 (Aged 50-64 - All : All People ),275300
Northern Ireland,2005-06,T01:166 (Aged 50-64 - Inactive : All People ),121000
United Kingdom,2005-09,T01:22 (Aged 16-64 - All : All People ),38648900
United Kingdom,2005-09,T01:40 (Aged 16-64 - Inactive : All People ),9166200
United Kingdom,2005-09,T01:43 (Aged 16-19 - All : All People ),3057700
United Kingdom,2005-09,T01:61 (Aged 16-19 - Inactive : All People ),1303600
United Kingdom,2005-09,T01:64 (Aged 20-24 - All : All People ),3840700
United Kingdom,2005-09,T01:82 (Aged 20-24 - Inactive : All People ),934600
United Kingdom,2005-09,T01:85 (Aged 25-34 - All : All People ),7945600
United Kingdom,2005-09,T01:103 (Aged 25-34 - Inactive : All People ),1321200
United Kingdom,2005-09,T01:106 (Aged 35-49 - All : All People ),13189900
United Kingdom,2005-09,T01:124 (Aged 35-49 - Inactive : All People ),2020000
United Kingdom,2005-09,T01:127 (Aged 50+ - All : All People ),19815200
United Kingdom,2005-09,T01:145 (Aged 50+ - Inactive : All People ),12210400
United Kingdom,2005-09,T01:148 (Aged 50-64 - All : All People ),10614900
United Kingdom,2005-09,T01:166 (Aged 50-64 - Inactive : All People ),3586800
England,2005-09,T01:22 (Aged 16-64 - All : All People ),32374400
England,2005-09,T01:40 (Aged 16-64 - Inactive : All People ),7572200
England,2005-09,T01:43 (Aged 16-19 - All : All People ),2539200
England,2005-09,T01:61 (Aged 16-19 - Inactive : All People ),1085200
England,2005-09,T01:64 (Aged 20-24 - All : All People ),3206600
England,2005-09,T01:82 (Aged 20-24 - Inactive : All People ),789600
England,2005-09,T01:85 (Aged 25-34 - All : All People ),6740600
England,2005-09,T01:103 (Aged 25-34 - Inactive : All People ),1121100
England,2005-09,T01:106 (Aged 35-49 - All : All People ),11047000
England,2005-09,T01:124 (Aged 35-49 - Inactive : All People ),1673600
England,2005-09,T01:127 (Aged 50+ - All : All People ),16521900
England,2005-09,T01:145 (Aged 50+ - Inactive : All People ),10085100
England,2005-09,T01:148 (Aged 50-64 - All : All People ),8841100
England,2005-09,T01:166 (Aged 50-64 - Inactive : All People ),2902700
Wales,2005-09,T01:22 (Aged 16-64 - All : All People ),1867700
Wales,2005-09,T01:40 (Aged 16-64 - Inactive : All People ),504700
Wales,2005-09,T01:43 (Aged 16-19 - All : All People ),155500
Wales,2005-09,T01:61 (Aged 16-19 - Inactive : All People ),63300
Wales,2005-09,T01:64 (Aged 20-24 - All : All People ),187000
Wales,2005-09,T01:82 (Aged 20-24 - Inactive : All People ),46000
Wales,2005-09,T01:85 (Aged 25-34 - All : All People ),344000
Wales,2005-09,T01:103 (Aged 25-34 - Inactive : All People ),62100
Wales,2005-09,T01:106 (Aged 35-49 - All : All People ),617700
Wales,2005-09,T01:124 (Aged 35-49 - Inactive : All People ),103500
Wales,2005-09,T01:127 (Aged 50+ - All : All People ),1061100
Wales,2005-09,T01:145 (Aged 50+ - Inactive : All People ),702000
Wales,2005-09,T01:148 (Aged 50-64 - All : All People ),563500
Wales,2005-09,T01:166 (Aged 50-64 - Inactive : All People ),229900
Scotland,2005-09,T01:22 (Aged 16-64 - All : All People ),3305000
Scotland,2005-09,T01:40 (Aged 16-64 - Inactive : All People ),761100
Scotland,2005-09,T01:43 (Aged 16-19 - All : All People ),257400
Scotland,2005-09,T01:61 (Aged 16-19 - Inactive : All People ),93400
Scotland,2005-09,T01:64 (Aged 20-24 - All : All People ),330200
Scotland,2005-09,T01:82 (Aged 20-24 - Inactive : All People ),67700
Scotland,2005-09,T01:85 (Aged 25-34 - All : All People ),630200
Scotland,2005-09,T01:103 (Aged 25-34 - Inactive : All People ),99700
Scotland,2005-09,T01:106 (Aged 35-49 - All : All People ),1153600
Scotland,2005-09,T01:124 (Aged 35-49 - Inactive : All People ),168000
Scotland,2005-09,T01:127 (Aged 50+ - All : All People ),1733700
Scotland,2005-09,T01:145 (Aged 50+ - Inactive : All People ),1090700
Scotland,2005-09,T01:148 (Aged 50-64 - All : All People ),933800
Scotland,2005-09,T01:166 (Aged 50-64 - Inactive : All People ),332500
Northern Ireland,2005-09,T01:22 (Aged 16-64 - All : All People ),1101700
Northern Ireland,2005-09,T01:40 (Aged 16-64 - Inactive : All People ),328200
Northern Ireland,2005-09,T01:43 (Aged 16-19 - All : All People ),105700
Northern Ireland,2005-09,T01:61 (Aged 16-19 - Inactive : All People ),61800
Northern Ireland,2005-09,T01:64 (Aged 20-24 - All : All People ),116900
Northern Ireland,2005-09,T01:82 (Aged 20-24 - Inactive : All People ),31300
Northern Ireland,2005-09,T01:85 (Aged 25-34 - All : All People ),230900
Northern Ireland,2005-09,T01:103 (Aged 25-34 - Inactive : All People ),38400
Northern Ireland,2005-09,T01:106 (Aged 35-49 - All : All People ),371700
Northern Ireland,2005-09,T01:124 (Aged 35-49 - Inactive : All People ),74900
Northern Ireland,2005-09,T01:127 (Aged 50+ - All : All People ),498500
Northern Ireland,2005-09,T01:145 (Aged 50+ - Inactive : All People ),332700
Northern Ireland,2005-09,T01:148 (Aged 50-64 - All : All People ),276500
Northern Ireland,2005-09,T01:166 (Aged 50-64 - Inactive : All People ),121800
United Kingdom,2005-12,T01:22 (Aged 16-64 - All : All People ),38753300
United Kingdom,2005-12,T01:40 (Aged 16-64 - Inactive : All People ),9182700
United Kingdom,2005-12,T01:43 (Aged 16-19 - All : All People ),3063000
United Kingdom,2005-12,T01:61 (Aged 16-19 - Inactive : All People ),1318100
United Kingdom,2005-12,T01:64 (Aged 20-24 - All : All People ),3865600
United Kingdom,2005-12,T01:82 (Aged 20-24 - Inactive : All People ),943000
United Kingdom,2005-12,T01:85 (Aged 25-34 - All : All People ),7951800
United Kingdom,2005-12,T01:103 (Aged 25-34 - Inactive : All People ),1324200
United Kingdom,2005-12,T01:106 (Aged 35-49 - All : All People ),13230700
United Kingdom,2005-12,T01:124 (Aged 35-49 - Inactive : All People ),2011500
United Kingdom,2005-12,T01:127 (Aged 50+ - All : All People ),19858900
United Kingdom,2005-12,T01:145 (Aged 50+ - Inactive : All People ),12226000
United Kingdom,2005-12,T01:148 (Aged 50-64 - All : All People ),10642300
United Kingdom,2005-12,T01:166 (Aged 50-64 - Inactive : All People ),3586000
England,2005-12,T01:22 (Aged 16-64 - All : All People ),32467100
England,2005-12,T01:40 (Aged 16-64 - Inactive : All People ),7590100
England,2005-12,T01:43 (Aged 16-19 - All : All People ),2544200
England,2005-12,T01:61 (Aged 16-19 - Inactive : All People ),1100800
England,2005-12,T01:64 (Aged 20-24 - All : All People ),3228700
England,2005-12,T01:82 (Aged 20-24 - Inactive : All People ),801800
England,2005-12,T01:85 (Aged 25-34 - All : All People ),6747800
England,2005-12,T01:103 (Aged 25-34 - Inactive : All People ),1122800
England,2005-12,T01:106 (Aged 35-49 - All : All People ),11083100
England,2005-12,T01:124 (Aged 35-49 - Inactive : All People ),1658500
England,2005-12,T01:127 (Aged 50+ - All : All People ),16557000
England,2005-12,T01:145 (Aged 50+ - Inactive : All People ),10100300
England,2005-12,T01:148 (Aged 50-64 - All : All People ),8863400
England,2005-12,T01:166 (Aged 50-64 - Inactive : All People ),2906200
Wales,2005-12,T01:22 (Aged 16-64 - All : All People ),1870600
Wales,2005-12,T01:40 (Aged 16-64 - Inactive : All People ),505000
Wales,2005-12,T01:43 (Aged 16-19 - All : All People ),155800
Wales,2005-12,T01:61 (Aged 16-19 - Inactive : All People ),64300
Wales,2005-12,T01:64 (Aged 20-24 - All : All People ),187800
Wales,2005-12,T01:82 (Aged 20-24 - Inactive : All People ),47000
Wales,2005-12,T01:85 (Aged 25-34 - All : All People ),343700
Wales,2005-12,T01:103 (Aged 25-34 - Inactive : All People ),61800
Wales,2005-12,T01:106 (Aged 35-49 - All : All People ),619100
Wales,2005-12,T01:124 (Aged 35-49 - Inactive : All People ),102500
Wales,2005-12,T01:127 (Aged 50+ - All : All People ),1062600
Wales,2005-12,T01:145 (Aged 50+ - Inactive : All People ),702200
Wales,2005-12,T01:148 (Aged 50-64 - All : All People ),564200
Wales,2005-12,T01:166 (Aged 50-64 - Inactive : All People ),229400
Scotland,2005-12,T01:22 (Aged 16-64 - All : All People ),3310500
Scotland,2005-12,T01:40 (Aged 16-64 - Inactive : All People ),758600
Scotland,2005-12,T01:43 (Aged 16-19 - All : All People ),257500
Scotland,2005-12,T01:61 (Aged 16-19 - Inactive : All People ),91300
Scotland,2005-12,T01:64 (Aged 20-24 - All : All People ),331500
Scotland,2005-12,T01:82 (Aged 20-24 - Inactive : All People ),64000
Scotland,2005-12,T01:85 (Aged 25-34 - All : All People ),629200
Scotland,2005-12,T01:103 (Aged 25-34 - Inactive : All People ),101200
Scotland,2005-12,T01:106 (Aged 35-49 - All : All People ),1155400
Scotland,2005-12,T01:124 (Aged 35-49 - Inactive : All People ),171200
Scotland,2005-12,T01:127 (Aged 50+ - All : All People ),1738700
Scotland,2005-12,T01:145 (Aged 50+ - Inactive : All People ),1093200
Scotland,2005-12,T01:148 (Aged 50-64 - All : All People ),936900
Scotland,2005-12,T01:166 (Aged 50-64 - Inactive : All People ),330800
Northern Ireland,2005-12,T01:22 (Aged 16-64 - All : All People ),1105000
Northern Ireland,2005-12,T01:40 (Aged 16-64 - Inactive : All People ),328900
Northern Ireland,2005-12,T01:43 (Aged 16-19 - All : All People ),105500
Northern Ireland,2005-12,T01:61 (Aged 16-19 - Inactive : All People ),61600
Northern Ireland,2005-12,T01:64 (Aged 20-24 - All : All People ),117700
Northern Ireland,2005-12,T01:82 (Aged 20-24 - Inactive : All People ),30100
Northern Ireland,2005-12,T01:85 (Aged 25-34 - All : All People ),231100
Northern Ireland,2005-12,T01:103 (Aged 25-34 - Inactive : All People ),38400
Northern Ireland,2005-12,T01:106 (Aged 35-49 - All : All People ),373100
Northern Ireland,2005-12,T01:124 (Aged 35-49 - Inactive : All People ),79200
Northern Ireland,2005-12,T01:127 (Aged 50+ - All : All People ),500500
Northern Ireland,2005-12,T01:145 (Aged 50+ - Inactive : All People ),330300
Northern Ireland,2005-12,T01:148 (Aged 50-64 - All : All People ),277700
Northern Ireland,2005-12,T01:166 (Aged 50-64 - Inactive : All People ),119600
United Kingdom,2006-03,T01:22 (Aged 16-64 - All : All People ),38851200
United Kingdom,2006-03,T01:40 (Aged 16-64 - Inactive : All People ),9212900
United Kingdom,2006-03,T01:43 (Aged 16-19 - All : All People ),3068600
United Kingdom,2006-03,T01:61 (Aged 16-19 - Inactive : All People ),1354400
United Kingdom,2006-03,T01:64 (Aged 20-24 - All : All People ),3883700
United Kingdom,2006-03,T01:82 (Aged 20-24 - Inactive : All People ),936200
United Kingdom,2006-03,T01:85 (Aged 25-34 - All : All People ),7950900
United Kingdom,2006-03,T01:103 (Aged 25-34 - Inactive : All People ),1324700
United Kingdom,2006-03,T01:106 (Aged 35-49 - All : All People ),13266200
United Kingdom,2006-03,T01:124 (Aged 35-49 - Inactive : All People ),2013400
United Kingdom,2006-03,T01:127 (Aged 50+ - All : All People ),19909900
United Kingdom,2006-03,T01:145 (Aged 50+ - Inactive : All People ),12236300
United Kingdom,2006-03,T01:148 (Aged 50-64 - All : All People ),10681900
United Kingdom,2006-03,T01:166 (Aged 50-64 - Inactive : All People ),3584200
England,2006-03,T01:22 (Aged 16-64 - All : All People ),32552300
England,2006-03,T01:40 (Aged 16-64 - Inactive : All People ),7619100
England,2006-03,T01:43 (Aged 16-19 - All : All People ),2549600
England,2006-03,T01:61 (Aged 16-19 - Inactive : All People ),1138100
England,2006-03,T01:64 (Aged 20-24 - All : All People ),3244300
England,2006-03,T01:82 (Aged 20-24 - Inactive : All People ),796300
England,2006-03,T01:85 (Aged 25-34 - All : All People ),6747700
England,2006-03,T01:103 (Aged 25-34 - Inactive : All People ),1121400
England,2006-03,T01:106 (Aged 35-49 - All : All People ),11114400
England,2006-03,T01:124 (Aged 35-49 - Inactive : All People ),1658800
England,2006-03,T01:127 (Aged 50+ - All : All People ),16597300
England,2006-03,T01:145 (Aged 50+ - Inactive : All People ),10108200
England,2006-03,T01:148 (Aged 50-64 - All : All People ),8896300
England,2006-03,T01:166 (Aged 50-64 - Inactive : All People ),2904500
Wales,2006-03,T01:22 (Aged 16-64 - All : All People ),1874200
Wales,2006-03,T01:40 (Aged 16-64 - Inactive : All People ),509100
Wales,2006-03,T01:43 (Aged 16-19 - All : All People ),156100
Wales,2006-03,T01:61 (Aged 16-19 - Inactive : All People ),68400
Wales,2006-03,T01:64 (Aged 20-24 - All : All People ),188700
Wales,2006-03,T01:82 (Aged 20-24 - Inactive : All People ),47500
Wales,2006-03,T01:85 (Aged 25-34 - All : All People ),343100
Wales,2006-03,T01:103 (Aged 25-34 - Inactive : All People ),62200
Wales,2006-03,T01:106 (Aged 35-49 - All : All People ),620600
Wales,2006-03,T01:124 (Aged 35-49 - Inactive : All People ),103600
