date,type,value,label
1905-03-31,Total spending (TME),13.157759346535446,Spending
1906-03-31,Total spending (TME),12.469915981493077,Spending
1907-03-31,Total spending (TME),11.817295203635553,Spending
1908-03-31,Total spending (TME),11.564394826755482,Spending
1909-03-31,Total spending (TME),12.19558077359631,Spending
1910-03-31,Total spending (TME),12.518861674906267,Spending
1911-03-31,Total spending (TME),12.448828452106135,Spending
1912-03-31,Total spending (TME),12.350876426353508,Spending
1913-03-31,Total spending (TME),12.479316841555939,Spending
1914-03-31,Total spending (TME),13.98994338557444,Spending
1915-03-31,Total spending (TME),24.50654122765772,Spending
1916-03-31,Total spending (TME),41.98656765792095,Spending
1917-03-31,Total spending (TME),45.94955350439447,Spending
1918-03-31,Total spending (TME),47.193807576158605,Spending
1919-03-31,Total spending (TME),42.245564860774756,Spending
1920-03-31,Total spending (TME),27.786352812603077,Spending
1921-03-31,Total spending (TME),22.70671049102817,Spending
1922-03-31,Total spending (TME),27.74224561672387,Spending
1923-03-31,Total spending (TME),26.77344647878112,Spending
1924-03-31,Total spending (TME),25.264301062990423,Spending
1925-03-31,Total spending (TME),24.780498777581293,Spending
1926-03-31,Total spending (TME),25.70599367283577,Spending
1927-03-31,Total spending (TME),26.938105009673357,Spending
1928-03-31,Total spending (TME),25.461937138165414,Spending
1929-03-31,Total spending (TME),25.50718447872346,Spending
1930-03-31,Total spending (TME),25.858840218007256,Spending
1931-03-31,Total spending (TME),27.43704878248982,Spending
1932-03-31,Total spending (TME),29.376005819424673,Spending
1933-03-31,Total spending (TME),28.7178834088675,Spending
1934-03-31,Total spending (TME),26.81389436540646,Spending
1935-03-31,Total spending (TME),25.98304664967042,Spending
1936-03-31,Total spending (TME),26.177516113821575,Spending
1937-03-31,Total spending (TME),26.269624117873196,Spending
1938-03-31,Total spending (TME),27.390481671668514,Spending
1939-03-31,Total spending (TME),30.7733431988107,Spending
1940-03-31,Total spending (TME),40.127185553790056,Spending
1941-03-31,Total spending (TME),55.530441183908884,Spending
1942-03-31,Total spending (TME),59.69854350002236,Spending
1943-03-31,Total spending (TME),60.947890063230744,Spending
1944-03-31,Total spending (TME),62.24368436803856,Spending
1945-03-31,Total spending (TME),61.79193556579003,Spending
1946-03-31,Total spending (TME),55.126568303056956,Spending
1947-03-31,Total spending (TME),43.47604662161746,Spending
1948-03-31,Total spending (TME),37.723109413390134,Spending
1949-03-31,Total spending (TME),38.59956236323851,Spending
1950-03-31,Total spending (TME),38.47481304955214,Spending
1951-03-31,Total spending (TME),39.183673469387756,Spending
1952-03-31,Total spending (TME),40.64881493392994,Spending
1953-03-31,Total spending (TME),41.27188465499485,Spending
1954-03-31,Total spending (TME),40.503446209169915,Spending
1955-03-31,Total spending (TME),38.923924777001304,Spending
1956-03-31,Total spending (TME),35.771942372534994,Spending
1957-03-31,Total spending (TME),35.96068424534543,Spending
1958-03-31,Total spending (TME),35.194810964503084,Spending
1959-03-31,Total spending (TME),35.95457467323763,Spending
1960-03-31,Total spending (TME),35.94660877256463,Spending
1961-03-31,Total spending (TME),35.94354142422763,Spending
1962-03-31,Total spending (TME),37.631924949362144,Spending
1963-03-31,Total spending (TME),37.30730050933786,Spending
1964-03-31,Total spending (TME),37.33905579399141,Spending
1965-03-31,Total spending (TME),37.03342418591307,Spending
1966-03-31,Total spending (TME),38.48535810576333,Spending
1967-03-31,Total spending (TME),40.036045958597214,Spending
1968-03-31,Total spending (TME),42.94184076792772,Spending
1969-03-31,Total spending (TME),41.38528323674701,Spending
1970-03-31,Total spending (TME),40.13728536868398,Spending
1971-03-31,Total spending (TME),39.48859206901928,Spending
1972-03-31,Total spending (TME),39.35578784359272,Spending
1973-03-31,Total spending (TME),38.4673655732161,Spending
1974-03-31,Total spending (TME),40.25948946955524,Spending
1975-03-31,Total spending (TME),44.70778757817116,Spending
1976-03-31,Total spending (TME),46.45079606765748,Spending
1977-03-31,Total spending (TME),45.13890355229911,Spending
1978-03-31,Total spending (TME),42.25346177001807,Spending
1979-03-31,Total spending (TME),41.41704530094927,Spending
1980-03-31,Total spending (TME),40.939929146316295,Spending
1981-03-31,Total spending (TME),42.80870819907446,Spending
1982-03-31,Total spending (TME),42.88894625847831,Spending
1983-03-31,Total spending (TME),43.18871030297847,Spending
1984-03-31,Total spending (TME),42.775552837218136,Spending
1985-03-31,Total spending (TME),42.46345008407194,Spending
1986-03-31,Total spending (TME),40.42230319736432,Spending
1987-03-31,Total spending (TME),39.32418389966234,Spending
1988-03-31,Total spending (TME),37.17253945166487,Spending
1989-03-31,Total spending (TME),34.56858310101169,Spending
1990-03-31,Total spending (TME),34.747180168975426,Spending
1991-03-31,Total spending (TME),34.99227111457889,Spending
1992-03-31,Total spending (TME),36.871590493908556,Spending
1993-03-31,Total spending (TME),38.339106153569205,Spending
1994-03-31,Total spending (TME),37.924011067841775,Spending
1995-03-31,Total spending (TME),37.57872629683682,Spending
1996-03-31,Total spending (TME),37.405771543643446,Spending
1997-03-31,Total spending (TME),35.58342361863488,Spending
1998-03-31,Total spending (TME),35.6973223328285,Spending
1999-03-31,Total spending (TME),35.15358226613666,Spending
2000-03-31,Total spending (TME),34.75375655234599,Spending
2001-03-31,Total spending (TME),35.055818309697415,Spending
2002-03-31,Total spending (TME),36.3328222096683,Spending
2003-03-31,Total spending (TME),37.55686128204768,Spending
2004-03-31,Total spending (TME),38.91915932868249,Spending
2005-03-31,Total spending (TME),39.930693445531176,Spending
2006-03-31,Total spending (TME),39.937620600993924,Spending
2007-03-31,Total spending (TME),39.96806736937294,Spending
2008-03-31,Total spending (TME),40.31611491209415,Spending
2009-03-31,Total spending (TME),43.485352616806665,Spending
2010-03-31,Total spending (TME),46.440881961736096,Spending
2011-03-31,Total spending (TME),45.717501227099014,Spending
2012-03-31,Total spending (TME),44.553421110980295,Spending
2013-03-31,Total spending (TME),44.0464163854176,Spending
2014-03-31,Total spending (TME),42.495235201962025,Spending
2015-03-31,Total spending (TME),42.028909001909994,Spending
2016-03-31,Total spending (TME),41.19548677604679,Spending
2017-03-31,Total spending (TME),40.38655029832053,Spending
2018-03-31,Total spending (TME),40.03551538038954,Spending
2019-03-31,Total spending (TME),39.45509567707274,Spending
2020-03-31,Total spending (TME),39.64396530651207,Spending
2021-03-31,Total spending (TME),53.0420618951806,Spending
2022-03-31,Total spending (TME),44.28348797967486,Spending
2023-03-31,Total spending (TME),44.9432186609011,Spending
2024-03-31,Total spending (TME),44.740684212404254,Spending
