name,latitude,longitude,capacity_mw,primary_fuel,fuel_category
North Tamar Environ Project - Holsworthy  (Farm AD),50.828,-4.352,1.4,Biomass,Biomass
Granville Landfill Site,52.705,-2.4084,1.4,Waste,Biomass
Lidsey Landfill,50.8227,-0.681,1.4,Waste,Biomass
Gelliargwellt Uchaf Farm AD,51.6645,-3.2693,1.4,Biomass,Biomass
Bootham Lane Phase 2,53.5861,-1.0105,1.4,Waste,Biomass
River Taodail Hydro,57.4231,-5.4216,1.4,Hydro,Hydro
Rolls Royce Filton Campus Building 184,51.5246,-2.5713,1.4,Solar,Solar
Ellicombe Farm,50.8309,-3.7844,1.4,Solar,Solar
Dura Park Bynea Industrial Site,51.6676,-4.0897,1.4,Solar,Solar
East Dagenham Docks AD (AD),51.5212,0.1375,1.4,Biomass,Biomass
Innerhadden Burn Hydro,56.6302,-4.1868,1.4,Hydro,Hydro
ReFood - Dagenham Docks Biogas (Waste AD),51.5241,0.1364,1.4,Biomass,Biomass
Sytchwythy Fields,52.1008,-1.9146,1.4,Solar,Solar
Marsh Farm  (Farm AD),53.0336,0.1569,1.4,Biomass,Biomass
Springfield Farm,51.5824,-0.5575,1.4,Waste,Biomass
Nant y Caws Landfill Site,51.8369,-4.2192,1.4,Waste,Biomass
Holiday Moss Gas to Energy II,53.5122,-2.7705,1.4,Waste,Biomass
Donich Water Hydro,56.1726,-4.8768,1.4,Hydro,Hydro
Vantage Point,51.8676,-2.4853,1.4,Solar,Solar
Clann Solar Farm,50.4408,-4.7776,1.4,Solar,Solar
Staples Anaerobic Digestion CHP Plant (Waste AD),53.0346,0.0312,1.4,Biomass,Biomass
Symonds Farm Power Ltd (Farm AD),52.2572,0.6371,1.4,Biomass,Biomass
Dogsthorpe South Landfill Site 2,52.602,-0.2214,1.4,Waste,Biomass
Blatchworthy,51.1461,-4.1377,1.41,Solar,Solar
Wheal Jane,50.2376,-5.1228,1.42,Solar,Solar
Fen Road Solar Farm,52.9658,-0.0717,1.44,Solar,Solar
Bodtegir,53.0175,-3.4988,1.5,Wind,Wind
Thorfinn Wind Farm - NM1500,59.1131,-3.1438,1.5,Wind,Wind
Carousel Dairy AD Plant (Farm AD),51.2184,-1.1299,1.5,Biomass,Biomass
Higher Hill Farm (extension),51.0794,-2.6955,1.5,Solar,Solar
Higher Knapp Farm,51.0193,-2.9962,1.5,Solar,Solar
March,52.5713,0.1215,1.5,Wind,Wind
Fairoak Landfill,50.9632,-1.2823,1.5,Waste,Biomass
Manor Farm (Farm AD),52.8353,0.0816,1.5,Biomass,Biomass
Double Arches Quarry Wind Turbine,51.9519,-0.6343,1.5,Wind,Wind
Ecotech,52.6567,0.6833,1.5,Wind,Wind
Bonerbo Wind Turbines (resubmission),56.2594,-2.7467,1.5,Wind,Wind
Land at Whatton Road,52.828,-1.287,1.5,Solar,Solar
FMC Technologies,56.0564,-3.4466,1.5,Wind,Wind
Pure Malt Products AD,55.9566,-2.7707,1.5,Biomass,Biomass
F M C Land  Pitreavie Business Park,56.054,-3.4443,1.5,Wind,Wind
Boddington Reservoir,52.1742,-1.2793,1.5,Wind,Wind
Quarrendon Fields,51.8424,-0.836,1.5,Wind,Wind
West of Rhiwfelin Fach Farm,51.5589,-3.3914,1.5,Wind,Wind
Double H Nurseries Biomass Plant,50.7508,-1.6781,1.5,Biomass,Biomass
Longlands Lane,51.5633,-3.7479,1.5,Wind,Wind
Pinguin Foods,52.9651,-0.0195,1.5,Solar,Solar
Plusterwine House - Anaerobic Digestion Plant (Retrospective),51.6908,-2.5877,1.5,Biomass,Biomass
Land at Soho Farm,51.2311,-2.4367,1.5,Solar,Solar
Noble Foods,56.1641,-3.1593,1.5,Wind,Wind
Newton Margate,50.4709,-4.6998,1.5,Solar,Solar
Newstead and Annesley Wind Turbine,53.0753,-1.2178,1.5,Wind,Wind
Cattlegate Farm Biogas (Farm AD),51.696,-0.1116,1.5,Biomass,Biomass
Nethercott Farm,50.7443,-4.3354,1.5,Wind,Wind
Bromham House Farm,51.3917,-2.0373,1.5,Biomass,Biomass
Greenvale AP Wind Turbine - resubmission,52.5207,-0.0046,1.5,Wind,Wind
Burnhills Landfill Scheme (L4),54.956,-1.7579,1.5,Waste,Biomass
Hitchin,51.9769,-0.298,1.5,Waste,Biomass
Monan Hill Wind Turbines,57.9417,-6.8318,1.5,Wind,Wind
Millerhill AD (Waste AD),55.9255,-3.0834,1.5,Biomass,Biomass
Leeming Bar (Waste AD),54.2912,-1.5425,1.5,Biomass,Biomass
Meteor Business Park,51.8965,-2.1712,1.5,Storage,Storage
Austrey House Farm,52.6438,-1.558,1.5,Biomass,Biomass
Ardtornish Estate-Upgrade to existing,56.5583,-5.6873,1.5,Hydro,Hydro
Aldi - Cardiff,51.5002,-3.1181,1.5,Solar,Solar
Albury Landfill,51.2242,-0.4906,1.5,Waste,Biomass
Mayton Wood Landfill Site,52.7381,1.3256,1.5,Waste,Biomass
Higher Hatherleigh Solar Farm extension,51.0438,-2.4107,1.5,Solar,Solar
Marston Vale Country Park Wind Turbine,52.0647,-0.5354,1.5,Wind,Wind
Marshill Farm,55.6871,-3.9334,1.5,Wind,Wind
Craigannet Farm Wind Turbine,56.0455,-4.0685,1.5,Wind,Wind
Codford Biogas (Waste AD),51.1725,-2.0152,1.5,Biomass,Biomass
Blue Gates Farm,51.8631,1.0042,1.5,Wind,Wind
Allt Garbh hydro,57.2559,-5.0186,1.5,Hydro,Hydro
Reepham Road (Waste AD),52.7008,1.2028,1.5,Biomass,Biomass
Taunton Racecourse,50.9942,-3.0874,1.5,Solar,Solar
Aberporth Solar Farm,52.1234,-4.5632,1.5,Solar,Solar
Skeddoway Farm Wind Turbine,56.1665,-3.1593,1.5,Wind,Wind
Glenfiddich Distillery,57.4549,-3.123,1.5,Biomass,Biomass
Southrigg,55.8711,-3.7295,1.5,Wind,Wind
Southdown Quarry,50.3562,-4.202,1.5,Solar,Solar
Eas a Ghaill,56.4044,-4.925,1.5,Hydro,Hydro
Ferneylea Farm,55.9148,-2.4178,1.5,Wind,Wind
Wythegill,54.6741,-3.5231,1.5,Wind,Wind
Fernbrook AD Plant (Waste AD),52.4119,-0.7662,1.5,Biomass,Biomass
Land North East Of Penrose Far,50.3767,-4.957,1.5,Solar,Solar
BV Dairy  (Farm AD),51.0112,-2.1828,1.5,Biomass,Biomass
Fanny House Farm/Heysham Moss,54.0379,-2.8719,1.5,Wind,Wind
Skeddoway Farm Wind Turbine (Resubmission),56.1665,-3.1593,1.5,Wind,Wind
Badachro hydro scheme - resubmission,57.6778,-5.7076,1.5,Hydro,Hydro
Land South East Of Water Treatment Works Bridge End,54.9733,-2.0818,1.5,Biomass,Biomass
Fenmarc Fenland AD Plant (Waste AD),52.568,0.0621,1.5,Biomass,Biomass
Goldthorpe,53.5295,-1.3165,1.5,Solar,Solar
Singleton Birch (Farm AD),53.5909,-0.3571,1.5,Biomass,Biomass
Derriford Hospital,50.4167,-4.1137,1.5,Biomass,Biomass
Severn Trent Water - Stoke Bardolph Wind Turbine,52.9758,-1.044,1.5,Wind,Wind
Four Burrows Solar farm (Extension 1),50.3039,-5.1383,1.5,Solar,Solar
Gortahurk Road,54.2195,-7.5402,1.5,Biomass,Biomass
Standen Heath,50.6915,-1.3595,1.5,Waste,Biomass
Blackborough End Landfill Site,52.7032,0.4732,1.5,Waste,Biomass
Easter Melrose Wind Energy Project,57.6606,-2.4175,1.5,Wind,Wind
K L Technologies Wind Turbine,52.7712,0.3857,1.5,Wind,Wind
Crossness,51.508,0.1377,1.5,Solar,Solar
Pont Andrew,51.7753,-4.1376,1.54,Solar,Solar
Limberlost,51.3811,-1.2325,1.59,Solar,Solar
Alscot,52.175,-1.679,1.6,Biomass,Biomass
Danes Moss Landfill Site,53.2404,-2.1453,1.6,Waste,Biomass
Bretby Power,52.7867,-1.5848,1.6,Waste,Biomass
Maw Green Landfill Site,53.1139,-2.4228,1.6,Waste,Biomass
Walpole Landfill,51.1839,-2.9829,1.6,Waste,Biomass
Orton Park Farm,54.869,-3.0067,1.6,Wind,Wind
Lawrence Landfill,51.7745,-5.0008,1.6,Wind,Wind
Salford Road,53.5799,-2.4269,1.6,Solar,Solar
Gowy Landfill Site,53.2376,-2.8315,1.6,Waste,Biomass
Halifax Farm,52.6398,-1.3252,1.6,Wind,Wind
Myreton Crossroads,57.599,-2.8425,1.6,Wind,Wind
Mountsorrel Landfill Site,52.7296,-1.1559,1.6,Waste,Biomass
North Red Bog,57.5876,-2.0091,1.6,Wind,Wind
Wingmoor Farm (Waste AD),51.9461,-2.0833,1.6,Biomass,Biomass
Walpole Landfill AD (Waste AD),51.1839,-2.9829,1.6,Biomass,Biomass
Waresley Landfill Site,52.3344,-2.2153,1.6,Waste,Biomass
Rossendale Power,53.6842,-2.2947,1.6,Waste,Biomass
West Kingsmill Farm Solar Park,50.4414,-4.243,1.6,Solar,Solar
Princes Gate Spring Water,51.772,-4.6844,1.6,Wind,Wind
Trelow Farm,50.4899,-4.9298,1.6,Solar,Solar
Easter Tolmauds,57.157,-2.6219,1.6,Wind,Wind
Promens,52.4375,1.5957,1.65,Solar,Solar
Beeston Weir Hydro Scheme,52.9122,-1.2087,1.7,Hydro,Hydro
Oakfield Farm - extension,53.7722,-2.8066,1.7,Solar,Solar
Land South West Of Apollo Business Park,52.0794,-1.4169,1.7,Solar,Solar
Western International Market,51.496,-0.4081,1.7,Solar,Solar
Lochhead Landfill CHP,56.0969,-3.4694,1.7,Biomass,Biomass
Seaview Farm,51.4955,-3.6958,1.7,Solar,Solar
The Limes Wind Turbines,53.7518,-0.2348,1.7,Wind,Wind
Beckley Solar Farm,50.7618,-1.6798,1.7,Solar,Solar
Amcor Flexibles,51.5224,-2.5266,1.7,Solar,Solar
Long Sutton Butterfly And Wildlife Park,52.79,0.1348,1.7,Solar,Solar
Charlton Lane Eco Park (Waste AD),51.4045,-0.4407,1.7,Biomass,Biomass
Trevemper,50.3949,-5.0693,1.7,Solar,Solar
Upper Wheedlemont Farm,57.3233,-2.8752,1.7,Wind,Wind
Hill of Balquhindachy extension,57.4724,-2.241,1.7,Wind,Wind
Iwade Solar Farm,51.3671,0.6542,1.7,Solar,Solar
Ikea Distribution Centre - resubmission,53.5406,-1.0314,1.7,Solar,Solar
Tiln Farm Retford (extension),53.3482,-0.9281,1.7,Solar,Solar
Roskrow Barton,50.1773,-5.1316,1.7,Wind,Wind
Connaught Road,54.7661,-6.3071,1.7,Wind,Wind
Pierces Farm,51.4006,-1.0222,1.74,Solar,Solar
Benbole,50.5401,-4.7826,1.74,Solar,Solar
Mucomir,56.9107,-4.9852,1.75,Hydro,Hydro
Walton,51.4041,-0.3977,1.79,Solar,Solar
Barns of Ayre Wind Turbines (2),58.9217,-2.7156,1.8,Wind,Wind
Decoy Farm (Farm AD),52.6969,-0.1371,1.8,Biomass,Biomass
Mackies Dairy PV,57.3779,-2.3891,1.8,Solar,Solar
Walnut Yard (Phase 1),52.7997,-1.3642,1.8,Solar,Solar
Edwin Richards Landfill Scheme,52.4899,-2.0603,1.8,Waste,Biomass
Myres Hill,55.6919,-4.279,1.8,Wind,Wind
Lowther Farms,52.3599,-1.0243,1.8,Solar,Solar
Kingspan,53.2897,-3.2008,1.8,Wind,Wind
Burntstump Landfill Scheme,53.0441,-1.1289,1.8,Waste,Biomass
Waltham Point Distribution Centre,51.6794,-0.0088,1.8,Solar,Solar
Manor Farm (Castle Cary),51.0806,-2.5102,1.8,Solar,Solar
Moorhouse Lane - resubmission,51.5149,-2.6576,1.8,Solar,Solar
Kia Ora Farm,50.8545,-3.4082,1.8,Solar,Solar
Ardley Fields Farm Landfill Site,51.9433,-1.2086,1.8,Waste,Biomass
Kirkheaton,55.0865,-1.989,1.8,Wind,Wind
Marshwood Farm,50.8394,-2.937,1.8,Solar,Solar
Somerton,52.7099,1.6545,1.8,Wind,Wind
Heathrow Airport Biomass CHP,51.4592,-0.4595,1.8,Biomass,Biomass
CRAYSMARSH SOLAR FARM,51.3626,-2.0947,1.8,Solar,Solar
Slaughtergate Farm,51.0459,-2.3119,1.8,Solar,Solar
Flotta,58.8412,-3.0973,1.8,Wind,Wind
Swaffham II,52.6577,0.7007,1.8,Wind,Wind
Whinney Hill II Energy,53.7703,-2.3656,1.8,Waste,Biomass
Bentwaters Park (extension),52.1253,1.4428,1.8,Biomass,Biomass
Portley Ford Landfill Site,52.3871,-1.0331,1.8,Waste,Biomass
Patteson Court Landfill Site,51.2435,-0.149,1.8,Waste,Biomass
ParkerSteel Shoreham Plant,50.8281,-0.2152,1.8,Solar,Solar
Porvair International Ltd,52.77,0.3876,1.8,Solar,Solar
Rolls Royce Filton Campus Building 185,51.5246,-2.5713,1.8,Solar,Solar
Ongar Landfill Scheme 2,51.6977,0.2588,1.8,Waste,Biomass
Chelson Meadow Gas to Energy Scheme,50.3709,-4.1161,1.8,Waste,Biomass
Distington Landfill,54.6044,-3.5109,1.8,Waste,Biomass
Severn Road Solar Park,51.5325,-2.6689,1.8,Solar,Solar
