Date,Cost,Value
7/1/18,Headroom allowance,27.0
1/1/19,Headroom allowance,29.0
7/1/19,Headroom allowance,32.0
1/1/20,Headroom allowance,12.0
7/1/20,Headroom allowance,12.0
1/1/21,Headroom allowance,10.0
7/1/21,Headroom allowance,11.0
1/1/22,Headroom allowance,13.0
7/1/22,Headroom allowance,22.0
12/1/22,Headroom allowance,42.0
3/1/23,Headroom allowance,52.0
6/1/23,Headroom allowance,38.0
9/1/23,Headroom allowance,22.0
12/1/23,Headroom allowance,20.0
3/1/24,Headroom allowance,22.0
6/1/24,Headroom allowance,18.0
9/1/24,Headroom allowance,17.0
12/1/24,Headroom allowance,18.0
7/1/17,VAT,47.0
1/1/18,VAT,46.0
7/1/18,VAT,48.0
1/1/19,VAT,50.0
7/1/19,VAT,55.0
1/1/20,VAT,54.0
7/1/20,VAT,53.0
1/1/21,VAT,49.0
7/1/21,VAT,53.0
1/1/22,VAT,59.0
7/1/22,VAT,92.0
12/1/22,VAT,163.0
3/1/23,VAT,197.0
6/1/23,VAT,151.0
9/1/23,VAT,94.0
12/1/23,VAT,88.0
3/1/24,VAT,93.0
6/1/24,VAT,78.0
9/1/24,VAT,72.0
12/1/24,VAT,79.0
7/1/17,Total,977.0
1/1/18,Total,959.0
7/1/18,Total,1013.0
1/1/19,Total,1057.0
7/1/19,Total,1154.0
1/1/20,Total,1128.0
7/1/20,Total,1112.0
1/1/21,Total,1022.0
7/1/21,Total,1104.0
1/1/22,Total,1248.0
7/1/22,Total,1924.0
12/1/22,Total,3431.0
3/1/23,Total,4138.0
6/1/23,Total,3162.0
9/1/23,Total,1982.0
12/1/23,Total,1861.0
3/1/24,Total,1960.0
6/1/24,Total,1643.0
9/1/24,Total,1522.0
12/1/24,Total,1669.0
