year,country,value,series
1971,USA,0.34339310132311307,dwellings per capita
1972,USA,0.3492359139498104,dwellings per capita
1973,USA,0.35579577142479674,dwellings per capita
1974,USA,0.3621445735818007,dwellings per capita
1975,USA,0.3649441386047847,dwellings per capita
1976,USA,0.36769439578881724,dwellings per capita
1977,USA,0.37062676756442675,dwellings per capita
1978,USA,0.37504547925023246,dwellings per capita
1979,USA,0.3808650147041838,dwellings per capita
1980,USA,0.3852831912034638,dwellings per capita
1981,USA,0.3950384334457932,dwellings per capita
1982,USA,0.3956454710659811,dwellings per capita
1983,USA,0.39705888628575575,dwellings per capita
1984,USA,0.4029543897053225,dwellings per capita
1985,USA,0.4080945552732426,dwellings per capita
1986,USA,0.4126506649825704,dwellings per capita
1987,USA,0.41924617963046085,dwellings per capita
1988,USA,0.42296815894818024,dwellings per capita
1989,USA,0.427383007191162,dwellings per capita
1990,USA,0.4248244271147689,dwellings per capita
1991,USA,0.423129412692778,dwellings per capita
1992,USA,0.4215909887047431,dwellings per capita
1993,USA,0.4211240116489039,dwellings per capita
1994,USA,0.4211421305346264,dwellings per capita
1995,USA,0.4225809113688538,dwellings per capita
1996,USA,0.42318529998442794,dwellings per capita
1997,USA,0.4235853134914529,dwellings per capita
1998,USA,0.4246978135388225,dwellings per capita
1999,USA,0.4261799747966548,dwellings per capita
2000,USA,0.41195178436107904,dwellings per capita
2001,USA,0.41396692085195896,dwellings per capita
2002,USA,0.415907141740897,dwellings per capita
2003,USA,0.4181506816320632,dwellings per capita
2004,USA,0.42084745040271154,dwellings per capita
2005,USA,0.4238551621153203,dwellings per capita
2006,USA,0.42632718243211587,dwellings per capita
2007,USA,0.4282011528160798,dwellings per capita
2008,USA,0.4285848106835488,dwellings per capita
2009,USA,0.42748378140867077,dwellings per capita
2010,USA,0.4254641378264195,dwellings per capita
2011,USA,0.4236789445876495,dwellings per capita
2012,USA,0.4220638557470808,dwellings per capita
2013,USA,0.42112594174059204,dwellings per capita
2014,USA,0.42048778946248605,dwellings per capita
2015,USA,0.4199927447821106,dwellings per capita
2016,USA,0.4198479894272802,dwellings per capita
2017,USA,0.42026219788288566,dwellings per capita
2018,USA,0.4212863951288649,dwellings per capita
2019,USA,0.4226285925213229,dwellings per capita
1961,Italy,0.28077172907346776,dwellings per capita
1971,Italy,0.3220370150316384,dwellings per capita
1981,Italy,0.38787873333464057,dwellings per capita
1991,Italy,0.4408134899922824,dwellings per capita
2001,Italy,0.4788426483212501,dwellings per capita
2002,Italy,0.4856068795491117,dwellings per capita
2003,Italy,0.4917634056138334,dwellings per capita
2004,Italy,0.4963903694352512,dwellings per capita
2005,Italy,0.49932332797559276,dwellings per capita
2006,Italy,0.5034088423825314,dwellings per capita
2007,Italy,0.5095102991801931,dwellings per capita
2008,Italy,0.5128232341643858,dwellings per capita
2009,Italy,0.5151592060880175,dwellings per capita
2010,Italy,0.5189014077258362,dwellings per capita
2011,Italy,0.5205828763313282,dwellings per capita
2012,Italy,0.5226179904445848,dwellings per capita
2013,Italy,0.5241711603283418,dwellings per capita
2014,Italy,0.5263933100892311,dwellings per capita
2015,Italy,0.5296244759372329,dwellings per capita
2016,Italy,0.5335617090913539,dwellings per capita
2017,Italy,0.5372077329857821,dwellings per capita
2018,Italy,0.5412033270707823,dwellings per capita
1961,UK,0.31484194587774916,dwellings per capita
1971,UK,0.3443534544414247,dwellings per capita
1981,UK,0.3806236969347469,dwellings per capita
1982,UK,0.3861916799755555,dwellings per capita
1983,UK,0.3893763195698535,dwellings per capita
1984,UK,0.3922580141926952,dwellings per capita
1985,UK,0.3948085016090816,dwellings per capita
1986,UK,0.3975915517308296,dwellings per capita
1987,UK,0.4014682064643335,dwellings per capita
1988,UK,0.4049096569705744,dwellings per capita
1989,UK,0.40775100084973676,dwellings per capita
1990,UK,0.4107621751474121,dwellings per capita
1991,UK,0.4100371352415706,dwellings per capita
1992,UK,0.4127846903246533,dwellings per capita
1993,UK,0.41508198198354296,dwellings per capita
1994,UK,0.4173025175373863,dwellings per capita
1995,UK,0.41940687430202256,dwellings per capita
1996,UK,0.42189036592829976,dwellings per capita
1997,UK,0.4240991045062781,dwellings per capita
1998,UK,0.4261999592987761,dwellings per capita
1999,UK,0.4277968250506097,dwellings per capita
2000,UK,0.42996564554283606,dwellings per capita
2001,UK,0.4308358567489385,dwellings per capita
2002,UK,0.43183184903066923,dwellings per capita
2003,UK,0.4332063980736694,dwellings per capita
2004,UK,0.43439243107635644,dwellings per capita
2005,UK,0.4349042346635592,dwellings per capita
2006,UK,0.43592411934811953,dwellings per capita
2007,UK,0.43660131998023455,dwellings per capita
2008,UK,0.43748524031198344,dwellings per capita
2009,UK,0.43793416371535726,dwellings per capita
2010,UK,0.43735211402257823,dwellings per capita
2011,UK,0.4363428358333952,dwellings per capita
2012,UK,0.4358684561651362,dwellings per capita
2013,UK,0.43543709841714545,dwellings per capita
2014,UK,0.43458809105094987,dwellings per capita
2015,UK,0.43417293810474583,dwellings per capita
2016,UK,0.4339805721719288,dwellings per capita
2017,UK,0.43514404862492845,dwellings per capita
2018,UK,0.4364075887024427,dwellings per capita
2019,UK,0.4382096148318482,dwellings per capita
2020,UK,0.44048240187236326,dwellings per capita
