Date,Type,Households
2020-01-01,"Private accommodation, nightly paid",24150.0
2020-04-01,"Private accommodation, nightly paid",26060.0
2020-07-01,"Private accommodation, nightly paid",24930.0
2020-10-01,"Private accommodation, nightly paid",24590.0
2021-01-01,"Private accommodation, nightly paid",24200.0
2021-04-01,"Private accommodation, nightly paid",23750.0
2021-07-01,"Private accommodation, nightly paid",23670.0
2021-10-01,"Private accommodation, nightly paid",24130.0
2022-01-01,"Private accommodation, nightly paid",23380.0
2022-04-01,"Private accommodation, nightly paid",24030.0
2022-07-01,"Private accommodation, nightly paid",25370.0
2022-10-01,"Private accommodation, nightly paid",25990.0
2023-01-01,"Private accommodation, nightly paid",25660.0
2023-04-01,"Private accommodation, nightly paid",24740.0
2023-07-01,"Private accommodation, nightly paid",27530.0
1998-01-01,Hostels (including refuges),9730.0
1998-04-01,Hostels (including refuges),9490.0
1998-07-01,Hostels (including refuges),9820.0
1998-10-01,Hostels (including refuges),9760.0
1999-01-01,Hostels (including refuges),9840.0
1999-04-01,Hostels (including refuges),10210.0
1999-07-01,Hostels (including refuges),9960.0
1999-10-01,Hostels (including refuges),9650.0
2000-01-01,Hostels (including refuges),10300.0
2000-04-01,Hostels (including refuges),10320.0
2000-07-01,Hostels (including refuges),10460.0
2000-10-01,Hostels (including refuges),10800.0
2001-01-01,Hostels (including refuges),10610.0
2001-04-01,Hostels (including refuges),10320.0
2001-07-01,Hostels (including refuges),11270.0
2001-10-01,Hostels (including refuges),10680.0
2002-01-01,Hostels (including refuges),9570.0
2002-04-01,Hostels (including refuges),9770.0
2002-07-01,Hostels (including refuges),9720.0
2002-10-01,Hostels (including refuges),9650.0
2003-01-01,Hostels (including refuges),10050.0
2003-04-01,Hostels (including refuges),10420.0
2003-07-01,Hostels (including refuges),10800.0
2003-10-01,Hostels (including refuges),10370.0
2004-01-01,Hostels (including refuges),10790.0
2004-04-01,Hostels (including refuges),10570.0
2004-07-01,Hostels (including refuges),10380.0
2004-10-01,Hostels (including refuges),10070.0
2005-01-01,Hostels (including refuges),10280.0
2005-04-01,Hostels (including refuges),9870.0
2005-07-01,Hostels (including refuges),10020.0
2005-10-01,Hostels (including refuges),9230.0
2006-01-01,Hostels (including refuges),9010.0
2006-04-01,Hostels (including refuges),8940.0
2006-07-01,Hostels (including refuges),8460.0
2006-10-01,Hostels (including refuges),7850.0
2007-01-01,Hostels (including refuges),7640.0
2007-04-01,Hostels (including refuges),7230.0
2007-07-01,Hostels (including refuges),7180.0
2007-10-01,Hostels (including refuges),6620.0
2008-01-01,Hostels (including refuges),6450.0
2008-04-01,Hostels (including refuges),6020.0
2008-07-01,Hostels (including refuges),5800.0
2008-10-01,Hostels (including refuges),5250.0
2009-01-01,Hostels (including refuges),5170.0
2009-04-01,Hostels (including refuges),4710.0
2009-07-01,Hostels (including refuges),4480.0
2009-10-01,Hostels (including refuges),4150.0
2010-01-01,Hostels (including refuges),4240.0
2010-04-01,Hostels (including refuges),4320.0
2010-07-01,Hostels (including refuges),4360.0
2010-10-01,Hostels (including refuges),4160.0
2011-01-01,Hostels (including refuges),4250.0
2011-04-01,Hostels (including refuges),4370.0
2011-07-01,Hostels (including refuges),4380.0
2011-10-01,Hostels (including refuges),4310.0
2012-01-01,Hostels (including refuges),4360.0
2012-04-01,Hostels (including refuges),4350.0
2012-07-01,Hostels (including refuges),4390.0
2012-10-01,Hostels (including refuges),4280.0
2013-01-01,Hostels (including refuges),4480.0
2013-04-01,Hostels (including refuges),4590.0
2013-07-01,Hostels (including refuges),4700.0
2013-10-01,Hostels (including refuges),4710.0
2014-01-01,Hostels (including refuges),4880.0
2014-04-01,Hostels (including refuges),4980.0
2014-07-01,Hostels (including refuges),5010.0
2014-10-01,Hostels (including refuges),5090.0
2015-01-01,Hostels (including refuges),5040.0
2015-04-01,Hostels (including refuges),5180.0
2015-07-01,Hostels (including refuges),5310.0
2015-10-01,Hostels (including refuges),5360.0
2016-01-01,Hostels (including refuges),5570.0
2016-04-01,Hostels (including refuges),5490.0
2016-07-01,Hostels (including refuges),5690.0
2016-10-01,Hostels (including refuges),5700.0
2017-01-01,Hostels (including refuges),5740.0
2017-04-01,Hostels (including refuges),5710.0
2017-07-01,Hostels (including refuges),5570.0
2017-10-01,Hostels (including refuges),5440.0
2018-01-01,Hostels (including refuges),5690.0
2018-04-01,Hostels (including refuges),5680.0
2018-07-01,Hostels (including refuges),5640.0
2018-10-01,Hostels (including refuges),5670.0
2019-01-01,Hostels (including refuges),5730.0
2019-04-01,Hostels (including refuges),6340.0
2019-07-01,Hostels (including refuges),6480.0
2019-10-01,Hostels (including refuges),6680.0
2020-01-01,Hostels (including refuges),6920.0
2020-04-01,Hostels (including refuges),5820.0
2020-07-01,Hostels (including refuges),5610.0
2020-10-01,Hostels (including refuges),5660.0
2021-01-01,Hostels (including refuges),5720.0
2021-04-01,Hostels (including refuges),5850.0
2021-07-01,Hostels (including refuges),6260.0
2021-10-01,Hostels (including refuges),5550.0
2022-01-01,Hostels (including refuges),5930.0
2022-04-01,Hostels (including refuges),5540.0
2022-07-01,Hostels (including refuges),5640.0
2022-10-01,Hostels (including refuges),5660.0
2023-01-01,Hostels (including refuges),5890.0
2023-04-01,Hostels (including refuges),5810.0
2023-07-01,Hostels (including refuges),5980.0
1998-01-01,"Private accommodation, leased by LA",12090.0
1998-04-01,"Private accommodation, leased by LA",12960.0
1998-07-01,"Private accommodation, leased by LA",15590.0
1998-10-01,"Private accommodation, leased by LA",14750.0
1999-01-01,"Private accommodation, leased by LA",16210.0
1999-04-01,"Private accommodation, leased by LA",15030.0
1999-07-01,"Private accommodation, leased by LA",15300.0
1999-10-01,"Private accommodation, leased by LA",16280.0
2000-01-01,"Private accommodation, leased by LA",17070.0
2000-04-01,"Private accommodation, leased by LA",19720.0
2000-07-01,"Private accommodation, leased by LA",18580.0
2000-10-01,"Private accommodation, leased by LA",21620.0
2001-01-01,"Private accommodation, leased by LA",21900.0
2001-04-01,"Private accommodation, leased by LA",21970.0
2001-07-01,"Private accommodation, leased by LA",20050.0
2001-10-01,"Private accommodation, leased by LA",20600.0
2002-01-01,"Private accommodation, leased by LA",20660.0
2002-04-01,"Private accommodation, leased by LA",22610.0
2002-07-01,"Private accommodation, leased by LA",23850.0
2002-10-01,"Private accommodation, leased by LA",25940.0
2003-01-01,"Private accommodation, leased by LA",28370.0
2003-04-01,"Private accommodation, leased by LA",31460.0
2003-07-01,"Private accommodation, leased by LA",35140.0
2003-10-01,"Private accommodation, leased by LA",38730.0
2004-01-01,"Private accommodation, leased by LA",42390.0
2004-04-01,"Private accommodation, leased by LA",42630.0
2004-07-01,"Private accommodation, leased by LA",43720.0
2004-10-01,"Private accommodation, leased by LA",46140.0
2005-01-01,"Private accommodation, leased by LA",46530.0
2005-04-01,"Private accommodation, leased by LA",46990.0
2005-07-01,"Private accommodation, leased by LA",48860.0
2005-10-01,"Private accommodation, leased by LA",49910.0
2006-01-01,"Private accommodation, leased by LA",49660.0
2006-04-01,"Private accommodation, leased by LA",49320.0
2006-07-01,"Private accommodation, leased by LA",49700.0
2006-10-01,"Private accommodation, leased by LA",48850.0
2007-01-01,"Private accommodation, leased by LA",45600.0
2007-04-01,"Private accommodation, leased by LA",44610.0
2007-07-01,"Private accommodation, leased by LA",43430.0
2007-10-01,"Private accommodation, leased by LA",41730.0
2008-01-01,"Private accommodation, leased by LA",40480.0
2008-04-01,"Private accommodation, leased by LA",41130.0
2008-07-01,"Private accommodation, leased by LA",39990.0
2008-10-01,"Private accommodation, leased by LA",38790.0
2009-01-01,"Private accommodation, leased by LA",37450.0
2009-04-01,"Private accommodation, leased by LA",35920.0
2009-07-01,"Private accommodation, leased by LA",34130.0
2009-10-01,"Private accommodation, leased by LA",32430.0
2010-01-01,"Private accommodation, leased by LA",30920.0
2010-04-01,"Private accommodation, leased by LA",29820.0
2010-07-01,"Private accommodation, leased by LA",28740.0
2010-10-01,"Private accommodation, leased by LA",27730.0
2011-01-01,"Private accommodation, leased by LA",26960.0
2011-04-01,"Private accommodation, leased by LA",26240.0
2011-07-01,"Private accommodation, leased by LA",26380.0
2011-10-01,"Private accommodation, leased by LA",26080.0
2012-01-01,"Private accommodation, leased by LA",26040.0
2012-04-01,"Private accommodation, leased by LA",25960.0
2012-07-01,"Private accommodation, leased by LA",26290.0
2012-10-01,"Private accommodation, leased by LA",26310.0
2013-01-01,"Private accommodation, leased by LA",26260.0
2013-04-01,"Private accommodation, leased by LA",24780.0
2013-07-01,"Private accommodation, leased by LA",25660.0
2013-10-01,"Private accommodation, leased by LA",25460.0
2014-01-01,"Private accommodation, leased by LA",25270.0
2014-04-01,"Private accommodation, leased by LA",24800.0
2014-07-01,"Private accommodation, leased by LA",23290.0
2014-10-01,"Private accommodation, leased by LA",23460.0
2015-01-01,"Private accommodation, leased by LA",23990.0
2015-04-01,"Private accommodation, leased by LA",23820.0
2015-07-01,"Private accommodation, leased by LA",23520.0
2015-10-01,"Private accommodation, leased by LA",25580.0
2016-01-01,"Private accommodation, leased by LA",24420.0
2016-04-01,"Private accommodation, leased by LA",24990.0
2016-07-01,"Private accommodation, leased by LA",24300.0
2016-10-01,"Private accommodation, leased by LA",24150.0
2017-01-01,"Private accommodation, leased by LA",24510.0
2017-04-01,"Private accommodation, leased by LA",23050.0
2017-07-01,"Private accommodation, leased by LA",23390.0
2017-10-01,"Private accommodation, leased by LA",23430.0
2018-01-01,"Private accommodation, leased by LA",25320.0
2018-04-01,"Private accommodation, leased by LA",25370.0
2018-07-01,"Private accommodation, leased by LA",24970.0
2018-10-01,"Private accommodation, leased by LA",25080.0
2019-01-01,"Private accommodation, leased by LA",25260.0
2019-04-01,"Private accommodation, leased by LA",27890.0
2019-07-01,"Private accommodation, leased by LA",27450.0
2019-10-01,"Private accommodation, leased by LA",27500.0
2020-01-01,"Private accommodation, leased by LA",27910.0
2020-04-01,"Private accommodation, leased by LA",28450.0
2020-07-01,"Private accommodation, leased by LA",25850.0
2020-10-01,"Private accommodation, leased by LA",28210.0
2021-01-01,"Private accommodation, leased by LA",28020.0
2021-04-01,"Private accommodation, leased by LA",27730.0
2021-07-01,"Private accommodation, leased by LA",25920.0
2021-10-01,"Private accommodation, leased by LA",24750.0
2022-01-01,"Private accommodation, leased by LA",24530.0
2022-04-01,"Private accommodation, leased by LA",23280.0
2022-07-01,"Private accommodation, leased by LA",23170.0
2022-10-01,"Private accommodation, leased by LA",23150.0
2023-01-01,"Private accommodation, leased by LA",24200.0
2023-04-01,"Private accommodation, leased by LA",26390.0
2023-07-01,"Private accommodation, leased by LA",26200.0
1998-01-01,Local authority or Housing association stock,13940.0
1998-04-01,Local authority or Housing association stock,14800.0
1998-07-01,Local authority or Housing association stock,16360.0
1998-10-01,Local authority or Housing association stock,17560.0
1999-01-01,Local authority or Housing association stock,18600.0
1999-04-01,Local authority or Housing association stock,18740.0
1999-07-01,Local authority or Housing association stock,20330.0
1999-10-01,Local authority or Housing association stock,20330.0
2000-01-01,Local authority or Housing association stock,21370.0
2000-04-01,Local authority or Housing association stock,22490.0
2000-07-01,Local authority or Housing association stock,23700.0
2000-10-01,Local authority or Housing association stock,24320.0
2001-01-01,Local authority or Housing association stock,25480.0
2001-04-01,Local authority or Housing association stock,25450.0
2001-07-01,Local authority or Housing association stock,25930.0
2001-10-01,Local authority or Housing association stock,26580.0
2002-01-01,Local authority or Housing association stock,27760.0
2002-04-01,Local authority or Housing association stock,28470.0
2002-07-01,Local authority or Housing association stock,28870.0
2002-10-01,Local authority or Housing association stock,27580.0
2003-01-01,Local authority or Housing association stock,28250.0
2003-04-01,Local authority or Housing association stock,27590.0
2003-07-01,Local authority or Housing association stock,27560.0
2003-10-01,Local authority or Housing association stock,27480.0
2004-01-01,Local authority or Housing association stock,27890.0
2004-04-01,Local authority or Housing association stock,27960.0
2004-07-01,Local authority or Housing association stock,28220.0
2004-10-01,Local authority or Housing association stock,27730.0
2005-01-01,Local authority or Housing association stock,26630.0
2005-04-01,Local authority or Housing association stock,27430.0
2005-07-01,Local authority or Housing association stock,25030.0
2005-10-01,Local authority or Housing association stock,24220.0
2006-01-01,Local authority or Housing association stock,22350.0
2006-04-01,Local authority or Housing association stock,20790.0
2006-07-01,Local authority or Housing association stock,20180.0
2006-10-01,Local authority or Housing association stock,18840.0
2007-01-01,Local authority or Housing association stock,18040.0
2007-04-01,Local authority or Housing association stock,17240.0
2007-07-01,Local authority or Housing association stock,16490.0
2007-10-01,Local authority or Housing association stock,15910.0
2008-01-01,Local authority or Housing association stock,14740.0
2008-04-01,Local authority or Housing association stock,14030.0
2008-07-01,Local authority or Housing association stock,13420.0
2008-10-01,Local authority or Housing association stock,11930.0
2009-01-01,Local authority or Housing association stock,10480.0
2009-04-01,Local authority or Housing association stock,9520.0
2009-07-01,Local authority or Housing association stock,8780.0
2009-10-01,Local authority or Housing association stock,8180.0
2010-01-01,Local authority or Housing association stock,7790.0
2010-04-01,Local authority or Housing association stock,7650.0
2010-07-01,Local authority or Housing association stock,7610.0
2010-10-01,Local authority or Housing association stock,7430.0
2011-01-01,Local authority or Housing association stock,7490.0
2011-04-01,Local authority or Housing association stock,7570.0
2011-07-01,Local authority or Housing association stock,7890.0
2011-10-01,Local authority or Housing association stock,7990.0
2012-01-01,Local authority or Housing association stock,8270.0
2012-04-01,Local authority or Housing association stock,8600.0
2012-07-01,Local authority or Housing association stock,8930.0
2012-10-01,Local authority or Housing association stock,9090.0
2013-01-01,Local authority or Housing association stock,9270.0
2013-04-01,Local authority or Housing association stock,10060.0
2013-07-01,Local authority or Housing association stock,9810.0
2013-10-01,Local authority or Housing association stock,9560.0
2014-01-01,Local authority or Housing association stock,9880.0
2014-04-01,Local authority or Housing association stock,10120.0
2014-07-01,Local authority or Housing association stock,10070.0
2014-10-01,Local authority or Housing association stock,10530.0
2015-01-01,Local authority or Housing association stock,10920.0
2015-04-01,Local authority or Housing association stock,11500.0
2015-07-01,Local authority or Housing association stock,12210.0
2015-10-01,Local authority or Housing association stock,12480.0
2016-01-01,Local authority or Housing association stock,13130.0
2016-04-01,Local authority or Housing association stock,13540.0
2016-07-01,Local authority or Housing association stock,13610.0
2016-10-01,Local authority or Housing association stock,14040.0
2017-01-01,Local authority or Housing association stock,14370.0
2017-04-01,Local authority or Housing association stock,15010.0
2017-07-01,Local authority or Housing association stock,15560.0
2017-10-01,Local authority or Housing association stock,15750.0
2018-01-01,Local authority or Housing association stock,15650.0
2018-04-01,Local authority or Housing association stock,15920.0
2018-07-01,Local authority or Housing association stock,16530.0
2018-10-01,Local authority or Housing association stock,16590.0
2019-01-01,Local authority or Housing association stock,17800.0
2019-04-01,Local authority or Housing association stock,18400.0
2019-07-01,Local authority or Housing association stock,19250.0
2019-10-01,Local authority or Housing association stock,19820.0
2020-01-01,Local authority or Housing association stock,20530.0
2020-04-01,Local authority or Housing association stock,21850.0
2020-07-01,Local authority or Housing association stock,21500.0
2020-10-01,Local authority or Housing association stock,21590.0
2021-01-01,Local authority or Housing association stock,21690.0
2021-04-01,Local authority or Housing association stock,22290.0
2021-07-01,Local authority or Housing association stock,23830.0
2021-10-01,Local authority or Housing association stock,23680.0
2022-01-01,Local authority or Housing association stock,24100.0
2022-04-01,Local authority or Housing association stock,24620.0
2022-07-01,Local authority or Housing association stock,25160.0
2022-10-01,Local authority or Housing association stock,25600.0
2023-01-01,Local authority or Housing association stock,26400.0
2023-04-01,Local authority or Housing association stock,25890.0
2023-07-01,Local authority or Housing association stock,26680.0
1998-01-01,Other accommodation (including private landlord),6930.0
1998-04-01,Other accommodation (including private landlord),6760.0
1998-07-01,Other accommodation (including private landlord),4850.0
1998-10-01,Other accommodation (including private landlord),4480.0
1999-01-01,Other accommodation (including private landlord),5360.0
1999-04-01,Other accommodation (including private landlord),6760.0
1999-07-01,Other accommodation (including private landlord),7620.0
1999-10-01,Other accommodation (including private landlord),7910.0
2000-01-01,Other accommodation (including private landlord),7750.0
2000-04-01,Other accommodation (including private landlord),6080.0
2000-07-01,Other accommodation (including private landlord),9710.0
2000-10-01,Other accommodation (including private landlord),6490.0
2001-01-01,Other accommodation (including private landlord),6350.0
2001-04-01,Other accommodation (including private landlord),6790.0
2001-07-01,Other accommodation (including private landlord),8320.0
2001-10-01,Other accommodation (including private landlord),7800.0
2002-01-01,Other accommodation (including private landlord),5920.0
2002-04-01,Other accommodation (including private landlord),4400.0
2002-07-01,Other accommodation (including private landlord),4490.0
2002-10-01,Other accommodation (including private landlord),4680.0
2003-01-01,Other accommodation (including private landlord),5810.0
2003-04-01,Other accommodation (including private landlord),5990.0
2003-07-01,Other accommodation (including private landlord),5950.0
2003-10-01,Other accommodation (including private landlord),6370.0
2004-01-01,Other accommodation (including private landlord),6270.0
2004-04-01,Other accommodation (including private landlord),6990.0
2004-07-01,Other accommodation (including private landlord),7260.0
2004-10-01,Other accommodation (including private landlord),6460.0
2005-01-01,Other accommodation (including private landlord),6670.0
2005-04-01,Other accommodation (including private landlord),5870.0
2005-07-01,Other accommodation (including private landlord),6500.0
2005-10-01,Other accommodation (including private landlord),5970.0
2006-01-01,Other accommodation (including private landlord),5700.0
2006-04-01,Other accommodation (including private landlord),5400.0
2006-07-01,Other accommodation (including private landlord),4980.0
2006-10-01,Other accommodation (including private landlord),4870.0
2007-01-01,Other accommodation (including private landlord),6400.0
2007-04-01,Other accommodation (including private landlord),6350.0
2007-07-01,Other accommodation (including private landlord),5920.0
2007-10-01,Other accommodation (including private landlord),5930.0
2008-01-01,Other accommodation (including private landlord),5790.0
2008-04-01,Other accommodation (including private landlord),4090.0
2008-07-01,Other accommodation (including private landlord),4020.0
2008-10-01,Other accommodation (including private landlord),3720.0
2009-01-01,Other accommodation (including private landlord),3480.0
2009-04-01,Other accommodation (including private landlord),3360.0
2009-07-01,Other accommodation (including private landlord),3310.0
2009-10-01,Other accommodation (including private landlord),3100.0
2010-01-01,Other accommodation (including private landlord),2940.0
2010-04-01,Other accommodation (including private landlord),2860.0
2010-07-01,Other accommodation (including private landlord),2800.0
2010-10-01,Other accommodation (including private landlord),2790.0
2011-01-01,Other accommodation (including private landlord),2870.0
2011-04-01,Other accommodation (including private landlord),2850.0
2011-07-01,Other accommodation (including private landlord),2740.0
2011-10-01,Other accommodation (including private landlord),2910.0
2012-01-01,Other accommodation (including private landlord),2940.0
2012-04-01,Other accommodation (including private landlord),3130.0
2012-07-01,Other accommodation (including private landlord),3360.0
