Processor,Transistor count,Year,Designer,Process,Area (mm2),Transistor,Designer Country,Bits,Name,Details
"SA-110 (32-bit, 32 KB of caches)","2,500,000[30]",1995,"Acorn, DEC, Apple",350 nm,50 mm2,50000,,32-bit,SA-110,"32-bit, 32KB of caches"
"Pentium Pro (32-bit, 16 KB of caches;[56] L2 cache on-package, but on separate die)","5,500,000[57]",1995,Intel,500 nm,307 mm2,18000,United States,32-bit,Pentium Pro,"32-bit, 16KB of caches;[56]L2 cache on-package, but on separate die"
"PA-8000 64-bit, no cache","3,800,000[58]",1995,HP,500 nm,337.69 mm2,11300,United States,64-bit,,
"Alpha 21164A EV56 (64-bit, 112 kB cache)","9,660,000[59]",1996,DEC,350 nm,208.8 mm2,46260,United States,64-bit,Alpha 21164AEV56,"64-bit, 112 kB cache"
"AMD K5 (32-bit, caches)","4,300,000",1996,AMD,500 nm,251 mm2,17000,United States,32-bit,AMD K5,"32-bit, caches"
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)","7,500,000",1997,Intel,350 nm,195 mm2,39000,United States,32-bit,Pentium IIKlamath,"32-bit, 64-bitSIMD, caches"
"AMD K6 (32-bit, caches)","8,800,000",1997,AMD,350 nm,162 mm2,54000,United States,32-bit,AMD K6,"32-bit, caches"
"Pentium II Deschutes (32-bit, large cache)","7,500,000",1998,Intel,250 nm,113 mm2,66000,United States,32-bit,Pentium IIDeschutes,"32-bit, large cache"
Alpha 21264 EV6 (64-bit),"15,200,000[61]",1998,DEC,350 nm,313.96 mm2,48400,United States,64-bit,Alpha 21264EV6,64-bit
"Alpha 21164PC PCA57 (64-bit, 48 kB cache)","5,700,000",1998,Samsung,280 nm,100.5 mm2,56700,South Korea,64-bit,Alpha 21164PCPCA57,"64-bit, 48 kB cache"
"Hitachi SH-4 (32-bit, caches)[62]","3,200,000[63]",1998,Hitachi,250 nm,57.76 mm2,55400,Japan,32-bit,Hitachi SH-4,"32-bit, caches"
"ARM 9TDMI (32-bit, no cache)","111,000[30]",1999,Acorn,350 nm,4.8 mm2,23100,United Kingdom,32-bit,ARM 9TDMI,"32-bit, no cache"
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)","9,500,000",1999,Intel,250 nm,128 mm2,74000,United States,32-bit,Pentium IIIKatmai,"32-bit, 128-bit SIMD, caches"
"Emotion Engine (64-bit, 128-bit SIMD, cache)","10,500,000[64]",1999,"Sony, Toshiba",250 nm,239.7 mm2[64],43800,,64-bit,Emotion Engine,"64-bit, 128-bitSIMD, cache"
"Pentium II Mobile Dixon (32-bit, caches)","27,400,000",1999,Intel,180 nm,180 mm2,152000,United States,32-bit,Pentium IIMobile Dixon,"32-bit, caches"
"AMD K6-III (32-bit, caches)","21,300,000",1999,AMD,250 nm,118 mm2,181000,United States,32-bit,AMD K6-III,"32-bit, caches"
"AMD K7 (32-bit, caches)","22,000,000",1999,AMD,250 nm,184 mm2,120000,United States,32-bit,AMD K7,"32-bit, caches"
"Gekko (32-bit, large cache)","21,000,000[66]",2000,"IBM, Nintendo",180 nm,43 mm2,490000,,32-bit,Gekko,"32-bit, large cache"
"Pentium III Coppermine (32-bit, large cache)","21,000,000",2000,Intel,180 nm,80 mm2,263000,United States,32-bit,Pentium IIICoppermine,"32-bit, large cache"
"Pentium 4 Willamette (32-bit, large cache)","42,000,000",2000,Intel,180 nm,217 mm2,194000,United States,32-bit,Pentium 4Willamette,"32-bit, large cache"
"SPARC64 V (64-bit, large cache)","191,000,000[67]",2001,Fujitsu,130 nm[68],290 mm2,659000,Japan,64-bit,SPARC64 V,"64-bit, large cache"
"Pentium III Tualatin (32-bit, large cache)","45,000,000",2001,Intel,130 nm,81 mm2,556000,United States,32-bit,Pentium IIITualatin,"32-bit, large cache"
"Pentium 4 Northwood (32-bit, large cache)","55,000,000",2002,Intel,130 nm,145 mm2,379000,United States,32-bit,Pentium 4Northwood,"32-bit, large cache"
"Itanium 2 McKinley (64-bit, large cache)","220,000,000",2002,Intel,180 nm,421 mm2,523000,United States,64-bit,Itanium 2McKinley,"64-bit, large cache"
"Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)","152,000,000[14]",2003,DEC,180 nm,397 mm2,383000,United States,64-bit,Alpha 21364,"64-bit, 946-pin, SIMD, very large caches"
"AMD K7 Barton (32-bit, large cache)","54,300,000",2003,AMD,130 nm,101 mm2,538000,United States,32-bit,AMD K7Barton,"32-bit, large cache"
"AMD K8 (64-bit, large cache)","105,900,000",2003,AMD,130 nm,193 mm2,548700,United States,64-bit,AMD K8,"64-bit, large cache"
Pentium M Banias (32-bit),"77,000,000[69]",2003,Intel,130 nm,83 mm2,928000,United States,32-bit,Pentium MBanias,32-bit
Itanium 2 Madison 6M (64-bit),"410,000,000",2003,Intel,130 nm,374 mm2,1096000,United States,64-bit,Itanium 2Madison 6M,64-bit
PlayStation 2 single chip (CPU + GPU),"53,500,000[70]",2003[71],"Sony, Toshiba",90 nm[72],86 mm²,622100,Multiple Countries,other,PlayStation 2single chip,CPU + GPU
"Pentium 4 Prescott (32-bit, large cache)","112,000,000",2004,Intel,90 nm,110 mm2,1018000,United States,32-bit,Pentium 4Prescott,"32-bit, large cache"
Pentium M Dothan (32-bit),"144,000,000[75]",2004,Intel,90 nm,87 mm2,1655000,United States,32-bit,Pentium MDothan,32-bit
"SPARC64 V+ (64-bit, large cache)","400,000,000[76]",2004,Fujitsu,90 nm,294 mm2,1360000,Japan,64-bit,SPARC64 V+,"64-bit, large cache"
Itanium 2 (64-bit;9 MBcache),"592,000,000",2004,Intel,130 nm,432 mm2,1370000,United States,64-bit,Itanium 2,64-bit;9MBcache
"Pentium 4 Prescott-2M (32-bit, large cache)","169,000,000",2005,Intel,90 nm,143 mm2,1182000,United States,32-bit,Pentium 4Prescott-2M,"32-bit, large cache"
"Pentium D Smithfield (64-bit, large cache)","228,000,000",2005,Intel,90 nm,206 mm2,1107000,United States,64-bit,Pentium DSmithfield,"64-bit, large cache"
"Cell (32-bit, cache)","250,000,000[77]",2005,"Sony, IBM, Toshiba",90 nm,221 mm2,1131000,Multiple Countries,32-bit,Cell,"32-bit, cache"
"Pentium 4 Cedar Mill (32-bit, large cache)","184,000,000",2006,Intel,65 nm,90 mm2,2044000,United States,32-bit,Pentium 4Cedar Mill,"32-bit, large cache"
"Pentium D Presler (64-bit, large cache)","362,000,000 [78]",2006,Intel,65 nm,162 mm2,2235000,United States,64-bit,Pentium DPresler,"64-bit, large cache"
"Core 2 Duo Conroe (dual-core 64-bit, large caches)","291,000,000",2006,Intel,65 nm,143 mm2,2035000,United States,64-bit,Core 2 DuoConroe,"dual-core 64-bit, large caches"
"Dual-core Itanium 2 (64-bit, SIMD, large caches)","1,700,000,000[79]",2006,Intel,90 nm,596 mm2,2852000,United States,64-bit,Dual-coreItanium 2,"64-bit,SIMD, large caches"
"AMD K10 quad-core 2M L3 (64-bit, large caches)","463,000,000[80]",2007,AMD,65 nm,283 mm2,1636000,United States,64-bit,AMD K10quad-core 2M L3,"64-bit, large caches"
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)","26,000,000[81]",2007,ARM,45 nm,31 mm2,839000,United Kingdom,32-bit,ARM Cortex-A9,"32-bit, (optional"
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)","411,000,000",2007,Intel,45 nm,107 mm2,3841000,United States,64-bit,Core 2 DuoWolfdale,"dual-core 64-bit,SIMD, caches"
"POWER6 (64-bit, large caches)","789,000,000",2007,IBM,65 nm,341 mm2,2314000,United States,64-bit,POWER6,"64-bit, large caches"
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches)","169,000,000",2007,Intel,65 nm,111 mm2,1523000,United States,64-bit,Core 2 DuoAllendale,"dual-core 64-bit,SIMD, large caches"
"SPARC64 VI (64-bit, SIMD, large caches)","540,000,000",2007[83],Fujitsu,90 nm,421 mm2,1283000,Japan,64-bit,SPARC64 VI,"64-bit,SIMD, large caches"
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)","230,000,000",2008,Intel,45 nm,83 mm2,2771000,United States,64-bit,Core 2 DuoWolfdale 3M,"dual-core 64-bit,SIMD, large caches"
"Core i7 (quad-core 64-bit, SIMD, large caches)","731,000,000",2008,Intel,45 nm,263 mm2,2779000,United States,64-bit,Core i7,"quad-core 64-bit,SIMD, large caches"
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)","758,000,000[80]",2008,AMD,45 nm,258 mm2,2938000,United States,64-bit,AMD K10quad-core 6M L3,"64-bit,SIMD, large caches"
"Atom (32-bit, large cache)","47,000,000",2008,Intel,45 nm,24 mm2,1958000,United States,32-bit,Atom,"32-bit, large cache"
"SPARC64 VII (64-bit, SIMD, large caches)","600,000,000",2008[84],Fujitsu,65 nm,445 mm2,1348000,Japan,64-bit,SPARC64 VII,"64-bit,SIMD, large caches"
"Six-core Xeon 7400 (64-bit, SIMD, large caches)","1,900,000,000",2008,Intel,45 nm,503 mm2,3777000,United States,64-bit,Six-coreXeon7400,"64-bit,SIMD, large caches"
"Six-core Opteron 2400 (64-bit, SIMD, large caches)","904,000,000",2009,AMD,45 nm,346 mm2,2613000,United States,64-bit,Six-coreOpteron2400,"64-bit,SIMD, large caches"
"SPARC64 VIIIfx (64-bit, SIMD, large caches)","760,000,000[85]",2009,Fujitsu,45 nm,513 mm2,1481000,Japan,64-bit,SPARC64 VIIIfx,"64-bit,SIMD, large caches"
"Atom (Pineview) 64-bit, 1-core, 512 kB L2 cache","123,000,000[86]",2010,Intel,45 nm,66 mm²,1864000,United States,64-bit,Atom,Pineview
"Atom (Pineview) 64-bit, 2-core, 1 MB L2 cache","176,000,000[87]",2010,Intel,45 nm,87 mm²,2023000,United States,64-bit,Atom,Pineview
"SPARC T3 (16-core 64-bit, SIMD, large caches)","1,000,000,000[88]",2010,Sun/Oracle,40 nm,377 mm2,2653000,United States,64-bit,SPARC T3,"16-core 64-bit,SIMD, large caches"
Six-core Core i7(Gulftown),"1,170,000,000",2010,Intel,32 nm,240 mm2,4875000,United States,other,Six-coreCore i7,Gulftown
"POWER7 32M L3 (8-core 64-bit, SIMD, large caches)","1,200,000,000",2010,IBM,45 nm,567 mm2,2116000,United States,64-bit,POWER732M L3,"8-core 64-bit,SIMD, large caches"
"Quad-core z196[89] (64-bit, very large caches)","1,400,000,000",2010,IBM,45 nm,512 mm2,2734000,United States,64-bit,Quad-corez196[89],"64-bit, very large caches"
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)","2,000,000,000[90]",2010,Intel,65 nm,699 mm2,2861000,United States,64-bit,Quad-core ItaniumTukwila,"64-bit,SIMD, large caches"
"Xeon Nehalem-EX (8-core 64-bit, SIMD, large caches)","2,300,000,000[91]",2010,Intel,45 nm,684 mm2,3363000,United States,64-bit,XeonNehalem-EX,"8-core 64-bit,SIMD, large caches"
"SPARC64 IXfx (64-bit, SIMD, large caches)","1,870,000,000[92]",2011,Fujitsu,40 nm,484 mm2,3864000,Japan,64-bit,SPARC64 IXfx,"64-bit,SIMD, large caches"
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)","1,160,000,000",2011,Intel,32 nm,216 mm2,5370000,United States,64-bit,Quad-core +GPUCore i7,"64-bit,SIMD, large caches"
Six-core Core i7/8-core Xeon E5,"2,270,000,000[93]",2011,Intel,32 nm,434 mm2,5230000,United States,other,,
"Xeon Westmere-EX (10-core 64-bit, SIMD, large caches)","2,600,000,000",2011,Intel,32 nm,512 mm2,5078000,United States,64-bit,XeonWestmere-EX,"10-core 64-bit,SIMD, large caches"
"Atom ""Medfield"" (64-bit)","432,000,000[94]",2012,Intel,32 nm,64 mm2,6750000,United States,64-bit,"Atom""Medfield""",64-bit
"SPARC64 X (64-bit, SIMD, caches)","2,990,000,000[95]",2012,Fujitsu,28 nm,600 mm2,4983000,Japan,64-bit,SPARC64 X,"64-bit,SIMD, caches"
"AMD Bulldozer (8-core 64-bit, SIMD, caches)","1,200,000,000[96]",2012,AMD,32 nm,315 mm2,3810000,United States,64-bit,AMD Bulldozer,"8-core 64-bit,SIMD, caches"
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)","1,303,000,000",2012,AMD,32 nm,246 mm2,5297000,United States,64-bit,Quad-core + GPUAMD Trinity,"64-bit,SIMD, caches"
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)","1,400,000,000",2012,Intel,22 nm,160 mm2,8750000,United States,64-bit,Quad-core + GPUCore i7 Ivy Bridge,"64-bit,SIMD, caches"
"POWER7+ (8-core 64-bit, SIMD, 80 MB L3 cache)","2,100,000,000",2012,IBM,32 nm,567 mm2,3704000,United States,64-bit,POWER7+,"8-core 64-bit,SIMD, 80MB L3 cache"
"Six-core zEC12 (64-bit, SIMD, large caches)","2,750,000,000",2012,IBM,32 nm,597 mm2,4606000,United States,64-bit,Six-corezEC12,"64-bit,SIMD, large caches"
"Itanium Poulson (8-core 64-bit, SIMD, caches)","3,100,000,000",2012,Intel,32 nm,544 mm2,5699000,United States,64-bit,ItaniumPoulson,"8-core 64-bit,SIMD, caches"
"Xeon Phi (61-core 32-bit, 512-bit SIMD, caches)","5,000,000,000[97]",2012,Intel,22 nm,720 mm2,6944000,United States,32-bit,Xeon Phi,"61-core 32-bit, 512-bitSIMD, caches"
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)","1,000,000,000",2013,Apple,28 nm,102 mm2,9804000,United States,32-bit,Apple A7,"dual-core 64/32-bitARM64, ""mobileSoC"",SIMD, caches"
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)","1,860,000,000",2013,Intel,22 nm,256 mm2,7266000,United States,64-bit,Six-coreCore i7 Ivy Bridge E,"64-bit,SIMD, caches"
"POWER8 (12-core 64-bit, SIMD, caches)","4,200,000,000",2013,IBM,22 nm,650 mm2,6462000,United States,64-bit,POWER8,"12-core 64-bit,SIMD, caches"
"Xbox One main SoC (64-bit, SIMD, caches)","5,000,000,000",2013,"Microsoft, AMD",28 nm,363 mm2,13770000,Multiple Countries,64-bit,Xbox Onemain SoC,"64-bit,SIMD, caches"
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)","1,400,000,000[98]",2014,Intel,22 nm,177 mm2,7910000,United States,64-bit,Quad-core + GPUCore i7 Haswell,"64-bit,SIMD, caches"
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","2,000,000,000",2014,Apple,20 nm,89 mm2,22470000,United States,32-bit,Apple A8,"dual-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Core i7 Haswell-E (8-core 64-bit, SIMD, caches)","2,600,000,000[99]",2014,Intel,22 nm,355 mm2,7324000,United States,64-bit,Core i7 Haswell-E,"8-core 64-bit,SIMD, caches"
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,000,000,000[100]",2014,Apple,20 nm,128 mm2,23440000,United States,32-bit,Apple A8X,"tri-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Xeon Ivy Bridge-EX (15-core 64-bit, SIMD, caches)","4,310,000,000[101]",2014,Intel,22 nm,541 mm2,7967000,United States,64-bit,Xeon Ivy Bridge-EX,"15-core 64-bit,SIMD, caches"
"Xeon Haswell-E5 (18-core 64-bit, SIMD, caches)","5,560,000,000[102]",2014,Intel,22 nm,661 mm2,8411000,United States,64-bit,Xeon Haswell-E5,"18-core 64-bit,SIMD, caches"
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)","1,750,000,000",2015,Intel,14 nm,122 mm2,14340000,United States,64-bit,Quad-core + GPU GT2Core i7 Skylake K,"64-bit,SIMD, caches"
"Dual-core + GPU Iris Core i7 Broadwell-U(64-bit, SIMD, caches)","1,900,000,000[103]",2015,Intel,14 nm,133 mm2,14290000,United States,64-bit,Dual-core + GPU IrisCore i7 Broadwell-U,"64-bit,SIMD, caches"
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","2,000,000,000+",2015,Apple,14 nm,96 mm2,20800000,United States,32-bit,Apple A9,"dual-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,000,000,000+",2015,Apple,16 nm,143.9 mm2,20800000,United States,32-bit,Apple A9X,"dual core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"IBM z13 (64-bit, caches)","3,990,000,000",2015,IBM,22 nm,678 mm2,5885000,United States,64-bit,IBM z13,"64-bit, caches"
IBM z13 Storage Controller,"7,100,000,000",2015,IBM,22 nm,678 mm2,10472000,United States,other,,
"Core i7 Broadwell-E(10-core 64-bit, SIMD, caches)","3,200,000,000[105]",2016,Intel,14 nm,246 mm2[106],13010000,United States,64-bit,Core i7 Broadwell-E,"10-core 64-bit,SIMD, caches"
"Apple A10 Fusion(quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,300,000,000",2016,Apple,16 nm,125 mm2,26400000,United States,32-bit,Apple A10 Fusion,"quad-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","4,000,000,000[107]",2016,Huawei,16 nm,110.00 mm2,36360000,China,32-bit,HiSilicon Kirin 960,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Xeon Broadwell-E5 (22-core 64-bit, SIMD, caches)","7,200,000,000[108]",2016,Intel,14 nm,456 mm2,15790000,United States,64-bit,Xeon Broadwell-E5,"22-core 64-bit,SIMD, caches"
"Xeon Phi (72-core 64-bit, 512-bit SIMD, caches)","8,000,000,000",2016,Intel,14 nm,683 mm2,11710000,United States,64-bit,Xeon Phi,"72-core 64-bit, 512-bitSIMD, caches"
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,000,000,000[110][111]",2016,Qualcomm,10 nm,72.3 mm2,41490000,United States,32-bit,Qualcomm Snapdragon 835,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","4,300,000,000",2017,Apple,10 nm,89.23 mm2,48190000,United States,32-bit,Apple A11 Bionic,"hexa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"AMD Zen CCX (core complex unit: 4 cores, 8 MB L3 cache)","1,400,000,000[112]",2017,AMD,14 nm,44 mm²,31800000,United States,other,AMDZenCCX,"core complex unit: 4 cores, 8 MB L3 cache"
"AMD Zeppelin SoC Ryzen (64-bit, SIMD, caches)","4,800,000,000[113]",2017,AMD,14 nm,192 mm2,25000000,United States,64-bit,AMD Zeppelin SoCRyzen,"64-bit,SIMD, caches"
"AMD Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)","4,800,000,000[114]",2017,AMD,14 nm,213 mm2,22530000,United States,64-bit,AMD Ryzen 5 1600Ryzen,"64-bit,SIMD, caches"
"IBM z14 (64-bit, SIMD, caches)","6,100,000,000",2017,IBM,14 nm,696 mm2,8764000,United States,64-bit,IBM z14,"64-bit,SIMD, caches"
IBM z14 Storage Controller (64-bit),"9,700,000,000",2017,IBM,14 nm,696 mm2,13940000,United States,64-bit,IBM z14 Storage Controller,64-bit
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","5,500,000,000[115]",2017,Huawei,10 nm,96.72 mm2,56900000,China,32-bit,HiSilicon Kirin 970,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)","7,000,000,000[116]",2017,"Microsoft, AMD",16 nm,360 mm2[116],19440000,Multiple Countries,64-bit,Xbox One X,Project Scorpio
Xeon (unspecified),"7,100,000,000[118]",2017,Intel,14 nm,672 mm²,10570000,United States,other,Xeon,unspecified
"POWER9 (64-bit, SIMD, caches)","8,000,000,000",2017,IBM,14 nm,695 mm2,11500000,United States,64-bit,POWER9,"64-bit,SIMD, caches"
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)","250,000,000[119]",2017,SiFive,28 nm,~30 mm2,8330000,United States,64-bit,Freedom U500 Base Platform Chip,"E51, 4U54"
