,Year,var,val
309,1957,Life Expectancy at Birth,50.945
310,1958,Life Expectancy at Birth,51.537
311,1959,Life Expectancy at Birth,49.345
312,1960,Life Expectancy at Birth,47.697
313,1961,Life Expectancy at Birth,50.359
314,1962,Life Expectancy at Birth,53.124
315,1963,Life Expectancy at Birth,53.576
316,1964,Life Expectancy at Birth,54.164
317,1965,Life Expectancy at Birth,53.892
318,1966,Life Expectancy at Birth,54.472
319,1967,Life Expectancy at Birth,54.92
320,1968,Life Expectancy at Birth,55.486
321,1969,Life Expectancy at Birth,55.829
322,1970,Life Expectancy at Birth,56.112
323,1971,Life Expectancy at Birth,55.892
324,1972,Life Expectancy at Birth,57.123
325,1973,Life Expectancy at Birth,57.633
326,1974,Life Expectancy at Birth,58.042
327,1975,Life Expectancy at Birth,58.275
328,1976,Life Expectancy at Birth,58.711
329,1977,Life Expectancy at Birth,59.365
330,1978,Life Expectancy at Birth,59.74
331,1979,Life Expectancy at Birth,60.204
332,1980,Life Expectancy at Birth,60.552
333,1981,Life Expectancy at Birth,60.992
334,1982,Life Expectancy at Birth,61.416
335,1983,Life Expectancy at Birth,61.565
336,1984,Life Expectancy at Birth,61.907
337,1985,Life Expectancy at Birth,62.236
338,1986,Life Expectancy at Birth,62.767
339,1987,Life Expectancy at Birth,63.158
340,1988,Life Expectancy at Birth,63.281
341,1989,Life Expectancy at Birth,63.792
342,1990,Life Expectancy at Birth,63.988
343,1991,Life Expectancy at Birth,64.058
344,1992,Life Expectancy at Birth,64.303
345,1993,Life Expectancy at Birth,64.437
346,1994,Life Expectancy at Birth,64.459
347,1995,Life Expectancy at Birth,64.877
348,1996,Life Expectancy at Birth,65.143
349,1997,Life Expectancy at Birth,65.501
350,1998,Life Expectancy at Birth,65.722
351,1999,Life Expectancy at Birth,66.073
352,2000,Life Expectancy at Birth,66.453
353,2001,Life Expectancy at Birth,66.834
354,2002,Life Expectancy at Birth,67.137
355,2003,Life Expectancy at Birth,67.46
356,2004,Life Expectancy at Birth,67.807
357,2005,Life Expectancy at Birth,68.205
358,2006,Life Expectancy at Birth,68.703
359,2007,Life Expectancy at Birth,69.051
360,2008,Life Expectancy at Birth,69.301
361,2009,Life Expectancy at Birth,69.796
362,2010,Life Expectancy at Birth,70.109
363,2011,Life Expectancy at Birth,70.53
364,2012,Life Expectancy at Birth,70.873
365,2013,Life Expectancy at Birth,71.207
366,2014,Life Expectancy at Birth,71.565
367,2015,Life Expectancy at Birth,71.8
368,2016,Life Expectancy at Birth,72.11
369,2017,Life Expectancy at Birth,72.327
370,2018,Life Expectancy at Birth,72.576
371,2019,Life Expectancy at Birth,72.79
372,2020,Life Expectancy at Birth,72.036
373,2021,Life Expectancy at Birth,71.048
374,2022,Life Expectancy at Birth,71.713
375,2023,Life Expectancy at Birth,73.357
376,2024,Life Expectancy at Birth,73.669
377,2025,Life Expectancy at Birth,73.789
378,2026,Life Expectancy at Birth,73.948
379,2027,Life Expectancy at Birth,74.106
380,2028,Life Expectancy at Birth,74.26
381,2029,Life Expectancy at Birth,74.414
382,2030,Life Expectancy at Birth,74.57
383,2031,Life Expectancy at Birth,74.721
384,2032,Life Expectancy at Birth,74.871
385,2033,Life Expectancy at Birth,75.019
386,2034,Life Expectancy at Birth,75.163
387,2035,Life Expectancy at Birth,75.307
388,2036,Life Expectancy at Birth,75.451
389,2037,Life Expectancy at Birth,75.593
390,2038,Life Expectancy at Birth,75.733
391,2039,Life Expectancy at Birth,75.871
392,2040,Life Expectancy at Birth,76.007
393,2041,Life Expectancy at Birth,76.145
394,2042,Life Expectancy at Birth,76.278
395,2043,Life Expectancy at Birth,76.407
396,2044,Life Expectancy at Birth,76.535
397,2045,Life Expectancy at Birth,76.661
398,2046,Life Expectancy at Birth,76.786
399,2047,Life Expectancy at Birth,76.904
400,2048,Life Expectancy at Birth,77.021
401,2049,Life Expectancy at Birth,77.137
402,2050,Life Expectancy at Birth,77.248
403,2051,Life Expectancy at Birth,77.358
404,2052,Life Expectancy at Birth,77.469
405,2053,Life Expectancy at Birth,77.578
406,2054,Life Expectancy at Birth,77.686
407,2055,Life Expectancy at Birth,77.792
408,2056,Life Expectancy at Birth,77.895
409,2057,Life Expectancy at Birth,78.002
410,2058,Life Expectancy at Birth,78.107
411,2059,Life Expectancy at Birth,78.21
412,2060,Life Expectancy at Birth,78.314
413,2061,Life Expectancy at Birth,78.415
414,2062,Life Expectancy at Birth,78.518
415,2063,Life Expectancy at Birth,78.621
416,2064,Life Expectancy at Birth,78.721
417,2065,Life Expectancy at Birth,78.824
418,2066,Life Expectancy at Birth,78.925
419,2067,Life Expectancy at Birth,79.023
420,2068,Life Expectancy at Birth,79.122
421,2069,Life Expectancy at Birth,79.22
422,2070,Life Expectancy at Birth,79.317
423,2071,Life Expectancy at Birth,79.416
424,2072,Life Expectancy at Birth,79.509
425,2073,Life Expectancy at Birth,79.605
426,2074,Life Expectancy at Birth,79.699
427,2075,Life Expectancy at Birth,79.794
428,2076,Life Expectancy at Birth,79.887
429,2077,Life Expectancy at Birth,79.981
430,2078,Life Expectancy at Birth,80.072
431,2079,Life Expectancy at Birth,80.162
432,2080,Life Expectancy at Birth,80.253
433,2081,Life Expectancy at Birth,80.342
434,2082,Life Expectancy at Birth,80.432
435,2083,Life Expectancy at Birth,80.525
436,2084,Life Expectancy at Birth,80.615
437,2085,Life Expectancy at Birth,80.705
438,2086,Life Expectancy at Birth,80.797
439,2087,Life Expectancy at Birth,80.886
440,2088,Life Expectancy at Birth,80.974
441,2089,Life Expectancy at Birth,81.066
442,2090,Life Expectancy at Birth,81.156
443,2091,Life Expectancy at Birth,81.246
444,2092,Life Expectancy at Birth,81.335
445,2093,Life Expectancy at Birth,81.426
446,2094,Life Expectancy at Birth,81.517
447,2095,Life Expectancy at Birth,81.609
448,2096,Life Expectancy at Birth,81.698
449,2097,Life Expectancy at Birth,81.787
450,2098,Life Expectancy at Birth,81.877
451,2099,Life Expectancy at Birth,81.969
452,2100,Life Expectancy at Birth,82.058
453,1950,Fertility Rate,4.86
454,1951,Fertility Rate,4.827
455,1952,Fertility Rate,5.014
456,1953,Fertility Rate,4.937
457,1954,Fertility Rate,5.01
458,1955,Fertility Rate,5.012
459,1956,Fertility Rate,4.939
460,1957,Fertility Rate,5.076
461,1958,Fertility Rate,4.935
462,1959,Fertility Rate,4.741
463,1960,Fertility Rate,4.695
464,1961,Fertility Rate,4.574
465,1962,Fertility Rate,5.03
466,1963,Fertility Rate,5.317
467,1964,Fertility Rate,5.133
468,1965,Fertility Rate,5.081
469,1966,Fertility Rate,4.963
470,1967,Fertility Rate,4.856
471,1968,Fertility Rate,4.963
472,1969,Fertility Rate,4.867
473,1970,Fertility Rate,4.828
474,1971,Fertility Rate,4.682
475,1972,Fertility Rate,4.547
476,1973,Fertility Rate,4.421
477,1974,Fertility Rate,4.265
478,1975,Fertility Rate,4.084
479,1976,Fertility Rate,3.977
480,1977,Fertility Rate,3.852
481,1978,Fertility Rate,3.79
482,1979,Fertility Rate,3.776
483,1980,Fertility Rate,3.75
484,1981,Fertility Rate,3.716
485,1982,Fertility Rate,3.713
486,1983,Fertility Rate,3.578
487,1984,Fertility Rate,3.552
488,1985,Fertility Rate,3.515
489,1986,Fertility Rate,3.505
490,1987,Fertility Rate,3.48
491,1988,Fertility Rate,3.391
492,1989,Fertility Rate,3.346
493,1990,Fertility Rate,3.308
494,1991,Fertility Rate,3.127
495,1992,Fertility Rate,3.041
496,1993,Fertility Rate,2.976
497,1994,Fertility Rate,2.926
498,1995,Fertility Rate,2.878
499,1996,Fertility Rate,2.833
500,1997,Fertility Rate,2.794
501,1998,Fertility Rate,2.758
502,1999,Fertility Rate,2.73
503,2000,Fertility Rate,2.734
504,2001,Fertility Rate,2.7
505,2002,Fertility Rate,2.672
506,2003,Fertility Rate,2.647
507,2004,Fertility Rate,2.636
508,2005,Fertility Rate,2.619
509,2006,Fertility Rate,2.612
510,2007,Fertility Rate,2.612
511,2008,Fertility Rate,2.613
512,2009,Fertility Rate,2.605
513,2010,Fertility Rate,2.587
514,2011,Fertility Rate,2.573
515,2012,Fertility Rate,2.59
516,2013,Fertility Rate,2.56
517,2014,Fertility Rate,2.553
518,2015,Fertility Rate,2.524
519,2016,Fertility Rate,2.526
520,2017,Fertility Rate,2.504
521,2018,Fertility Rate,2.443
522,2019,Fertility Rate,2.406
523,2020,Fertility Rate,2.349
524,2021,Fertility Rate,2.321
525,2022,Fertility Rate,2.314
526,2023,Fertility Rate,2.312
527,2024,Fertility Rate,2.308
528,2025,Fertility Rate,2.303
529,2026,Fertility Rate,2.298
530,2027,Fertility Rate,2.293
531,2028,Fertility Rate,2.287
532,2029,Fertility Rate,2.281
533,2030,Fertility Rate,2.273
534,2031,Fertility Rate,2.265
535,2032,Fertility Rate,2.259
536,2033,Fertility Rate,2.25
537,2034,Fertility Rate,2.242
538,2035,Fertility Rate,2.234
539,2036,Fertility Rate,2.226
540,2037,Fertility Rate,2.221
541,2038,Fertility Rate,2.216
542,2039,Fertility Rate,2.209
543,2040,Fertility Rate,2.205
544,2041,Fertility Rate,2.201
545,2042,Fertility Rate,2.197
546,2043,Fertility Rate,2.193
547,2044,Fertility Rate,2.188
548,2045,Fertility Rate,2.183
549,2046,Fertility Rate,2.178
550,2047,Fertility Rate,2.173
551,2048,Fertility Rate,2.166
552,2049,Fertility Rate,2.157
553,2050,Fertility Rate,2.149
554,2051,Fertility Rate,2.139
555,2052,Fertility Rate,2.133
556,2053,Fertility Rate,2.122
557,2054,Fertility Rate,2.113
558,2055,Fertility Rate,2.103
559,2056,Fertility Rate,2.095
560,2057,Fertility Rate,2.086
561,2058,Fertility Rate,2.077
562,2059,Fertility Rate,2.065
563,2060,Fertility Rate,2.057
564,2061,Fertility Rate,2.049
565,2062,Fertility Rate,2.043
566,2063,Fertility Rate,2.034
567,2064,Fertility Rate,2.027
568,2065,Fertility Rate,2.017
569,2066,Fertility Rate,2.009
570,2067,Fertility Rate,2.003
571,2068,Fertility Rate,1.995
572,2069,Fertility Rate,1.988
573,2070,Fertility Rate,1.981
574,2071,Fertility Rate,1.974
575,2072,Fertility Rate,1.97
576,2073,Fertility Rate,1.964
577,2074,Fertility Rate,1.958
578,2075,Fertility Rate,1.951
579,2076,Fertility Rate,1.945
580,2077,Fertility Rate,1.938
581,2078,Fertility Rate,1.933
582,2079,Fertility Rate,1.929
583,2080,Fertility Rate,1.924
584,2081,Fertility Rate,1.919
585,2082,Fertility Rate,1.916
586,2083,Fertility Rate,1.912
587,2084,Fertility Rate,1.907
588,2085,Fertility Rate,1.901
589,2086,Fertility Rate,1.895
590,2087,Fertility Rate,1.891
591,2088,Fertility Rate,1.888
592,2089,Fertility Rate,1.882
593,2090,Fertility Rate,1.877
594,2091,Fertility Rate,1.871
595,2092,Fertility Rate,1.867
596,2093,Fertility Rate,1.862
597,2094,Fertility Rate,1.86
598,2095,Fertility Rate,1.855
599,2096,Fertility Rate,1.851
600,2097,Fertility Rate,1.846
601,2098,Fertility Rate,1.842
602,2099,Fertility Rate,1.84
603,2100,Fertility Rate,1.835
