Country name,Rank,Factor,Score,Top/Bottom
Lesotho,138,Explained by: Log GDP per capita,0.737,Bottom 10
Comoros,139,Explained by: Log GDP per capita,0.835,Bottom 10
Yemen,140,Explained by: Log GDP per capita,0.631,Bottom 10
DR Congo,141,Explained by: Log GDP per capita,0.544,Bottom 10
Botswana,142,Explained by: Log GDP per capita,1.388,Bottom 10
Zimbabwe,143,Explained by: Log GDP per capita,0.827,Bottom 10
Malawi,144,Explained by: Log GDP per capita,0.588,Bottom 10
Lebanon,145,Explained by: Log GDP per capita,1.223,Bottom 10
Sierra Leone,146,Explained by: Log GDP per capita,0.786,Bottom 10
Afghanistan,147,Explained by: Log GDP per capita,0.649,Bottom 10
Lesotho,138,Explained by: Social support,1.131,Bottom 10
Comoros,139,Explained by: Social support,0.501,Bottom 10
Yemen,140,Explained by: Social support,1.482,Bottom 10
DR Congo,141,Explained by: Social support,0.929,Bottom 10
Botswana,142,Explained by: Social support,1.146,Bottom 10
Zimbabwe,143,Explained by: Social support,0.961,Bottom 10
Malawi,144,Explained by: Social support,0.489,Bottom 10
Lebanon,145,Explained by: Social support,0.984,Bottom 10
Sierra Leone,146,Explained by: Social support,0.692,Bottom 10
Afghanistan,147,Explained by: Social support,0.0,Bottom 10
Lesotho,138,Explained by: Healthy life expectancy,0.0,Bottom 10
Comoros,139,Explained by: Healthy life expectancy,0.428,Bottom 10
Yemen,140,Explained by: Healthy life expectancy,0.375,Bottom 10
DR Congo,141,Explained by: Healthy life expectancy,0.278,Bottom 10
Botswana,142,Explained by: Healthy life expectancy,0.094,Bottom 10
Zimbabwe,143,Explained by: Healthy life expectancy,0.178,Bottom 10
Malawi,144,Explained by: Healthy life expectancy,0.28,Bottom 10
Lebanon,145,Explained by: Healthy life expectancy,0.44,Bottom 10
Sierra Leone,146,Explained by: Healthy life expectancy,0.327,Bottom 10
Afghanistan,147,Explained by: Healthy life expectancy,0.155,Bottom 10
Lesotho,138,Explained by: Freedom to make life choices,0.606,Bottom 10
Comoros,139,Explained by: Freedom to make life choices,0.26,Bottom 10
Yemen,140,Explained by: Freedom to make life choices,0.447,Bottom 10
DR Congo,141,Explained by: Freedom to make life choices,0.6,Bottom 10
Botswana,142,Explained by: Freedom to make life choices,0.697,Bottom 10
Zimbabwe,143,Explained by: Freedom to make life choices,0.598,Bottom 10
Malawi,144,Explained by: Freedom to make life choices,0.677,Bottom 10
Lebanon,145,Explained by: Freedom to make life choices,0.279,Bottom 10
Sierra Leone,146,Explained by: Freedom to make life choices,0.613,Bottom 10
Afghanistan,147,Explained by: Freedom to make life choices,0.0,Bottom 10
Lesotho,138,Explained by: Generosity,0.065,Bottom 10
Comoros,139,Explained by: Generosity,0.117,Bottom 10
Yemen,140,Explained by: Generosity,0.066,Bottom 10
DR Congo,141,Explained by: Generosity,0.151,Bottom 10
Botswana,142,Explained by: Generosity,0.018,Bottom 10
Zimbabwe,143,Explained by: Generosity,0.065,Bottom 10
Malawi,144,Explained by: Generosity,0.115,Bottom 10
Lebanon,145,Explained by: Generosity,0.071,Bottom 10
Sierra Leone,146,Explained by: Generosity,0.138,Bottom 10
Afghanistan,147,Explained by: Generosity,0.075,Bottom 10
Lesotho,138,Explained by: Perceptions of corruption,0.072,Bottom 10
Comoros,139,Explained by: Perceptions of corruption,0.164,Bottom 10
Yemen,140,Explained by: Perceptions of corruption,0.106,Bottom 10
DR Congo,141,Explained by: Perceptions of corruption,0.061,Bottom 10
Botswana,142,Explained by: Perceptions of corruption,0.083,Bottom 10
Zimbabwe,143,Explained by: Perceptions of corruption,0.131,Bottom 10
Malawi,144,Explained by: Perceptions of corruption,0.136,Bottom 10
Lebanon,145,Explained by: Perceptions of corruption,0.041,Bottom 10
Sierra Leone,146,Explained by: Perceptions of corruption,0.052,Bottom 10
Afghanistan,147,Explained by: Perceptions of corruption,0.135,Bottom 10
Lesotho,138,Dystopia + residual,1.145,Bottom 10
Comoros,139,Dystopia + residual,1.45,Bottom 10
Yemen,140,Dystopia + residual,0.454,Bottom 10
DR Congo,141,Dystopia + residual,0.906,Bottom 10
Botswana,142,Dystopia + residual,0.012,Bottom 10
Zimbabwe,143,Dystopia + residual,0.636,Bottom 10
Malawi,144,Dystopia + residual,0.975,Bottom 10
Lebanon,145,Dystopia + residual,0.15,Bottom 10
Sierra Leone,146,Dystopia + residual,0.391,Bottom 10
Afghanistan,147,Dystopia + residual,0.348,Bottom 10
