period,Sector,Value
2004-10-01,General Government,14025
2005-01-01,General Government,14514
2005-04-01,General Government,8497
2005-07-01,General Government,14323
2005-10-01,General Government,13437
2006-01-01,General Government,12541
2006-04-01,General Government,12967
2006-07-01,General Government,12842
2006-10-01,General Government,13467
2007-01-01,General Government,13258
2007-04-01,General Government,13327
2007-07-01,General Government,12482
2007-10-01,General Government,15845
2008-01-01,General Government,16775
2008-04-01,General Government,15255
2008-07-01,General Government,15861
2008-10-01,General Government,17411
2009-01-01,General Government,17521
2009-04-01,General Government,16507
2009-07-01,General Government,18129
2009-10-01,General Government,17924
2010-01-01,General Government,18677
2010-04-01,General Government,17329
2010-07-01,General Government,17948
2010-10-01,General Government,17522
2011-01-01,General Government,18451
2011-04-01,General Government,15951
2011-07-01,General Government,16182
2011-10-01,General Government,15922
2012-01-01,General Government,16542
2012-04-01,General Government,16224
2012-07-01,General Government,14405
2012-10-01,General Government,14758
2013-01-01,General Government,14610
2013-04-01,General Government,14163
2013-07-01,General Government,14431
2013-10-01,General Government,15091
2014-01-01,General Government,17024
2014-04-01,General Government,15597
2014-07-01,General Government,15999
2014-10-01,General Government,16810
2015-01-01,General Government,17617
2015-04-01,General Government,17075
2015-07-01,General Government,15969
2015-10-01,General Government,15867
2016-01-01,General Government,14242
2016-04-01,General Government,16494
2016-07-01,General Government,17408
2016-10-01,General Government,16868
2017-01-01,General Government,15812
2017-04-01,General Government,18884
2017-07-01,General Government,18067
2017-10-01,General Government,18312
2018-01-01,General Government,18074
2018-04-01,General Government,16801
2018-07-01,General Government,17993
2018-10-01,General Government,17674
2019-01-01,General Government,19067
2019-04-01,General Government,17837
2019-07-01,General Government,18073
2019-10-01,General Government,17913
2020-01-01,General Government,16893
2020-04-01,General Government,19722
2020-07-01,General Government,19585
2020-10-01,General Government,19953
2021-01-01,General Government,18746
2021-04-01,General Government,20691
2021-07-01,General Government,21461
2021-10-01,General Government,20740
2022-01-01,General Government,21386
2022-04-01,General Government,19999
2022-07-01,General Government,21111
2022-10-01,General Government,21726
2023-01-01,General Government,22727
2023-04-01,General Government,20929
2023-07-01,General Government,22000
2023-10-01,General Government,22577
2024-01-01,General Government,23412
2024-04-01,General Government,21952
2024-07-01,General Government,23482
2024-10-01,General Government,23202
2025-01-01,General Government,23382
2025-04-01,General Government,23195
2025-07-01,General Government,22766
1997-01-01,Public Corporations (housing),1700
1997-04-01,Public Corporations (housing),1152
1997-07-01,Public Corporations (housing),1012
1997-10-01,Public Corporations (housing),1031
1998-01-01,Public Corporations (housing),1158
1998-04-01,Public Corporations (housing),1205
1998-07-01,Public Corporations (housing),1262
1998-10-01,Public Corporations (housing),1172
1999-01-01,Public Corporations (housing),1037
1999-04-01,Public Corporations (housing),1278
1999-07-01,Public Corporations (housing),893
1999-10-01,Public Corporations (housing),1181
2000-01-01,Public Corporations (housing),821
2000-04-01,Public Corporations (housing),1021
2000-07-01,Public Corporations (housing),1052
2000-10-01,Public Corporations (housing),1087
2001-01-01,Public Corporations (housing),1423
2001-04-01,Public Corporations (housing),1595
2001-07-01,Public Corporations (housing),1615
2001-10-01,Public Corporations (housing),1647
2002-01-01,Public Corporations (housing),1928
2002-04-01,Public Corporations (housing),1519
2002-07-01,Public Corporations (housing),1570
2002-10-01,Public Corporations (housing),2351
2003-01-01,Public Corporations (housing),2876
2003-04-01,Public Corporations (housing),1846
2003-07-01,Public Corporations (housing),1966
2003-10-01,Public Corporations (housing),1922
2004-01-01,Public Corporations (housing),1812
2004-04-01,Public Corporations (housing),1963
2004-07-01,Public Corporations (housing),1870
2004-10-01,Public Corporations (housing),1907
2005-01-01,Public Corporations (housing),1671
2005-04-01,Public Corporations (housing),1852
2005-07-01,Public Corporations (housing),1928
2005-10-01,Public Corporations (housing),1923
2006-01-01,Public Corporations (housing),2237
2006-04-01,Public Corporations (housing),1788
2006-07-01,Public Corporations (housing),1973
2006-10-01,Public Corporations (housing),1880
2007-01-01,Public Corporations (housing),1947
2007-04-01,Public Corporations (housing),1781
2007-07-01,Public Corporations (housing),1712
2007-10-01,Public Corporations (housing),1706
2008-01-01,Public Corporations (housing),1784
2008-04-01,Public Corporations (housing),1660
2008-07-01,Public Corporations (housing),3419
2008-10-01,Public Corporations (housing),3329
2009-01-01,Public Corporations (housing),3285
2009-04-01,Public Corporations (housing),3256
2009-07-01,Public Corporations (housing),3289
2009-10-01,Public Corporations (housing),3378
2010-01-01,Public Corporations (housing),3422
2010-04-01,Public Corporations (housing),3400
2010-07-01,Public Corporations (housing),3383
2010-10-01,Public Corporations (housing),3262
2011-01-01,Public Corporations (housing),3161
2011-04-01,Public Corporations (housing),3173
2011-07-01,Public Corporations (housing),3016
2011-10-01,Public Corporations (housing),2951
2012-01-01,Public Corporations (housing),2837
2012-04-01,Public Corporations (housing),2868
2012-07-01,Public Corporations (housing),2809
2012-10-01,Public Corporations (housing),2782
2013-01-01,Public Corporations (housing),2789
2013-04-01,Public Corporations (housing),2667
2013-07-01,Public Corporations (housing),2656
2013-10-01,Public Corporations (housing),2665
2014-01-01,Public Corporations (housing),2799
2014-04-01,Public Corporations (housing),3148
2014-07-01,Public Corporations (housing),3289
2014-10-01,Public Corporations (housing),3332
2015-01-01,Public Corporations (housing),3321
2015-04-01,Public Corporations (housing),2806
2015-07-01,Public Corporations (housing),3006
2015-10-01,Public Corporations (housing),2914
2016-01-01,Public Corporations (housing),2998
2016-04-01,Public Corporations (housing),3099
2016-07-01,Public Corporations (housing),3037
2016-10-01,Public Corporations (housing),3084
2017-01-01,Public Corporations (housing),3095
2017-04-01,Public Corporations (housing),3267
2017-07-01,Public Corporations (housing),3229
2017-10-01,Public Corporations (housing),2497
2018-01-01,Public Corporations (housing),1674
2018-04-01,Public Corporations (housing),1603
2018-07-01,Public Corporations (housing),1584
2018-10-01,Public Corporations (housing),1473
2019-01-01,Public Corporations (housing),1483
2019-04-01,Public Corporations (housing),1524
2019-07-01,Public Corporations (housing),1591
2019-10-01,Public Corporations (housing),1636
2020-01-01,Public Corporations (housing),1459
2020-04-01,Public Corporations (housing),1335
2020-07-01,Public Corporations (housing),1325
2020-10-01,Public Corporations (housing),1426
2021-01-01,Public Corporations (housing),1442
2021-04-01,Public Corporations (housing),1675
2021-07-01,Public Corporations (housing),1669
2021-10-01,Public Corporations (housing),1785
2022-01-01,Public Corporations (housing),1909
2022-04-01,Public Corporations (housing),1880
2022-07-01,Public Corporations (housing),1897
2022-10-01,Public Corporations (housing),1869
2023-01-01,Public Corporations (housing),1862
2023-04-01,Public Corporations (housing),1942
2023-07-01,Public Corporations (housing),2024
2023-10-01,Public Corporations (housing),2039
2024-01-01,Public Corporations (housing),2227
2024-04-01,Public Corporations (housing),1987
2024-07-01,Public Corporations (housing),2221
2024-10-01,Public Corporations (housing),2282
2025-01-01,Public Corporations (housing),2302
2025-04-01,Public Corporations (housing),2354
2025-07-01,Public Corporations (housing),2100
1997-01-01,Private Housing & Transfer Costs,22394
1997-04-01,Private Housing & Transfer Costs,22193
1997-07-01,Private Housing & Transfer Costs,22709
1997-10-01,Private Housing & Transfer Costs,24242
1998-01-01,Private Housing & Transfer Costs,22507
1998-04-01,Private Housing & Transfer Costs,23320
1998-07-01,Private Housing & Transfer Costs,22831
1998-10-01,Private Housing & Transfer Costs,23369
1999-01-01,Private Housing & Transfer Costs,23243
1999-04-01,Private Housing & Transfer Costs,24067
1999-07-01,Private Housing & Transfer Costs,25035
1999-10-01,Private Housing & Transfer Costs,25109
2000-01-01,Private Housing & Transfer Costs,26757
2000-04-01,Private Housing & Transfer Costs,27165
2000-07-01,Private Housing & Transfer Costs,26467
2000-10-01,Private Housing & Transfer Costs,26211
2001-01-01,Private Housing & Transfer Costs,25693
2001-04-01,Private Housing & Transfer Costs,25562
2001-07-01,Private Housing & Transfer Costs,26157
2001-10-01,Private Housing & Transfer Costs,25562
2002-01-01,Private Housing & Transfer Costs,26731
2002-04-01,Private Housing & Transfer Costs,27612
2002-07-01,Private Housing & Transfer Costs,28183
2002-10-01,Private Housing & Transfer Costs,29832
2003-01-01,Private Housing & Transfer Costs,28064
2003-04-01,Private Housing & Transfer Costs,28921
2003-07-01,Private Housing & Transfer Costs,29565
2003-10-01,Private Housing & Transfer Costs,30628
2004-01-01,Private Housing & Transfer Costs,30976
2004-04-01,Private Housing & Transfer Costs,32428
2004-07-01,Private Housing & Transfer Costs,32463
2004-10-01,Private Housing & Transfer Costs,31780
2005-01-01,Private Housing & Transfer Costs,31873
2005-04-01,Private Housing & Transfer Costs,32826
2005-07-01,Private Housing & Transfer Costs,32782
2005-10-01,Private Housing & Transfer Costs,33159
2006-01-01,Private Housing & Transfer Costs,31986
2006-04-01,Private Housing & Transfer Costs,32885
2006-07-01,Private Housing & Transfer Costs,32594
2006-10-01,Private Housing & Transfer Costs,32605
2007-01-01,Private Housing & Transfer Costs,32744
2007-04-01,Private Housing & Transfer Costs,32870
2007-07-01,Private Housing & Transfer Costs,32139
2007-10-01,Private Housing & Transfer Costs,32581
2008-01-01,Private Housing & Transfer Costs,31883
2008-04-01,Private Housing & Transfer Costs,30069
2008-07-01,Private Housing & Transfer Costs,24559
2008-10-01,Private Housing & Transfer Costs,23384
2009-01-01,Private Housing & Transfer Costs,21958
2009-04-01,Private Housing & Transfer Costs,21178
2009-07-01,Private Housing & Transfer Costs,21321
2009-10-01,Private Housing & Transfer Costs,20128
2010-01-01,Private Housing & Transfer Costs,20935
2010-04-01,Private Housing & Transfer Costs,21505
2010-07-01,Private Housing & Transfer Costs,22204
2010-10-01,Private Housing & Transfer Costs,21612
2011-01-01,Private Housing & Transfer Costs,20977
2011-04-01,Private Housing & Transfer Costs,20432
2011-07-01,Private Housing & Transfer Costs,20677
2011-10-01,Private Housing & Transfer Costs,20644
2012-01-01,Private Housing & Transfer Costs,19823
2012-04-01,Private Housing & Transfer Costs,20273
2012-07-01,Private Housing & Transfer Costs,20917
2012-10-01,Private Housing & Transfer Costs,21464
2013-01-01,Private Housing & Transfer Costs,21513
2013-04-01,Private Housing & Transfer Costs,23611
2013-07-01,Private Housing & Transfer Costs,23763
2013-10-01,Private Housing & Transfer Costs,23472
2014-01-01,Private Housing & Transfer Costs,24241
2014-04-01,Private Housing & Transfer Costs,23782
2014-07-01,Private Housing & Transfer Costs,24479
2014-10-01,Private Housing & Transfer Costs,24618
2015-01-01,Private Housing & Transfer Costs,24847
2015-04-01,Private Housing & Transfer Costs,26160
2015-07-01,Private Housing & Transfer Costs,26231
2015-10-01,Private Housing & Transfer Costs,26270
2016-01-01,Private Housing & Transfer Costs,26756
2016-04-01,Private Housing & Transfer Costs,27238
2016-07-01,Private Housing & Transfer Costs,28232
2016-10-01,Private Housing & Transfer Costs,29606
2017-01-01,Private Housing & Transfer Costs,29877
2017-04-01,Private Housing & Transfer Costs,29566
2017-07-01,Private Housing & Transfer Costs,30406
2017-10-01,Private Housing & Transfer Costs,31971
2018-01-01,Private Housing & Transfer Costs,31911
2018-04-01,Private Housing & Transfer Costs,32933
2018-07-01,Private Housing & Transfer Costs,32661
2018-10-01,Private Housing & Transfer Costs,32531
2019-01-01,Private Housing & Transfer Costs,33948
2019-04-01,Private Housing & Transfer Costs,33185
2019-07-01,Private Housing & Transfer Costs,33618
2019-10-01,Private Housing & Transfer Costs,31945
2020-01-01,Private Housing & Transfer Costs,30288
2020-04-01,Private Housing & Transfer Costs,19573
2020-07-01,Private Housing & Transfer Costs,27641
2020-10-01,Private Housing & Transfer Costs,29840
2021-01-01,Private Housing & Transfer Costs,30260
2021-04-01,Private Housing & Transfer Costs,31496
2021-07-01,Private Housing & Transfer Costs,31962
2021-10-01,Private Housing & Transfer Costs,33252
2022-01-01,Private Housing & Transfer Costs,35451
2022-04-01,Private Housing & Transfer Costs,35403
2022-07-01,Private Housing & Transfer Costs,35927
2022-10-01,Private Housing & Transfer Costs,34745
2023-01-01,Private Housing & Transfer Costs,34647
2023-04-01,Private Housing & Transfer Costs,33768
2023-07-01,Private Housing & Transfer Costs,32755
2023-10-01,Private Housing & Transfer Costs,32234
2024-01-01,Private Housing & Transfer Costs,33093
2024-04-01,Private Housing & Transfer Costs,33008
2024-07-01,Private Housing & Transfer Costs,31879
2024-10-01,Private Housing & Transfer Costs,32609
2025-01-01,Private Housing & Transfer Costs,33030
2025-04-01,Private Housing & Transfer Costs,33310
2025-07-01,Private Housing & Transfer Costs,34540
