date,country,indicator,value
1999-01-01,UK,NFC bonds as share of total NFC credit (%),25.41
1999-04-01,UK,NFC bonds as share of total NFC credit (%),25.9
1999-07-01,UK,NFC bonds as share of total NFC credit (%),25.09
1999-10-01,UK,NFC bonds as share of total NFC credit (%),26.26
2000-01-01,UK,NFC bonds as share of total NFC credit (%),26.03
2000-04-01,UK,NFC bonds as share of total NFC credit (%),26.91
2000-07-01,UK,NFC bonds as share of total NFC credit (%),27.46
2000-10-01,UK,NFC bonds as share of total NFC credit (%),28.96
2001-01-01,UK,NFC bonds as share of total NFC credit (%),27.9
2001-04-01,UK,NFC bonds as share of total NFC credit (%),27.92
2001-07-01,UK,NFC bonds as share of total NFC credit (%),27.22
2001-10-01,UK,NFC bonds as share of total NFC credit (%),27.52
2002-01-01,UK,NFC bonds as share of total NFC credit (%),27.86
2002-04-01,UK,NFC bonds as share of total NFC credit (%),27.69
2002-07-01,UK,NFC bonds as share of total NFC credit (%),27.87
2002-10-01,UK,NFC bonds as share of total NFC credit (%),28.14
2003-01-01,UK,NFC bonds as share of total NFC credit (%),25.61
2003-04-01,UK,NFC bonds as share of total NFC credit (%),25.76
2003-07-01,UK,NFC bonds as share of total NFC credit (%),26.84
2003-10-01,UK,NFC bonds as share of total NFC credit (%),26.88
2004-01-01,UK,NFC bonds as share of total NFC credit (%),27.17
2004-04-01,UK,NFC bonds as share of total NFC credit (%),25.35
2004-07-01,UK,NFC bonds as share of total NFC credit (%),25.1
2004-10-01,UK,NFC bonds as share of total NFC credit (%),24.54
2005-01-01,UK,NFC bonds as share of total NFC credit (%),24.58
2005-04-01,UK,NFC bonds as share of total NFC credit (%),23.84
2005-07-01,UK,NFC bonds as share of total NFC credit (%),23.23
2005-10-01,UK,NFC bonds as share of total NFC credit (%),23.15
2006-01-01,UK,NFC bonds as share of total NFC credit (%),22.67
2006-04-01,UK,NFC bonds as share of total NFC credit (%),21.83
2006-07-01,UK,NFC bonds as share of total NFC credit (%),21.09
2006-10-01,UK,NFC bonds as share of total NFC credit (%),20.95
2007-01-01,UK,NFC bonds as share of total NFC credit (%),21.24
2007-04-01,UK,NFC bonds as share of total NFC credit (%),20.71
2007-07-01,UK,NFC bonds as share of total NFC credit (%),20.05
2007-10-01,UK,NFC bonds as share of total NFC credit (%),20.23
2008-01-01,UK,NFC bonds as share of total NFC credit (%),19.44
2008-04-01,UK,NFC bonds as share of total NFC credit (%),18.97
2008-07-01,UK,NFC bonds as share of total NFC credit (%),17.87
2008-10-01,UK,NFC bonds as share of total NFC credit (%),17.99
2009-01-01,UK,NFC bonds as share of total NFC credit (%),18.92
2009-04-01,UK,NFC bonds as share of total NFC credit (%),20.98
2009-07-01,UK,NFC bonds as share of total NFC credit (%),22.21
2009-10-01,UK,NFC bonds as share of total NFC credit (%),22.34
2010-01-01,UK,NFC bonds as share of total NFC credit (%),22.56
2010-04-01,UK,NFC bonds as share of total NFC credit (%),22.81
2010-07-01,UK,NFC bonds as share of total NFC credit (%),23.5
2010-10-01,UK,NFC bonds as share of total NFC credit (%),22.96
2011-01-01,UK,NFC bonds as share of total NFC credit (%),24.92
2011-04-01,UK,NFC bonds as share of total NFC credit (%),24.92
2011-07-01,UK,NFC bonds as share of total NFC credit (%),24.96
2011-10-01,UK,NFC bonds as share of total NFC credit (%),25.61
2012-01-01,UK,NFC bonds as share of total NFC credit (%),24.77
2012-04-01,UK,NFC bonds as share of total NFC credit (%),24.88
2012-07-01,UK,NFC bonds as share of total NFC credit (%),25.53
2012-10-01,UK,NFC bonds as share of total NFC credit (%),25.4
2013-01-01,UK,NFC bonds as share of total NFC credit (%),26.02
2013-04-01,UK,NFC bonds as share of total NFC credit (%),26.29
2013-07-01,UK,NFC bonds as share of total NFC credit (%),25.79
2013-10-01,UK,NFC bonds as share of total NFC credit (%),26.55
2014-01-01,UK,NFC bonds as share of total NFC credit (%),23.85
2014-04-01,UK,NFC bonds as share of total NFC credit (%),24.69
2014-07-01,UK,NFC bonds as share of total NFC credit (%),25.86
2014-10-01,UK,NFC bonds as share of total NFC credit (%),26.7
2015-01-01,UK,NFC bonds as share of total NFC credit (%),25.89
2015-04-01,UK,NFC bonds as share of total NFC credit (%),25.69
2015-07-01,UK,NFC bonds as share of total NFC credit (%),26.27
2015-10-01,UK,NFC bonds as share of total NFC credit (%),25.96
2016-01-01,UK,NFC bonds as share of total NFC credit (%),26.42
2016-04-01,UK,NFC bonds as share of total NFC credit (%),27.57
2016-07-01,UK,NFC bonds as share of total NFC credit (%),28.07
2016-10-01,UK,NFC bonds as share of total NFC credit (%),26.21
2017-01-01,UK,NFC bonds as share of total NFC credit (%),25.75
2017-04-01,UK,NFC bonds as share of total NFC credit (%),25.47
2017-07-01,UK,NFC bonds as share of total NFC credit (%),25.61
2017-10-01,UK,NFC bonds as share of total NFC credit (%),25.46
2018-01-01,UK,NFC bonds as share of total NFC credit (%),25.47
2018-04-01,UK,NFC bonds as share of total NFC credit (%),26.2
2018-07-01,UK,NFC bonds as share of total NFC credit (%),26.03
2018-10-01,UK,NFC bonds as share of total NFC credit (%),26.02
2019-01-01,UK,NFC bonds as share of total NFC credit (%),26.1
2019-04-01,UK,NFC bonds as share of total NFC credit (%),26.13
2019-07-01,UK,NFC bonds as share of total NFC credit (%),26.21
2019-10-01,UK,NFC bonds as share of total NFC credit (%),26.33
2020-01-01,UK,NFC bonds as share of total NFC credit (%),24.15
2020-04-01,UK,NFC bonds as share of total NFC credit (%),26.09
2020-07-01,UK,NFC bonds as share of total NFC credit (%),26.05
2020-10-01,UK,NFC bonds as share of total NFC credit (%),26.36
2021-01-01,UK,NFC bonds as share of total NFC credit (%),25.76
2021-04-01,UK,NFC bonds as share of total NFC credit (%),25.36
2021-07-01,UK,NFC bonds as share of total NFC credit (%),24.83
2021-10-01,UK,NFC bonds as share of total NFC credit (%),24.19
2022-01-01,UK,NFC bonds as share of total NFC credit (%),22.24
2022-04-01,UK,NFC bonds as share of total NFC credit (%),20.68
2022-07-01,UK,NFC bonds as share of total NFC credit (%),19.02
2022-10-01,UK,NFC bonds as share of total NFC credit (%),19.36
1990-01-01,US,NFC bonds as share of total NFC credit (%),32.32
1990-04-01,US,NFC bonds as share of total NFC credit (%),32.48
1990-07-01,US,NFC bonds as share of total NFC credit (%),32.58
1990-10-01,US,NFC bonds as share of total NFC credit (%),32.53
1991-01-01,US,NFC bonds as share of total NFC credit (%),33.22
1991-04-01,US,NFC bonds as share of total NFC credit (%),33.81
1991-07-01,US,NFC bonds as share of total NFC credit (%),34.35
1991-10-01,US,NFC bonds as share of total NFC credit (%),34.87
1992-01-01,US,NFC bonds as share of total NFC credit (%),35.58
1992-04-01,US,NFC bonds as share of total NFC credit (%),36.18
1992-07-01,US,NFC bonds as share of total NFC credit (%),36.63
1992-10-01,US,NFC bonds as share of total NFC credit (%),37.12
1993-01-01,US,NFC bonds as share of total NFC credit (%),38.54
1993-04-01,US,NFC bonds as share of total NFC credit (%),39.66
1993-07-01,US,NFC bonds as share of total NFC credit (%),40.6
1993-10-01,US,NFC bonds as share of total NFC credit (%),41.1
1994-01-01,US,NFC bonds as share of total NFC credit (%),41.57
1994-04-01,US,NFC bonds as share of total NFC credit (%),41.77
1994-07-01,US,NFC bonds as share of total NFC credit (%),41.79
1994-10-01,US,NFC bonds as share of total NFC credit (%),41.76
1995-01-01,US,NFC bonds as share of total NFC credit (%),41.5
1995-04-01,US,NFC bonds as share of total NFC credit (%),41.63
1995-07-01,US,NFC bonds as share of total NFC credit (%),41.55
1995-10-01,US,NFC bonds as share of total NFC credit (%),41.26
1996-01-01,US,NFC bonds as share of total NFC credit (%),41.58
1996-04-01,US,NFC bonds as share of total NFC credit (%),41.62
1996-07-01,US,NFC bonds as share of total NFC credit (%),41.3
1996-10-01,US,NFC bonds as share of total NFC credit (%),41.13
1997-01-01,US,NFC bonds as share of total NFC credit (%),41.12
1997-04-01,US,NFC bonds as share of total NFC credit (%),41.22
1997-07-01,US,NFC bonds as share of total NFC credit (%),41.3
1997-10-01,US,NFC bonds as share of total NFC credit (%),40.53
1998-01-01,US,NFC bonds as share of total NFC credit (%),41.11
1998-04-01,US,NFC bonds as share of total NFC credit (%),41.43
1998-07-01,US,NFC bonds as share of total NFC credit (%),41.2
1998-10-01,US,NFC bonds as share of total NFC credit (%),40.35
1999-01-01,US,NFC bonds as share of total NFC credit (%),40.48
1999-04-01,US,NFC bonds as share of total NFC credit (%),40.91
1999-07-01,US,NFC bonds as share of total NFC credit (%),40.87
1999-10-01,US,NFC bonds as share of total NFC credit (%),40.37
2000-01-01,US,NFC bonds as share of total NFC credit (%),40.41
2000-04-01,US,NFC bonds as share of total NFC credit (%),40.3
2000-07-01,US,NFC bonds as share of total NFC credit (%),40.54
2000-10-01,US,NFC bonds as share of total NFC credit (%),39.9
2001-01-01,US,NFC bonds as share of total NFC credit (%),40.39
2001-04-01,US,NFC bonds as share of total NFC credit (%),40.93
2001-07-01,US,NFC bonds as share of total NFC credit (%),40.85
2001-10-01,US,NFC bonds as share of total NFC credit (%),41.0
2002-01-01,US,NFC bonds as share of total NFC credit (%),41.11
2002-04-01,US,NFC bonds as share of total NFC credit (%),41.0
2002-07-01,US,NFC bonds as share of total NFC credit (%),40.57
2002-10-01,US,NFC bonds as share of total NFC credit (%),40.16
2003-01-01,US,NFC bonds as share of total NFC credit (%),40.21
2003-04-01,US,NFC bonds as share of total NFC credit (%),40.39
2003-07-01,US,NFC bonds as share of total NFC credit (%),40.62
2003-10-01,US,NFC bonds as share of total NFC credit (%),40.28
2004-01-01,US,NFC bonds as share of total NFC credit (%),40.24
2004-04-01,US,NFC bonds as share of total NFC credit (%),39.68
2004-07-01,US,NFC bonds as share of total NFC credit (%),39.17
2004-10-01,US,NFC bonds as share of total NFC credit (%),38.25
2005-01-01,US,NFC bonds as share of total NFC credit (%),37.79
2005-04-01,US,NFC bonds as share of total NFC credit (%),36.87
2005-07-01,US,NFC bonds as share of total NFC credit (%),36.48
2005-10-01,US,NFC bonds as share of total NFC credit (%),35.44
2006-01-01,US,NFC bonds as share of total NFC credit (%),34.98
2006-04-01,US,NFC bonds as share of total NFC credit (%),34.69
2006-07-01,US,NFC bonds as share of total NFC credit (%),34.32
2006-10-01,US,NFC bonds as share of total NFC credit (%),33.93
2007-01-01,US,NFC bonds as share of total NFC credit (%),33.69
2007-04-01,US,NFC bonds as share of total NFC credit (%),33.63
2007-07-01,US,NFC bonds as share of total NFC credit (%),32.71
2007-10-01,US,NFC bonds as share of total NFC credit (%),32.14
2008-01-01,US,NFC bonds as share of total NFC credit (%),31.97
2008-04-01,US,NFC bonds as share of total NFC credit (%),32.25
2008-07-01,US,NFC bonds as share of total NFC credit (%),32.2
2008-10-01,US,NFC bonds as share of total NFC credit (%),32.2
2009-01-01,US,NFC bonds as share of total NFC credit (%),33.1
2009-04-01,US,NFC bonds as share of total NFC credit (%),33.87
2009-07-01,US,NFC bonds as share of total NFC credit (%),34.52
2009-10-01,US,NFC bonds as share of total NFC credit (%),35.41
2010-01-01,US,NFC bonds as share of total NFC credit (%),36.23
2010-04-01,US,NFC bonds as share of total NFC credit (%),36.91
2010-07-01,US,NFC bonds as share of total NFC credit (%),37.58
2010-10-01,US,NFC bonds as share of total NFC credit (%),38.22
2011-01-01,US,NFC bonds as share of total NFC credit (%),38.69
2011-04-01,US,NFC bonds as share of total NFC credit (%),38.95
2011-07-01,US,NFC bonds as share of total NFC credit (%),39.19
2011-10-01,US,NFC bonds as share of total NFC credit (%),39.13
2012-01-01,US,NFC bonds as share of total NFC credit (%),39.64
2012-04-01,US,NFC bonds as share of total NFC credit (%),39.91
2012-07-01,US,NFC bonds as share of total NFC credit (%),40.24
2012-10-01,US,NFC bonds as share of total NFC credit (%),40.5
2013-01-01,US,NFC bonds as share of total NFC credit (%),40.8
2013-04-01,US,NFC bonds as share of total NFC credit (%),40.72
2013-07-01,US,NFC bonds as share of total NFC credit (%),41.2
2013-10-01,US,NFC bonds as share of total NFC credit (%),40.88
2014-01-01,US,NFC bonds as share of total NFC credit (%),41.02
2014-04-01,US,NFC bonds as share of total NFC credit (%),41.04
2014-07-01,US,NFC bonds as share of total NFC credit (%),40.94
2014-10-01,US,NFC bonds as share of total NFC credit (%),40.74
2015-01-01,US,NFC bonds as share of total NFC credit (%),40.94
2015-04-01,US,NFC bonds as share of total NFC credit (%),41.23
2015-07-01,US,NFC bonds as share of total NFC credit (%),41.52
2015-10-01,US,NFC bonds as share of total NFC credit (%),41.23
2016-01-01,US,NFC bonds as share of total NFC credit (%),41.4
2016-04-01,US,NFC bonds as share of total NFC credit (%),41.56
2016-07-01,US,NFC bonds as share of total NFC credit (%),41.55
2016-10-01,US,NFC bonds as share of total NFC credit (%),41.32
2017-01-01,US,NFC bonds as share of total NFC credit (%),41.38
2017-04-01,US,NFC bonds as share of total NFC credit (%),41.25
2017-07-01,US,NFC bonds as share of total NFC credit (%),41.27
2017-10-01,US,NFC bonds as share of total NFC credit (%),40.73
2018-01-01,US,NFC bonds as share of total NFC credit (%),40.92
2018-04-01,US,NFC bonds as share of total NFC credit (%),39.8
2018-07-01,US,NFC bonds as share of total NFC credit (%),39.68
2018-10-01,US,NFC bonds as share of total NFC credit (%),39.17
2019-01-01,US,NFC bonds as share of total NFC credit (%),39.38
2019-04-01,US,NFC bonds as share of total NFC credit (%),39.44
2019-07-01,US,NFC bonds as share of total NFC credit (%),39.46
2019-10-01,US,NFC bonds as share of total NFC credit (%),39.17
2020-01-01,US,NFC bonds as share of total NFC credit (%),38.55
2020-04-01,US,NFC bonds as share of total NFC credit (%),39.2
2020-07-01,US,NFC bonds as share of total NFC credit (%),39.39
2020-10-01,US,NFC bonds as share of total NFC credit (%),39.33
2021-01-01,US,NFC bonds as share of total NFC credit (%),39.46
2021-04-01,US,NFC bonds as share of total NFC credit (%),39.06
2021-07-01,US,NFC bonds as share of total NFC credit (%),39.08
2021-10-01,US,NFC bonds as share of total NFC credit (%),38.19
2022-01-01,US,NFC bonds as share of total NFC credit (%),37.86
2022-04-01,US,NFC bonds as share of total NFC credit (%),37.07
2022-07-01,US,NFC bonds as share of total NFC credit (%),36.83
2022-10-01,US,NFC bonds as share of total NFC credit (%),36.57
1990-01-01,UK,NFC debt securities outstanding (USD bn),78.09
1990-04-01,UK,NFC debt securities outstanding (USD bn),83.32
1990-07-01,UK,NFC debt securities outstanding (USD bn),93.96
1990-10-01,UK,NFC debt securities outstanding (USD bn),100.52
1991-01-01,UK,NFC debt securities outstanding (USD bn),103.94
1991-04-01,UK,NFC debt securities outstanding (USD bn),102.48
1991-07-01,UK,NFC debt securities outstanding (USD bn),111.46
1991-10-01,UK,NFC debt securities outstanding (USD bn),116.66
1992-01-01,UK,NFC debt securities outstanding (USD bn),100.68
1992-04-01,UK,NFC debt securities outstanding (USD bn),113.72
1992-07-01,UK,NFC debt securities outstanding (USD bn),102.08
1992-10-01,UK,NFC debt securities outstanding (USD bn),96.21
1993-01-01,UK,NFC debt securities outstanding (USD bn),93.84
1993-04-01,UK,NFC debt securities outstanding (USD bn),103.5
1993-07-01,UK,NFC debt securities outstanding (USD bn),108.84
1993-10-01,UK,NFC debt securities outstanding (USD bn),113.29
1994-01-01,UK,NFC debt securities outstanding (USD bn),112.01
1994-04-01,UK,NFC debt securities outstanding (USD bn),115.07
1994-07-01,UK,NFC debt securities outstanding (USD bn),120.97
1994-10-01,UK,NFC debt securities outstanding (USD bn),124.28
1995-01-01,UK,NFC debt securities outstanding (USD bn),128.47
1995-04-01,UK,NFC debt securities outstanding (USD bn),138.93
1995-07-01,UK,NFC debt securities outstanding (USD bn),141.19
1995-10-01,UK,NFC debt securities outstanding (USD bn),151.56
1996-01-01,UK,NFC debt securities outstanding (USD bn),151.14
1996-04-01,UK,NFC debt securities outstanding (USD bn),157.3
1996-07-01,UK,NFC debt securities outstanding (USD bn),158.9
1996-10-01,UK,NFC debt securities outstanding (USD bn),172.83
1997-01-01,UK,NFC debt securities outstanding (USD bn),165.78
1997-04-01,UK,NFC debt securities outstanding (USD bn),179.1
1997-07-01,UK,NFC debt securities outstanding (USD bn),187.72
1997-10-01,UK,NFC debt securities outstanding (USD bn),193.69
1998-01-01,UK,NFC debt securities outstanding (USD bn),209.89
1998-04-01,UK,NFC debt securities outstanding (USD bn),212.61
1998-07-01,UK,NFC debt securities outstanding (USD bn),230.69
1998-10-01,UK,NFC debt securities outstanding (USD bn),236.01
1999-01-01,UK,NFC debt securities outstanding (USD bn),258.42
1999-04-01,UK,NFC debt securities outstanding (USD bn),268.23
1999-07-01,UK,NFC debt securities outstanding (USD bn),274.95
1999-10-01,UK,NFC debt securities outstanding (USD bn),290.39
2000-01-01,UK,NFC debt securities outstanding (USD bn),294.38
2000-04-01,UK,NFC debt securities outstanding (USD bn),302.56
2000-07-01,UK,NFC debt securities outstanding (USD bn),309.65
2000-10-01,UK,NFC debt securities outstanding (USD bn),336.21
2001-01-01,UK,NFC debt securities outstanding (USD bn),325.89
2001-04-01,UK,NFC debt securities outstanding (USD bn),324.87
2001-07-01,UK,NFC debt securities outstanding (USD bn),334.91
2001-10-01,UK,NFC debt securities outstanding (USD bn),343.41
2002-01-01,UK,NFC debt securities outstanding (USD bn),349.04
2002-04-01,UK,NFC debt securities outstanding (USD bn),382.31
2002-07-01,UK,NFC debt securities outstanding (USD bn),413.68
2002-10-01,UK,NFC debt securities outstanding (USD bn),429.04
2003-01-01,UK,NFC debt securities outstanding (USD bn),373.04
2003-04-01,UK,NFC debt securities outstanding (USD bn),402.27
2003-07-01,UK,NFC debt securities outstanding (USD bn),425.28
2003-10-01,UK,NFC debt securities outstanding (USD bn),453.3
2004-01-01,UK,NFC debt securities outstanding (USD bn),465.39
2004-04-01,UK,NFC debt securities outstanding (USD bn),428.34
2004-07-01,UK,NFC debt securities outstanding (USD bn),431.8
2004-10-01,UK,NFC debt securities outstanding (USD bn),456.32
2005-01-01,UK,NFC debt securities outstanding (USD bn),454.34
2005-04-01,UK,NFC debt securities outstanding (USD bn),441.39
2005-07-01,UK,NFC debt securities outstanding (USD bn),437.92
2005-10-01,UK,NFC debt securities outstanding (USD bn),435.95
2006-01-01,UK,NFC debt securities outstanding (USD bn),440.86
2006-04-01,UK,NFC debt securities outstanding (USD bn),461.02
2006-07-01,UK,NFC debt securities outstanding (USD bn),468.25
2006-10-01,UK,NFC debt securities outstanding (USD bn),487.53
2007-01-01,UK,NFC debt securities outstanding (USD bn),485.53
2007-04-01,UK,NFC debt securities outstanding (USD bn),487.15
2007-07-01,UK,NFC debt securities outstanding (USD bn),498.13
2007-10-01,UK,NFC debt securities outstanding (USD bn),509.61
2008-01-01,UK,NFC debt securities outstanding (USD bn),508.3
2008-04-01,UK,NFC debt securities outstanding (USD bn),496.17
2008-07-01,UK,NFC debt securities outstanding (USD bn),431.08
2008-10-01,UK,NFC debt securities outstanding (USD bn),376.99
2009-01-01,UK,NFC debt securities outstanding (USD bn),382.03
2009-04-01,UK,NFC debt securities outstanding (USD bn),464.32
2009-07-01,UK,NFC debt securities outstanding (USD bn),490.2
2009-10-01,UK,NFC debt securities outstanding (USD bn),489.22
2010-01-01,UK,NFC debt securities outstanding (USD bn),469.43
2010-04-01,UK,NFC debt securities outstanding (USD bn),459.58
2010-07-01,UK,NFC debt securities outstanding (USD bn),506.1
2010-10-01,UK,NFC debt securities outstanding (USD bn),470.76
2011-01-01,UK,NFC debt securities outstanding (USD bn),533.84
2011-04-01,UK,NFC debt securities outstanding (USD bn),534.2
2011-07-01,UK,NFC debt securities outstanding (USD bn),521.28
2011-10-01,UK,NFC debt securities outstanding (USD bn),528.51
2012-01-01,UK,NFC debt securities outstanding (USD bn),550.11
2012-04-01,UK,NFC debt securities outstanding (USD bn),547.85
2012-07-01,UK,NFC debt securities outstanding (USD bn),591.53
2012-10-01,UK,NFC debt securities outstanding (USD bn),578.86
2013-01-01,UK,NFC debt securities outstanding (USD bn),545.13
2013-04-01,UK,NFC debt securities outstanding (USD bn),572.61
2013-07-01,UK,NFC debt securities outstanding (USD bn),584.28
2013-10-01,UK,NFC debt securities outstanding (USD bn),608.41
2014-01-01,UK,NFC debt securities outstanding (USD bn),541.42
2014-04-01,UK,NFC debt securities outstanding (USD bn),566.38
2014-07-01,UK,NFC debt securities outstanding (USD bn),562.89
2014-10-01,UK,NFC debt securities outstanding (USD bn),555.74
2015-01-01,UK,NFC debt securities outstanding (USD bn),522.02
2015-04-01,UK,NFC debt securities outstanding (USD bn),529.65
2015-07-01,UK,NFC debt securities outstanding (USD bn),525.6
2015-10-01,UK,NFC debt securities outstanding (USD bn),513.86
2016-01-01,UK,NFC debt securities outstanding (USD bn),515.23
2016-04-01,UK,NFC debt securities outstanding (USD bn),529.03
2016-07-01,UK,NFC debt securities outstanding (USD bn),540.79
2016-10-01,UK,NFC debt securities outstanding (USD bn),483.26
2017-01-01,UK,NFC debt securities outstanding (USD bn),490.54
2017-04-01,UK,NFC debt securities outstanding (USD bn),504.19
2017-07-01,UK,NFC debt securities outstanding (USD bn),532.9
2017-10-01,UK,NFC debt securities outstanding (USD bn),548.45
2018-01-01,UK,NFC debt securities outstanding (USD bn),559.98
2018-04-01,UK,NFC debt securities outstanding (USD bn),540.03
2018-07-01,UK,NFC debt securities outstanding (USD bn),524.69
2018-10-01,UK,NFC debt securities outstanding (USD bn),513.99
2019-01-01,UK,NFC debt securities outstanding (USD bn),524.72
2019-04-01,UK,NFC debt securities outstanding (USD bn),520.61
2019-07-01,UK,NFC debt securities outstanding (USD bn),520.72
2019-10-01,UK,NFC debt securities outstanding (USD bn),553.72
2020-01-01,UK,NFC debt securities outstanding (USD bn),500.12
2020-04-01,UK,NFC debt securities outstanding (USD bn),558.23
2020-07-01,UK,NFC debt securities outstanding (USD bn),585.15
2020-10-01,UK,NFC debt securities outstanding (USD bn),634.08
2021-01-01,UK,NFC debt securities outstanding (USD bn),619.41
2021-04-01,UK,NFC debt securities outstanding (USD bn),624.55
2021-07-01,UK,NFC debt securities outstanding (USD bn),598.86
2021-10-01,UK,NFC debt securities outstanding (USD bn),590.83
2022-01-01,UK,NFC debt securities outstanding (USD bn),520.58
2022-04-01,UK,NFC debt securities outstanding (USD bn),444.76
2022-07-01,UK,NFC debt securities outstanding (USD bn),375.87
2022-10-01,UK,NFC debt securities outstanding (USD bn),415.89
1990-01-01,US,NFC debt securities outstanding (USD bn),1208.94
1990-04-01,US,NFC debt securities outstanding (USD bn),1228.36
1990-07-01,US,NFC debt securities outstanding (USD bn),1238.7
1990-10-01,US,NFC debt securities outstanding (USD bn),1240.17
1991-01-01,US,NFC debt securities outstanding (USD bn),1262.04
1991-04-01,US,NFC debt securities outstanding (USD bn),1286.44
1991-07-01,US,NFC debt securities outstanding (USD bn),1294.17
1991-10-01,US,NFC debt securities outstanding (USD bn),1299.4
1992-01-01,US,NFC debt securities outstanding (USD bn),1330.82
1992-04-01,US,NFC debt securities outstanding (USD bn),1352.58
1992-07-01,US,NFC debt securities outstanding (USD bn),1365.25
1992-10-01,US,NFC debt securities outstanding (USD bn),1379.89
1993-01-01,US,NFC debt securities outstanding (USD bn),1445.59
1993-04-01,US,NFC debt securities outstanding (USD bn),1503.58
1993-07-01,US,NFC debt securities outstanding (USD bn),1548.85
1993-10-01,US,NFC debt securities outstanding (USD bn),1580.57
1994-01-01,US,NFC debt securities outstanding (USD bn),1630.9
1994-04-01,US,NFC debt securities outstanding (USD bn),1661.48
1994-07-01,US,NFC debt securities outstanding (USD bn),1679.35
1994-10-01,US,NFC debt securities outstanding (USD bn),1699.39
1995-01-01,US,NFC debt securities outstanding (USD bn),1722.11
1995-04-01,US,NFC debt securities outstanding (USD bn),1761.21
1995-07-01,US,NFC debt securities outstanding (USD bn),1771.96
1995-10-01,US,NFC debt securities outstanding (USD bn),1785.2
1996-01-01,US,NFC debt securities outstanding (USD bn),1824.55
1996-04-01,US,NFC debt securities outstanding (USD bn),1860.53
1996-07-01,US,NFC debt securities outstanding (USD bn),1867.87
1996-10-01,US,NFC debt securities outstanding (USD bn),1875.82
1997-01-01,US,NFC debt securities outstanding (USD bn),1916.46
1997-04-01,US,NFC debt securities outstanding (USD bn),1963.63
1997-07-01,US,NFC debt securities outstanding (USD bn),2013.79
1997-10-01,US,NFC debt securities outstanding (USD bn),2020.82
1998-01-01,US,NFC debt securities outstanding (USD bn),2119.52
1998-04-01,US,NFC debt securities outstanding (USD bn),2213.62
1998-07-01,US,NFC debt securities outstanding (USD bn),2254.67
1998-10-01,US,NFC debt securities outstanding (USD bn),2266.24
1999-01-01,US,NFC debt securities outstanding (USD bn),2347.53
1999-04-01,US,NFC debt securities outstanding (USD bn),2419.65
1999-07-01,US,NFC debt securities outstanding (USD bn),2495.29
1999-10-01,US,NFC debt securities outstanding (USD bn),2511.14
2000-01-01,US,NFC debt securities outstanding (USD bn),2585.22
2000-04-01,US,NFC debt securities outstanding (USD bn),2652.87
2000-07-01,US,NFC debt securities outstanding (USD bn),2702.93
2000-10-01,US,NFC debt securities outstanding (USD bn),2700.03
2001-01-01,US,NFC debt securities outstanding (USD bn),2756.44
2001-04-01,US,NFC debt securities outstanding (USD bn),2849.84
2001-07-01,US,NFC debt securities outstanding (USD bn),2867.4
2001-10-01,US,NFC debt securities outstanding (USD bn),2899.08
2002-01-01,US,NFC debt securities outstanding (USD bn),2925.23
2002-04-01,US,NFC debt securities outstanding (USD bn),2935.45
