Year,Unemployment,UE Source,Inflation,Inflation Source
1996,0.054083333,BLS,0.029,Consumer Price Index for all Urban Consumers (CPI-U)
1997,0.049416667,BLS,0.023,Consumer Price Index for all Urban Consumers (CPI-U)
1998,0.045,BLS,0.016,Consumer Price Index for all Urban Consumers (CPI-U)
1999,0.042166667,BLS,0.022,Consumer Price Index for all Urban Consumers (CPI-U)
2000,0.039666667,BLS,0.034,Consumer Price Index for all Urban Consumers (CPI-U)
2001,0.047416667,BLS,0.028,Consumer Price Index for all Urban Consumers (CPI-U)
2002,0.057833333,BLS,0.016,Consumer Price Index for all Urban Consumers (CPI-U)
2003,0.059916667,BLS,0.023,Consumer Price Index for all Urban Consumers (CPI-U)
2004,0.055416667,BLS,0.027,Consumer Price Index for all Urban Consumers (CPI-U)
2005,0.050833333,BLS,0.034,Consumer Price Index for all Urban Consumers (CPI-U)
2006,0.046083333,BLS,0.032,Consumer Price Index for all Urban Consumers (CPI-U)
2007,0.046166667,BLS,0.029,Consumer Price Index for all Urban Consumers (CPI-U)
2008,0.058,BLS,0.038,Consumer Price Index for all Urban Consumers (CPI-U)
2009,0.092833333,BLS,-0.004,Consumer Price Index for all Urban Consumers (CPI-U)
2010,0.096083333,BLS,0.016,Consumer Price Index for all Urban Consumers (CPI-U)
2011,0.089333333,BLS,0.032,Consumer Price Index for all Urban Consumers (CPI-U)
2012,0.08075,BLS,0.021,Consumer Price Index for all Urban Consumers (CPI-U)
2013,0.073583333,BLS,0.015,Consumer Price Index for all Urban Consumers (CPI-U)
2014,0.061583333,BLS,0.016,Consumer Price Index for all Urban Consumers (CPI-U)
2015,0.05275,BLS,0.001,Consumer Price Index for all Urban Consumers (CPI-U)
2016,0.04875,BLS,0.013,Consumer Price Index for all Urban Consumers (CPI-U)
2017,0.043583333,BLS,0.021,Consumer Price Index for all Urban Consumers (CPI-U)
2018,0.038916667,BLS,0.024,Consumer Price Index for all Urban Consumers (CPI-U)
2019,0.036833333,BLS,0.018,Consumer Price Index for all Urban Consumers (CPI-U)
2020,0.080916667,BLS,0.012,Consumer Price Index for all Urban Consumers (CPI-U)
2021,0.053666667,BLS,0.047,Consumer Price Index for all Urban Consumers (CPI-U)
2022,0.036416667,BLS,0.08,Consumer Price Index for all Urban Consumers (CPI-U)
2023,0.035333333,BLS,0.058,Consumer Price Index for all Urban Consumers (CPI-U)
