index,label
S0506_C01_121E,"Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family"
S0804_C04_064E,Public transportation (excluding taxicab)!!Workers 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business
S0503_C02_074E,"Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
S2101_C06_004E,Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!Vietnam era veterans
S0506_C01_122E,"Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family!!With related children of the householder under 18 years"
S0506_C01_123E,"Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family!!With related children of the householder under 5 years only"
S2603_C07_079E,Military quarters/military ships!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea!!Latin America
S0503_C02_073E,"Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
S2101_C06_003E,Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!Gulf War (8/1990 to 8/2001) veterans
S0804_C04_063E,Public transportation (excluding taxicab)!!Workers 16 years and over!!CLASS OF WORKER!!Government workers
S0506_C01_124E,Total!!Occupied housing units
S0804_C04_066E,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home
S2101_C06_002E,Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!Gulf War (9/2001 or later) veterans
S0503_C02_072E,"Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
S0804_C04_065E,Public transportation (excluding taxicab)!!Workers 16 years and over!!CLASS OF WORKER!!Unpaid family workers
S0506_C01_125E,Total!!Occupied housing units!!HOUSING TENURE!!Owner-occupied housing units
S1902_C02_028E,"Percent Distribution!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
S2101_C06_001E,Percent Nonveterans!!Civilian population 18 years and over
S0503_C02_071E,Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Sales and office occupations
S0102_C02_046E,60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over
S2101_C06_008E,Percent Nonveterans!!Civilian population 18 years and over!!SEX!!Female
S0503_C02_070E,Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations
S0102_C02_047E,60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house
S2602_C04_079E,Nursing facilities/skilled nursing facilities!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force
S2101_C06_007E,Percent Nonveterans!!Civilian population 18 years and over!!SEX!!Male
S0102_C02_044E,60 years and over!!DISABILITY STATUS!!Civilian noninstitutionalized population!!With any disability
S2603_C07_070E,"Military quarters/military ships!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen"
S2101_C06_006E,Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!World War II veterans
S1811_C02_018E,"With a Disability!!Employed Population Age 16 and Over!!OCCUPATION!!Production, transportation, and material moving occupations"
S0102_C02_045E,60 years and over!!DISABILITY STATUS!!Civilian noninstitutionalized population!!No disability
S2101_C06_005E,Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!Korean War veterans
S1811_C02_019E,"With a Disability!!Employed Population Age 16 and Over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
S1201_C03_004E,Widowed!!Population 15 years and over!!AGE AND SEX!!Males 15 years and over!!20 to 34 years
S2602_C04_076E,"Nursing facilities/skilled nursing facilities!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than ""very well"""
S0102_C02_042E,60 years and over!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veteran
S2603_C07_072E,"Military quarters/military ships!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen!!Female"
S0102PR_C02_012E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races
S2801_C02_031E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription"
S1811_C02_016E,With a Disability!!Employed Population Age 16 and Over!!OCCUPATION!!Sales and office occupations
S1201_C03_003E,Widowed!!Population 15 years and over!!AGE AND SEX!!Males 15 years and over!!15 to 19 years
S2602_C04_075E,Nursing facilities/skilled nursing facilities!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English
S0102_C02_043E,60 years and over!!DISABILITY STATUS!!Civilian noninstitutionalized population
S0102PR_C02_013E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)
S2603_C07_071E,"Military quarters/military ships!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen!!Male"
S2801_C02_030E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription"
S1811_C02_017E,"With a Disability!!Employed Population Age 16 and Over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
S1201_C03_002E,Widowed!!Population 15 years and over!!AGE AND SEX!!Males 15 years and over
S1811_C02_014E,"With a Disability!!Employed Population Age 16 and Over!!OCCUPATION!!Management, business, science, and arts occupations"
S0102_C02_040E,60 years and over!!RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over!!Living with grandchild(ren)!!Responsible for grandchild(ren)
S2602_C04_078E,Nursing facilities/skilled nursing facilities!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force
S0102PR_C02_010E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander
S2603_C07_074E,"Military quarters/military ships!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered 2000 to 2009"
S1811_C02_015E,With a Disability!!Employed Population Age 16 and Over!!OCCUPATION!!Service occupations
S1201_C03_001E,Widowed!!Population 15 years and over
S2101_C06_009E,Percent Nonveterans!!Civilian population 18 years and over!!AGE!!18 to 34 years
S2602_C04_077E,Nursing facilities/skilled nursing facilities!!EMPLOYMENT STATUS!!Population 16 years and over
S0102_C02_041E,60 years and over!!VETERAN STATUS!!Civilian population 18 years and over
S0102PR_C02_011E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race
S2603_C07_073E,"Military quarters/military ships!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered 2010 or later"
S1811_C02_024E,"With a Disability!!Employed Population Age 16 and Over!!INDUSTRY!!Transportation and warehousing, and utilities"
S1201_C03_008E,Widowed!!Population 15 years and over!!AGE AND SEX!!Males 15 years and over!!65 years and over
S2602_C04_072E,"Nursing facilities/skilled nursing facilities!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen!!Female"
S0102PR_C02_004E,60 years and over!!Total population!!SEX AND AGE!!Median age (years)
S2704_C01_024E,Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years
S2501_C03_036E,Owner-occupied housing units!!Occupied housing units!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!With related children of householder under 18 years!!With own children of householder under 18 years!!6 to 17 years only
S1811_C02_025E,With a Disability!!Employed Population Age 16 and Over!!INDUSTRY!!Information
S1201_C03_007E,Widowed!!Population 15 years and over!!AGE AND SEX!!Males 15 years and over!!55 to 64 years
S2602_C04_071E,"Nursing facilities/skilled nursing facilities!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen!!Male"
S2704_C01_023E,Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years
S0102PR_C02_005E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race
S2702PR_C02_105E,Total Uninsured!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!At or above 300 percent of the poverty level
S2501_C03_037E,Owner-occupied housing units!!Occupied housing units!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!With related children of householder under 18 years!!No own children of householder under 18 years
S1811_C02_022E,With a Disability!!Employed Population Age 16 and Over!!INDUSTRY!!Wholesale trade
S1201_C03_006E,Widowed!!Population 15 years and over!!AGE AND SEX!!Males 15 years and over!!45 to 54 years
S2602_C04_074E,Nursing facilities/skilled nursing facilities!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only
S0102PR_C02_002E,60 years and over!!Total population!!SEX AND AGE!!Male
S2704_C01_022E,Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years
S2501_C03_038E,Owner-occupied housing units!!Occupied housing units!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!No related children of householder under 18 years
S1811_C02_023E,With a Disability!!Employed Population Age 16 and Over!!INDUSTRY!!Retail trade
S1201_C03_005E,Widowed!!Population 15 years and over!!AGE AND SEX!!Males 15 years and over!!35 to 44 years
S2602_C04_073E,Nursing facilities/skilled nursing facilities!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over
S2704_C01_021E,Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years
S0102PR_C02_003E,60 years and over!!Total population!!SEX AND AGE!!Female
S1811_C02_020E,With a Disability!!Employed Population Age 16 and Over!!INDUSTRY!!Construction
S0102PR_C02_008E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native
S2704_C01_020E,Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years
S1811_C02_021E,With a Disability!!Employed Population Age 16 and Over!!INDUSTRY!!Manufacturing
S0102PR_C02_009E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian
S0102_C02_048E,60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States
S2602_C04_070E,"Nursing facilities/skilled nursing facilities!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen"
S0701PR_C01_030E,"Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
S0102PR_C02_006E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White
S0102_C02_049E,60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Same county
S0701PR_C01_031E,Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated
S0102PR_C02_007E,60 years and over!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American
S1201_C03_009E,Widowed!!Population 15 years and over!!AGE AND SEX!!Females 15 years and over
S0701PR_C01_032E,Total!!MARITAL STATUS!!Population 15 years and over!!Widowed
S0506_C01_114E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 200 percent of the poverty level
S0804_C04_060E,Public transportation (excluding taxicab)!!Workers 16 years and over!!INDUSTRY!!Public administration
S0701PR_C01_033E,Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
S0506_C01_115E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families
S2702PR_C02_100E,Total Uninsured!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!Below 50 percent of the poverty level
S0701PR_C01_034E,Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate
S2801_C02_029E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone"
S0506_C01_116E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children of the householder under 18 years
S0804_C04_062E,Public transportation (excluding taxicab)!!Workers 16 years and over!!CLASS OF WORKER!!Private wage and salary workers
S2801_C02_028E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:"
S0701PR_C01_035E,Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
S0506_C01_117E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children of the householder under 5 years only
S2704_C01_029E,Total!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone
S0804_C04_061E,Public transportation (excluding taxicab)!!Workers 16 years and over!!INDUSTRY!!Armed forces
S0506_C01_118E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family
S2704_C01_028E,Total!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone
S0701PR_C01_036E,Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree
S2702PR_C02_102E,Total Uninsured!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!100 to 149 percent of the poverty level
S2702PR_C02_101E,Total Uninsured!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!50 to 99 percent of the poverty level
S0506_C01_119E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children of the householder under 18 years
S2704_C01_027E,Total!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone
S0503_C02_069E,"Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
S0701PR_C01_037E,Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
S2704_C01_026E,Total!!COVERAGE ALONE!!Public health insurance alone
S0503_C02_068E,Foreign born; Born in Europe!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Unpaid family workers
S2702PR_C02_104E,Total Uninsured!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!200 to 299 percent of the poverty level
S0701PR_C01_038E,Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
S2704_C01_025E,Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over
S0503_C02_067E,Foreign born; Born in Europe!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business
S2702PR_C02_103E,Total Uninsured!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!150 to 199 percent of the poverty level
S0701PR_C01_039E,Total!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over
S2603_C07_088E,Military quarters/military ships!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed
S0102_C02_050E,60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county
S2101_C06_012E,Percent Nonveterans!!Civilian population 18 years and over!!AGE!!65 to 74 years
S2404_C02_025E,"Male!!Full-time, year-round civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
S1501_C02_007E,Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
S2201_C04_037E,Percent households receiving food stamps/SNAP!!WORK STATUS!!Families!!1 worker in past 12 months
S2801_C02_023E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!Without an Internet subscription"
S0701PR_C01_016E,Total!!Population 1 year and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American
S0804_C04_079E,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes
S0102_C02_051E,60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county!!Same state
S2101_C06_011E,Percent Nonveterans!!Civilian population 18 years and over!!AGE!!55 to 64 years
S0503_C02_089E,"Foreign born; Born in Europe!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999"
S2404_C02_026E,"Male!!Full-time, year-round civilian employed population 16 years and over!!Other services, except public administration"
S2603_C07_087E,Military quarters/military ships!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force
S1501_C02_008E,"Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
S2801_C02_022E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With a broadband Internet subscription"
S2201_C04_036E,Percent households receiving food stamps/SNAP!!WORK STATUS!!Families!!No workers in past 12 months
S0701PR_C01_017E,Total!!Population 1 year and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native
S1501_C02_005E,Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher
S2404_C02_027E,"Male!!Full-time, year-round civilian employed population 16 years and over!!Public administration"
S0503_C02_088E,"Foreign born; Born in Europe!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$1 to $9,999 or loss"
S0701PR_C01_018E,Total!!Population 1 year and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian
S2801_C02_021E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With dial-up Internet subscription alone"
S2101_C06_010E,Percent Nonveterans!!Civilian population 18 years and over!!AGE!!35 to 54 years
S1501_C02_006E,Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over
S2603_C07_089E,Military quarters/military ships!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed
S0503_C02_087E,"Foreign born; Born in Europe!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings"
S0701PR_C01_019E,Total!!Population 1 year and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander
S2801_C02_020E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:"
S2201_C04_038E,Percent households receiving food stamps/SNAP!!WORK STATUS!!Families!!2 or more workers in past 12 months
S0804_C04_076E,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!9:00 a.m. to 11:59 p.m.
S2801_C02_027E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription"
S1501_C02_003E,Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)
S1902_C02_019E,Percent Distribution!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population
S2404_C02_021E,"Male!!Full-time, year-round civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
S0503_C02_086E,Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Public administration
S2101_C06_016E,Percent Nonveterans!!Civilian population 18 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone
S2201_C04_033E,"Percent households receiving food stamps/SNAP!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino"
S2701_C04_002E,Uninsured!!Civilian noninstitutionalized population!!AGE!!Under 6 years
S0506_C01_110E,Total!!INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Average number of workers per household
S0804_C04_075E,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!8:30 a.m. to 8:59 a.m.
S1501_C02_004E,Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree
S1902_C02_018E,"Percent Distribution!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other"
S0503_C02_085E,Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Other services (except public administration)
S2404_C02_022E,"Male!!Full-time, year-round civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
S2701_C04_001E,Uninsured!!Civilian noninstitutionalized population
S2101_C06_015E,Percent Nonveterans!!Civilian population 18 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone
S2201_C04_032E,Percent households receiving food stamps/SNAP!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin (of any race)
S0506_C01_111E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined
S2801_C02_026E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription"
S0506_C01_112E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level
S0804_C04_078E,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes
S1501_C02_001E,Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years
S2701_C04_004E,Uninsured!!Civilian noninstitutionalized population!!AGE!!19 to 25 years
S1902_C02_017E,"Percent Distribution!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked"
S2404_C02_023E,"Male!!Full-time, year-round civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
S0503_C02_084E,"Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
S2101_C06_014E,Percent Nonveterans!!Civilian population 18 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone
S2201_C04_035E,Percent households receiving food stamps/SNAP!!WORK STATUS!!Families
S2801_C02_025E,"Percent!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone"
S0506_C01_113E,Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 199 percent of the poverty level
S1501_C02_002E,Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate
S0804_C04_077E,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes
S1902_C02_016E,"Percent Distribution!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other"
S2101_C06_013E,Percent Nonveterans!!Civilian population 18 years and over!!AGE!!75 years and over
S2701_C04_003E,Uninsured!!Civilian noninstitutionalized population!!AGE!!6 to 18 years
S2404_C02_024E,"Male!!Full-time, year-round civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
S2201_C04_034E,Percent households receiving food stamps/SNAP!!Households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median income (dollars)
