GSScode,winner_2019
E14001513,Con
E14001514,Con
E14001515,Lab
E14001516,Con
S14000105,SNP
E14001517,Lab
E14001518,Lab
E14001519,Con
E14001520,Con
E14001521,Con
E14001522,Con
E14001523,Con
E14001524,Con
N05000016,DUP
E14001525,Lab
E14001526,Con
E14001527,Lab
E14001528,Lab
E14001529,Con
E14001156,Con
E14001530,Con
E14001494,Con
E14001578,Con
E14001531,Lab
E14001215,Con
E14001532,Con
E14001366,Con
E14001533,Con
E14001534,Con
E14001535,Con
W07000108,Lab
E14001536,Con
E14001537,Con
E14001538,Con
E14001539,Con
E14001540,Con
E14001541,Con
E14001542,Con
E14001216,Con
E14001544,Con
E14001545,Con
E14001546,Con
E14001547,Con
E14001548,Con
E14001549,Con
E14001550,Lab
E14001551,Con
W07000109,Lab
E14001552,Con
E14001553,Lab
E14001554,Con
E14001555,Con
E14001556,LD
E14001557,Lab
N05000018,SF
N05000010,SF
N05000017,DUP
E14001558,Con
W07000110,Con
E14001559,Lab
E14001560,Con
E14001561,Lab
E14001562,Con
E14001563,Lab
E14001564,Lab
E14001565,Lab
E14001566,Lab
E14001400,Con
E14001567,Lab
E14001568,Con
E14001569,Con
E14001570,Con
E14001571,Con
E14001572,Con
E14001573,Con
E14001574,Con
E14001576,Lab
E14001580,Con
E14001581,Con
E14001582,Con
E14001583,Con
E14001584,Lab
E14001585,Lab
E14001217,Con
E14001498,Con
E14001586,Con
E14001587,Con
E14001588,Con
E14001589,Lab
E14001590,Con
E14001591,Con
E14001592,Con
E14001593,Con
E14001594,Con
E14001595,Lab
E14001596,Con
E14001597,Con
E14001579,Con
E14001598,Lab
E14001218,Con
E14001599,Con
E14001543,Con
W07000111,Con
E14001600,Con
E14001601,Con
E14001602,Lab
E14001603,Con
W07000112,Con
E14001604,Lab
E14001605,Con
