iso,year,gdp_pc_ppp
PER,2003,8174.37942683849
PER,2004,8495.986392858
PER,2005,8949.95442691077
PER,2006,9547.91327762554
PER,2007,10286.3548193625
PER,2008,11151.530521564
PER,2009,11204.3768755244
PER,2010,12059.0180183322
PER,2011,12726.5999815198
PER,2012,13395.3993805891
PER,2013,14052.1376191683
PER,2014,14244.5660212948
PER,2015,14542.7930911313
PER,2016,14917.4489473588
PER,2017,15069.5221084659
PER,2018,15386.2601642505
PER,2019,15463.5432397882
PER,2020,13609.5999609595
PER,2021,15280.5512106486
PER,2022,15559.821643644
PER,2023,15327.5819994558
PER,2024,15661.7497711956
PER,2025,
PER,2026,
PER,2027,
PER,2028,
PHL,2000,4740.43891694569
PHL,2001,4778.4008437474
PHL,2002,4856.49948429567
PHL,2003,5003.38317718716
PHL,2004,5229.45080700165
PHL,2005,5386.81653712891
PHL,2006,5578.57225112139
PHL,2007,5840.06810169965
PHL,2008,5987.03757861835
PHL,2009,5965.30730902221
PHL,2010,6273.03927731515
PHL,2011,6388.31296959977
PHL,2012,6697.55620962768
PHL,2013,7016.53846470436
PHL,2014,7340.361585912
PHL,2015,7691.76308685047
PHL,2016,8131.82537948653
PHL,2017,8584.13622709699
PHL,2018,9016.28659637608
PHL,2019,9452.2939715981
PHL,2020,8455.18457134106
PHL,2021,8857.78995115514
PHL,2022,9457.103954028828
PHL,2023,9898.53294588746
PHL,2024,10375.9404179938
PHL,2025,
PHL,2026,
PHL,2027,
PHL,2028,
THA,2000,11622.5250278537
THA,2001,11901.3182104659
THA,2002,12512.1831324963
THA,2003,13287.3048987459
THA,2004,13997.0013867292
THA,2005,14458.2551810694
THA,2006,15051.0606748719
THA,2007,15742.6552891781
THA,2008,15891.7823409885
THA,2009,15665.9031153449
THA,2010,16730.3697884488
THA,2011,16766.3477057883
THA,2012,17869.6376607459
THA,2013,18242.4256715363
THA,2014,18324.6144674875
THA,2015,18811.9975100064
THA,2016,19370.6087810117
THA,2017,20094.6778762603
THA,2018,20879.9027821449
THA,2019,21277.8392684764
THA,2020,19957.257140917
THA,2021,20242.7700035656
THA,2022,20762.7952598527
THA,2023,21191.4540309274
THA,2024,21737.1779720129
THA,2025,
THA,2026,
THA,2027,
THA,2028,
USA,2000,55038.6224973696
USA,2001,55017.3049765671
USA,2002,55436.1169800356
USA,2003,56498.2078312289
USA,2004,58131.6336843365
USA,2005,59604.7536363553
USA,2006,60676.5655689312
USA,2007,61306.596939243
USA,2008,60798.4338397205
USA,2009,58714.9736895542
USA,2010,59789.4129077609
USA,2011,60245.4843989068
USA,2012,61134.5306079914
USA,2013,61958.7234408783
USA,2014,63018.8033934414
USA,2015,64359.4725898758
USA,2016,65017.6549627249
USA,2017,66155.5555685457
USA,2018,67719.7656402495
USA,2019,69112.6026870666
USA,2020,67342.0709283912
USA,2021,71307.4017277218
USA,2022,72679.2575396157
USA,2023,74158.716416669
USA,2024,75491.6084348903
USA,2025,
USA,2026,
USA,2027,
USA,2028,
VNM,2000,4349.22348751462
VNM,2001,4570.26846577385
VNM,2002,4809.62151118535
VNM,2003,5090.28990869885
VNM,2004,5421.09702829121
VNM,2005,5776.36304451268
VNM,2006,6098.24495436514
VNM,2007,6418.54381402878
VNM,2008,6659.13561432065
VNM,2009,6914.33863589545
VNM,2010,7274.73310698016
VNM,2011,7652.61895672271
VNM,2012,7979.86828926858
VNM,2013,8324.19871250047
VNM,2014,8751.88280634375
VNM,2015,9248.02396069622
VNM,2016,9743.1882231455
VNM,2017,10290.5487142244
VNM,2018,10936.8937859558
VNM,2019,11628.6139147451
VNM,2020,11851.3965685649
VNM,2021,12048.9019935536
VNM,2022,12979.7639049934
VNM,2023,13545.9346616752
VNM,2024,14415.2159532813
VNM,2025,
VNM,2026,
VNM,2027,
VNM,2028,
