,Country,Year,Gini,rank,Gini_2021
252,Germany,1980,0.4,1.0,0.49
253,Germany,1981,0.4,1.0,0.49
254,Germany,1982,0.4,1.0,0.49
255,Germany,1983,0.4,1.0,0.49
256,Germany,1984,0.4,1.0,0.49
257,Germany,1985,0.4,1.0,0.49
258,Germany,1986,0.4,1.0,0.49
259,Germany,1987,0.41,1.0,0.49
260,Germany,1988,0.43,1.0,0.49
261,Germany,1989,0.44,1.0,0.49
262,Germany,1990,0.44,1.0,0.49
263,Germany,1991,0.43,1.0,0.49
264,Germany,1992,0.42,1.0,0.49
265,Germany,1993,0.41,1.0,0.49
266,Germany,1994,0.41,1.0,0.49
267,Germany,1995,0.41,1.0,0.49
268,Germany,1996,0.42,1.0,0.49
269,Germany,1997,0.43,1.0,0.49
270,Germany,1998,0.44,1.0,0.49
271,Germany,1999,0.44,1.0,0.49
272,Germany,2000,0.44,1.0,0.49
273,Germany,2001,0.44,1.0,0.49
274,Germany,2002,0.44,1.0,0.49
275,Germany,2003,0.43,1.0,0.49
276,Germany,2004,0.44,1.0,0.49
277,Germany,2005,0.47,1.0,0.49
278,Germany,2006,0.47,1.0,0.49
279,Germany,2007,0.48,1.0,0.49
280,Germany,2008,0.48,1.0,0.49
281,Germany,2009,0.49,1.0,0.49
282,Germany,2010,0.48,1.0,0.49
283,Germany,2011,0.48,1.0,0.49
284,Germany,2012,0.48,1.0,0.49
285,Germany,2013,0.5,1.0,0.49
286,Germany,2014,0.5,1.0,0.49
287,Germany,2015,0.5,1.0,0.49
288,Germany,2016,0.5,1.0,0.49
289,Germany,2017,0.49,1.0,0.49
290,Germany,2018,0.49,1.0,0.49
291,Germany,2019,0.49,1.0,0.49
292,Germany,2020,0.49,1.0,0.49
293,Germany,2021,0.49,1.0,0.49
294,India,1980,0.44,18.0,0.63
295,India,1981,0.43,18.0,0.63
296,India,1982,0.43,18.0,0.63
297,India,1983,0.47,18.0,0.63
298,India,1984,0.46,18.0,0.63
299,India,1985,0.47,18.0,0.63
300,India,1986,0.47,18.0,0.63
301,India,1987,0.47,18.0,0.63
302,India,1988,0.48,18.0,0.63
303,India,1989,0.48,18.0,0.63
304,India,1990,0.46,18.0,0.63
305,India,1991,0.46,18.0,0.63
306,India,1992,0.47,18.0,0.63
307,India,1993,0.49,18.0,0.63
308,India,1994,0.5,18.0,0.63
309,India,1995,0.5,18.0,0.63
310,India,1996,0.49,18.0,0.63
311,India,1997,0.5,18.0,0.63
312,India,1998,0.5,18.0,0.63
313,India,1999,0.51,18.0,0.63
314,India,2000,0.51,18.0,0.63
315,India,2001,0.52,18.0,0.63
316,India,2002,0.53,18.0,0.63
317,India,2003,0.54,18.0,0.63
318,India,2004,0.55,18.0,0.63
319,India,2005,0.56,18.0,0.63
320,India,2006,0.57,18.0,0.63
321,India,2007,0.58,18.0,0.63
322,India,2008,0.59,18.0,0.63
323,India,2009,0.63,18.0,0.63
324,India,2010,0.61,18.0,0.63
325,India,2011,0.62,18.0,0.63
326,India,2012,0.63,18.0,0.63
327,India,2013,0.63,18.0,0.63
328,India,2014,0.63,18.0,0.63
329,India,2015,0.63,18.0,0.63
330,India,2016,0.63,18.0,0.63
331,India,2017,0.63,18.0,0.63
332,India,2018,0.63,18.0,0.63
333,India,2019,0.63,18.0,0.63
334,India,2020,0.63,18.0,0.63
335,India,2021,0.63,18.0,0.63
336,Indonesia,1980,0.53,14.0,0.6
337,Indonesia,1981,0.53,14.0,0.6
338,Indonesia,1982,0.53,14.0,0.6
339,Indonesia,1983,0.53,14.0,0.6
340,Indonesia,1984,0.53,14.0,0.6
341,Indonesia,1985,0.54,14.0,0.6
342,Indonesia,1986,0.55,14.0,0.6
343,Indonesia,1987,0.56,14.0,0.6
344,Indonesia,1988,0.56,14.0,0.6
345,Indonesia,1989,0.57,14.0,0.6
346,Indonesia,1990,0.57,14.0,0.6
347,Indonesia,1991,0.57,14.0,0.6
348,Indonesia,1992,0.58,14.0,0.6
349,Indonesia,1993,0.58,14.0,0.6
350,Indonesia,1994,0.59,14.0,0.6
351,Indonesia,1995,0.59,14.0,0.6
352,Indonesia,1996,0.6,14.0,0.6
353,Indonesia,1997,0.56,14.0,0.6
354,Indonesia,1998,0.51,14.0,0.6
355,Indonesia,1999,0.5,14.0,0.6
356,Indonesia,2000,0.5,14.0,0.6
357,Indonesia,2001,0.51,14.0,0.6
358,Indonesia,2002,0.52,14.0,0.6
359,Indonesia,2003,0.52,14.0,0.6
360,Indonesia,2004,0.53,14.0,0.6
361,Indonesia,2005,0.54,14.0,0.6
362,Indonesia,2006,0.53,14.0,0.6
363,Indonesia,2007,0.54,14.0,0.6
364,Indonesia,2008,0.59,14.0,0.6
365,Indonesia,2009,0.6,14.0,0.6
366,Indonesia,2010,0.56,14.0,0.6
367,Indonesia,2011,0.57,14.0,0.6
368,Indonesia,2012,0.56,14.0,0.6
369,Indonesia,2013,0.56,14.0,0.6
370,Indonesia,2014,0.55,14.0,0.6
371,Indonesia,2015,0.57,14.0,0.6
372,Indonesia,2016,0.55,14.0,0.6
373,Indonesia,2017,0.54,14.0,0.6
374,Indonesia,2018,0.6,14.0,0.6
375,Indonesia,2019,0.6,14.0,0.6
376,Indonesia,2020,0.6,14.0,0.6
377,Indonesia,2021,0.6,14.0,0.6
378,Iran,1980,0.66,17.0,0.61
379,Iran,1981,0.66,17.0,0.61
380,Iran,1982,0.66,17.0,0.61
381,Iran,1983,0.66,17.0,0.61
382,Iran,1984,0.66,17.0,0.61
383,Iran,1985,0.66,17.0,0.61
384,Iran,1986,0.66,17.0,0.61
385,Iran,1987,0.65,17.0,0.61
386,Iran,1988,0.64,17.0,0.61
387,Iran,1989,0.63,17.0,0.61
388,Iran,1990,0.63,17.0,0.61
389,Iran,1991,0.63,17.0,0.61
390,Iran,1992,0.62,17.0,0.61
391,Iran,1993,0.62,17.0,0.61
392,Iran,1994,0.62,17.0,0.61
393,Iran,1995,0.63,17.0,0.61
394,Iran,1996,0.63,17.0,0.61
395,Iran,1997,0.63,17.0,0.61
396,Iran,1998,0.63,17.0,0.61
397,Iran,1999,0.63,17.0,0.61
398,Iran,2000,0.63,17.0,0.61
399,Iran,2001,0.63,17.0,0.61
400,Iran,2002,0.63,17.0,0.61
401,Iran,2003,0.63,17.0,0.61
402,Iran,2004,0.63,17.0,0.61
403,Iran,2005,0.63,17.0,0.61
404,Iran,2006,0.64,17.0,0.61
405,Iran,2007,0.63,17.0,0.61
406,Iran,2008,0.62,17.0,0.61
407,Iran,2009,0.61,17.0,0.61
408,Iran,2010,0.61,17.0,0.61
409,Iran,2011,0.6,17.0,0.61
410,Iran,2012,0.59,17.0,0.61
411,Iran,2013,0.58,17.0,0.61
412,Iran,2014,0.59,17.0,0.61
413,Iran,2015,0.59,17.0,0.61
414,Iran,2016,0.59,17.0,0.61
415,Iran,2017,0.6,17.0,0.61
416,Iran,2018,0.61,17.0,0.61
417,Iran,2019,0.61,17.0,0.61
418,Iran,2020,0.61,17.0,0.61
419,Iran,2021,0.61,17.0,0.61
420,Japan,1980,0.48,4.0,0.54
421,Japan,1981,0.47,4.0,0.54
422,Japan,1982,0.47,4.0,0.54
423,Japan,1983,0.47,4.0,0.54
424,Japan,1984,0.47,4.0,0.54
425,Japan,1985,0.48,4.0,0.54
426,Japan,1986,0.49,4.0,0.54
427,Japan,1987,0.5,4.0,0.54
428,Japan,1988,0.51,4.0,0.54
429,Japan,1989,0.52,4.0,0.54
430,Japan,1990,0.52,4.0,0.54
431,Japan,1991,0.51,4.0,0.54
432,Japan,1992,0.47,4.0,0.54
433,Japan,1993,0.48,4.0,0.54
434,Japan,1994,0.48,4.0,0.54
435,Japan,1995,0.49,4.0,0.54
436,Japan,1996,0.5,4.0,0.54
437,Japan,1997,0.5,4.0,0.54
438,Japan,1998,0.5,4.0,0.54
439,Japan,1999,0.51,4.0,0.54
440,Japan,2000,0.52,4.0,0.54
441,Japan,2001,0.53,4.0,0.54
442,Japan,2002,0.54,4.0,0.54
443,Japan,2003,0.54,4.0,0.54
444,Japan,2004,0.55,4.0,0.54
445,Japan,2005,0.55,4.0,0.54
446,Japan,2006,0.55,4.0,0.54
447,Japan,2007,0.56,4.0,0.54
448,Japan,2008,0.55,4.0,0.54
449,Japan,2009,0.54,4.0,0.54
450,Japan,2010,0.54,4.0,0.54
451,Japan,2011,0.54,4.0,0.54
452,Japan,2012,0.54,4.0,0.54
453,Japan,2013,0.54,4.0,0.54
454,Japan,2014,0.54,4.0,0.54
455,Japan,2015,0.54,4.0,0.54
456,Japan,2016,0.54,4.0,0.54
457,Japan,2017,0.54,4.0,0.54
458,Japan,2018,0.54,4.0,0.54
459,Japan,2019,0.54,4.0,0.54
460,Japan,2020,0.54,4.0,0.54
461,Japan,2021,0.54,4.0,0.54
462,Mexico,1980,0.69,20.0,0.75
463,Mexico,1981,0.69,20.0,0.75
464,Mexico,1982,0.69,20.0,0.75
465,Mexico,1983,0.69,20.0,0.75
466,Mexico,1984,0.69,20.0,0.75
467,Mexico,1985,0.69,20.0,0.75
468,Mexico,1986,0.69,20.0,0.75
469,Mexico,1987,0.69,20.0,0.75
470,Mexico,1988,0.69,20.0,0.75
471,Mexico,1989,0.69,20.0,0.75
472,Mexico,1990,0.69,20.0,0.75
473,Mexico,1991,0.69,20.0,0.75
474,Mexico,1992,0.69,20.0,0.75
475,Mexico,1993,0.69,20.0,0.75
476,Mexico,1994,0.69,20.0,0.75
477,Mexico,1995,0.69,20.0,0.75
478,Mexico,1996,0.69,20.0,0.75
479,Mexico,1997,0.69,20.0,0.75
480,Mexico,1998,0.69,20.0,0.75
481,Mexico,1999,0.69,20.0,0.75
482,Mexico,2000,0.69,20.0,0.75
483,Mexico,2001,0.69,20.0,0.75
484,Mexico,2002,0.69,20.0,0.75
485,Mexico,2003,0.71,20.0,0.75
486,Mexico,2004,0.72,20.0,0.75
487,Mexico,2005,0.72,20.0,0.75
488,Mexico,2006,0.72,20.0,0.75
489,Mexico,2007,0.74,20.0,0.75
490,Mexico,2008,0.75,20.0,0.75
491,Mexico,2009,0.75,20.0,0.75
492,Mexico,2010,0.74,20.0,0.75
493,Mexico,2011,0.75,20.0,0.75
494,Mexico,2012,0.75,20.0,0.75
495,Mexico,2013,0.75,20.0,0.75
496,Mexico,2014,0.75,20.0,0.75
497,Mexico,2015,0.74,20.0,0.75
498,Mexico,2016,0.74,20.0,0.75
499,Mexico,2017,0.74,20.0,0.75
500,Mexico,2018,0.75,20.0,0.75
501,Mexico,2019,0.75,20.0,0.75
502,Mexico,2020,0.75,20.0,0.75
503,Mexico,2021,0.75,20.0,0.75
504,Nigeria,1980,0.57,5.0,0.55
505,Nigeria,1981,0.57,5.0,0.55
506,Nigeria,1982,0.57,5.0,0.55
507,Nigeria,1983,0.57,5.0,0.55
508,Nigeria,1984,0.57,5.0,0.55
509,Nigeria,1985,0.57,5.0,0.55
510,Nigeria,1986,0.57,5.0,0.55
511,Nigeria,1987,0.58,5.0,0.55
512,Nigeria,1988,0.58,5.0,0.55
513,Nigeria,1989,0.59,5.0,0.55
514,Nigeria,1990,0.59,5.0,0.55
515,Nigeria,1991,0.6,5.0,0.55
516,Nigeria,1992,0.6,5.0,0.55
517,Nigeria,1993,0.6,5.0,0.55
518,Nigeria,1994,0.6,5.0,0.55
519,Nigeria,1995,0.6,5.0,0.55
520,Nigeria,1996,0.6,5.0,0.55
521,Nigeria,1997,0.59,5.0,0.55
522,Nigeria,1998,0.59,5.0,0.55
523,Nigeria,1999,0.59,5.0,0.55
524,Nigeria,2000,0.59,5.0,0.55
525,Nigeria,2001,0.59,5.0,0.55
526,Nigeria,2002,0.58,5.0,0.55
527,Nigeria,2003,0.58,5.0,0.55
528,Nigeria,2004,0.58,5.0,0.55
529,Nigeria,2005,0.57,5.0,0.55
530,Nigeria,2006,0.57,5.0,0.55
531,Nigeria,2007,0.56,5.0,0.55
532,Nigeria,2008,0.56,5.0,0.55
533,Nigeria,2009,0.55,5.0,0.55
534,Nigeria,2010,0.55,5.0,0.55
535,Nigeria,2011,0.54,5.0,0.55
536,Nigeria,2012,0.54,5.0,0.55
537,Nigeria,2013,0.55,5.0,0.55
538,Nigeria,2014,0.55,5.0,0.55
539,Nigeria,2015,0.55,5.0,0.55
540,Nigeria,2016,0.55,5.0,0.55
541,Nigeria,2017,0.55,5.0,0.55
542,Nigeria,2018,0.55,5.0,0.55
543,Nigeria,2019,0.55,5.0,0.55
544,Nigeria,2020,0.55,5.0,0.55
545,Nigeria,2021,0.55,5.0,0.55
546,Pakistan,1980,0.55,2.0,0.53
547,Pakistan,1981,0.55,2.0,0.53
548,Pakistan,1982,0.55,2.0,0.53
549,Pakistan,1983,0.55,2.0,0.53
550,Pakistan,1984,0.55,2.0,0.53
551,Pakistan,1985,0.55,2.0,0.53
552,Pakistan,1986,0.55,2.0,0.53
553,Pakistan,1987,0.55,2.0,0.53
554,Pakistan,1988,0.54,2.0,0.53
555,Pakistan,1989,0.54,2.0,0.53
556,Pakistan,1990,0.54,2.0,0.53
557,Pakistan,1991,0.54,2.0,0.53
558,Pakistan,1992,0.53,2.0,0.53
559,Pakistan,1993,0.53,2.0,0.53
560,Pakistan,1994,0.53,2.0,0.53
561,Pakistan,1995,0.52,2.0,0.53
562,Pakistan,1996,0.52,2.0,0.53
563,Pakistan,1997,0.54,2.0,0.53
564,Pakistan,1998,0.56,2.0,0.53
565,Pakistan,1999,0.55,2.0,0.53
566,Pakistan,2000,0.55,2.0,0.53
567,Pakistan,2001,0.54,2.0,0.53
568,Pakistan,2002,0.55,2.0,0.53
569,Pakistan,2003,0.56,2.0,0.53
570,Pakistan,2004,0.56,2.0,0.53
571,Pakistan,2005,0.57,2.0,0.53
572,Pakistan,2006,0.56,2.0,0.53
573,Pakistan,2007,0.55,2.0,0.53
574,Pakistan,2008,0.54,2.0,0.53
575,Pakistan,2009,0.53,2.0,0.53
576,Pakistan,2010,0.53,2.0,0.53
577,Pakistan,2011,0.53,2.0,0.53
578,Pakistan,2012,0.53,2.0,0.53
579,Pakistan,2013,0.53,2.0,0.53
580,Pakistan,2014,0.53,2.0,0.53
581,Pakistan,2015,0.54,2.0,0.53
582,Pakistan,2016,0.54,2.0,0.53
583,Pakistan,2017,0.53,2.0,0.53
584,Pakistan,2018,0.53,2.0,0.53
585,Pakistan,2019,0.53,2.0,0.53
586,Pakistan,2020,0.53,2.0,0.53
587,Pakistan,2021,0.53,2.0,0.53
588,Philippines,1980,0.6,8.0,0.57
589,Philippines,1981,0.6,8.0,0.57
590,Philippines,1982,0.6,8.0,0.57
591,Philippines,1983,0.6,8.0,0.57
592,Philippines,1984,0.6,8.0,0.57
593,Philippines,1985,0.6,8.0,0.57
594,Philippines,1986,0.6,8.0,0.57
595,Philippines,1987,0.6,8.0,0.57
596,Philippines,1988,0.6,8.0,0.57
597,Philippines,1989,0.61,8.0,0.57
598,Philippines,1990,0.62,8.0,0.57
599,Philippines,1991,0.63,8.0,0.57
600,Philippines,1992,0.62,8.0,0.57
601,Philippines,1993,0.62,8.0,0.57
602,Philippines,1994,0.62,8.0,0.57
603,Philippines,1995,0.63,8.0,0.57
604,Philippines,1996,0.64,8.0,0.57
605,Philippines,1997,0.65,8.0,0.57
606,Philippines,1998,0.64,8.0,0.57
607,Philippines,1999,0.63,8.0,0.57
608,Philippines,2000,0.63,8.0,0.57
609,Philippines,2001,0.63,8.0,0.57
610,Philippines,2002,0.62,8.0,0.57
611,Philippines,2003,0.61,8.0,0.57
612,Philippines,2004,0.61,8.0,0.57
613,Philippines,2005,0.61,8.0,0.57
614,Philippines,2006,0.61,8.0,0.57
615,Philippines,2007,0.61,8.0,0.57
616,Philippines,2008,0.61,8.0,0.57
617,Philippines,2009,0.57,8.0,0.57
618,Philippines,2010,0.61,8.0,0.57
619,Philippines,2011,0.6,8.0,0.57
620,Philippines,2012,0.6,8.0,0.57
621,Philippines,2013,0.6,8.0,0.57
622,Philippines,2014,0.59,8.0,0.57
623,Philippines,2015,0.59,8.0,0.57
