EUBWID,label,year,classificationLabel,regime,classificationType
ukc1202-06600,Redcar Stray,2018,Good,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2019,Excellent,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2021,Excellent,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2022,Excellent,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2023,Excellent,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2024,Excellent,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2004,Minimum,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2004,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2005,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2005,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2006,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2006,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2007,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2007,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2008,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2008,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2009,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2009,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2010,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2010,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2011,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2011,Excellent,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2012,Minimum,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2012,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2013,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2013,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2014,Higher,1976 directive,actual assessment
ukc1202-06650,Marske Sands,2014,Good,2006 directive,projected assessment
ukc1202-06650,Marske Sands,2015,Good,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2016,Excellent,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2017,Excellent,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2018,Excellent,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2019,Good,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2021,Good,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2022,Excellent,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2023,Good,2006 directive,actual assessment
ukc1202-06650,Marske Sands,2024,Excellent,2006 directive,actual assessment
ukc1202-06700,Saltburn,2004,Higher,1976 directive,actual assessment
ukc1202-06700,Saltburn,2004,Good,2006 directive,projected assessment
ukc1202-06700,Saltburn,2005,Minimum,1976 directive,actual assessment
ukc1202-06700,Saltburn,2005,Good,2006 directive,projected assessment
ukc1202-06700,Saltburn,2006,Minimum,1976 directive,actual assessment
ukc1202-06700,Saltburn,2006,Good,2006 directive,projected assessment
ukc1202-06700,Saltburn,2007,Minimum,1976 directive,actual assessment
ukc1202-06700,Saltburn,2007,Sufficient,2006 directive,projected assessment
ukc1202-06700,Saltburn,2008,Minimum,1976 directive,actual assessment
ukc1202-06700,Saltburn,2008,Sufficient,2006 directive,projected assessment
ukc1202-06700,Saltburn,2009,Minimum,1976 directive,actual assessment
ukc1202-06700,Saltburn,2009,Poor,2006 directive,projected assessment
ukc1202-06700,Saltburn,2010,Fail,1976 directive,actual assessment
ukc1202-06700,Saltburn,2010,Poor,2006 directive,projected assessment
ukc1202-06700,Saltburn,2011,Higher,1976 directive,actual assessment
ukc1202-06700,Saltburn,2011,Sufficient,2006 directive,projected assessment
ukc1202-06700,Saltburn,2012,Fail,1976 directive,actual assessment
ukc1202-06700,Saltburn,2012,Poor,2006 directive,projected assessment
ukc1202-06700,Saltburn,2013,Higher,1976 directive,actual assessment
ukc1202-06700,Saltburn,2013,Sufficient,2006 directive,projected assessment
ukc1202-06700,Saltburn,2014,Higher,1976 directive,actual assessment
ukc1202-06700,Saltburn,2014,Good,2006 directive,projected assessment
ukc1202-06700,Saltburn,2015,Good,2006 directive,actual assessment
ukc1202-06700,Saltburn,2016,Excellent,2006 directive,actual assessment
ukc1202-06700,Saltburn,2017,Excellent,2006 directive,actual assessment
ukc1202-06700,Saltburn,2018,Excellent,2006 directive,actual assessment
ukc1202-06700,Saltburn,2019,Excellent,2006 directive,actual assessment
ukc1202-06700,Saltburn,2021,Excellent,2006 directive,actual assessment
ukc1202-06700,Saltburn,2022,Good,2006 directive,actual assessment
ukc1202-06700,Saltburn,2023,Good,2006 directive,actual assessment
ukc1202-06700,Saltburn,2024,Good,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2004,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2004,Good,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2005,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2005,Good,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2006,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2006,Excellent,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2007,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2007,Excellent,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2008,Minimum,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2008,Good,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2009,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2009,Good,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2010,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2010,Good,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2011,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2011,Good,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2012,Fail,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2012,Sufficient,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2013,Minimum,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2013,Sufficient,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2014,Higher,1976 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2014,Sufficient,2006 directive,projected assessment
ukc1404-05700,Seaham Hall Beach,2015,Sufficient,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2016,Good,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2017,Excellent,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2018,Good,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2019,Good,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2021,Good,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2022,Good,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2023,Sufficient,2006 directive,actual assessment
ukc1404-05700,Seaham Hall Beach,2024,Good,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2004,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2004,Good,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2005,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2005,Good,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2006,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2006,Good,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2007,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2007,Excellent,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2008,Minimum,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2008,Good,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2009,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2009,Good,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2010,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2010,Sufficient,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2011,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2011,Good,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2012,Minimum,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2012,Sufficient,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2013,Minimum,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2013,Poor,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2014,Higher,1976 directive,actual assessment
ukc1404-05800,Seaham Beach,2014,Sufficient,2006 directive,projected assessment
ukc1404-05800,Seaham Beach,2015,Sufficient,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2016,Excellent,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2017,Excellent,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2018,Excellent,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2019,Excellent,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2021,Excellent,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2022,Good,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2023,Good,2006 directive,actual assessment
ukc1404-05800,Seaham Beach,2024,Good,2006 directive,actual assessment
ukc1404-05900,Crimdon,2004,Minimum,1976 directive,actual assessment
ukc1404-05900,Crimdon,2004,Poor,2006 directive,projected assessment
ukc1404-05900,Crimdon,2005,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2005,Sufficient,2006 directive,projected assessment
ukc1404-05900,Crimdon,2006,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2006,Good,2006 directive,projected assessment
ukc1404-05900,Crimdon,2007,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2007,Good,2006 directive,projected assessment
ukc1404-05900,Crimdon,2008,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2008,Excellent,2006 directive,projected assessment
ukc1404-05900,Crimdon,2009,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2009,Excellent,2006 directive,projected assessment
ukc1404-05900,Crimdon,2010,Minimum,1976 directive,actual assessment
ukc1404-05900,Crimdon,2010,Excellent,2006 directive,projected assessment
ukc1404-05900,Crimdon,2011,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2011,Excellent,2006 directive,projected assessment
ukc1404-05900,Crimdon,2012,Minimum,1976 directive,actual assessment
ukc1404-05900,Crimdon,2012,Good,2006 directive,projected assessment
ukc1404-05900,Crimdon,2013,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2013,Sufficient,2006 directive,projected assessment
ukc1404-05900,Crimdon,2014,Higher,1976 directive,actual assessment
ukc1404-05900,Crimdon,2014,Good,2006 directive,projected assessment
ukc1404-05900,Crimdon,2015,Good,2006 directive,actual assessment
ukc1404-05900,Crimdon,2016,Excellent,2006 directive,actual assessment
ukc1404-05900,Crimdon,2017,Excellent,2006 directive,actual assessment
ukc1404-05900,Crimdon,2018,Excellent,2006 directive,actual assessment
ukc1404-05900,Crimdon,2019,Excellent,2006 directive,actual assessment
ukc1404-05900,Crimdon,2021,Good,2006 directive,actual assessment
ukc1404-05900,Crimdon,2022,Excellent,2006 directive,actual assessment
ukc1404-05900,Crimdon,2023,Good,2006 directive,actual assessment
ukc1404-05900,Crimdon,2024,Excellent,2006 directive,actual assessment
ukc2101-04000,Low Newton,2004,Higher,1976 directive,actual assessment
ukc2101-04000,Low Newton,2004,Excellent,2006 directive,projected assessment
ukc2101-04000,Low Newton,2005,Higher,1976 directive,actual assessment
ukc2101-04000,Low Newton,2005,Excellent,2006 directive,projected assessment
